ID,SOURCE,ORIGINAL_SYMBOL,MATHEMATICAL_OBJECT,DEFINITION,DIMENSION,TYPE,DOMAIN,ASSUMPTIONS,EQUATIONS,DEPENDENCIES,PROOF_EVIDENCE,STATUS,SOURCE_LOCATION
OBJ-001,SOURCE-004,"G=(V,E)",Finite simple graph,"A finite set of vertices V and an edge set E subset of unordered pairs of V; no metric, orientation, or background geometry assumed.",|V|=N (finite),graph object / combinatorial structure,discrete combinatorics,"Finite, no self-loops assumed in the tested benchmark family",N/A (set-theoretic object),None (foundational),Standard graph theory; used throughout DER-SPC-001 and PRF-PRIM benchmark family (9 graphs),ADMITTED,registries/MASTER_DER_REGISTRY.csv (DER-SPC-001); graphs/C0/PRF-PRIM/graph_families.json
OBJ-002,SOURCE-004,"B=(U,V,E)",Bipartite graph,"A graph with vertex set partitioned into disjoint U, V and edges only between U and V (E subset U x V); Abelian group structure imposed on vertex sets, no metric.",|U|+|V|=N,graph object,discrete combinatorics,"Abelian bipartite structure (asserted in source, not independently derived)",N/A,"None (foundational, per source)","PRF-PRIM found ZERO tested computational link between this object and the rest of the corpus's downstream pipeline (DER-SPC-001 uses a plain graph G, not B)",ADMITTED (isolated -- no downstream use found),registries/MASTER_PRIMITIVE_REGISTRY.csv PRIM-C-001; falsification/C0/PRF-PRIM/FALSIFICATION_RECORDS.md
OBJ-003,SOURCE-004 / PRF-PRIM,"A, D (adjacency/degree)","Adjacency matrix, degree matrix","A_ij=1 iff (i,j) in E else 0 (symmetric for undirected graphs); D=diag(deg(1),...,deg(N)).",N x N,matrix / linear operator (finite-dim),linear algebra,Finite graph,D_ii = sum_j A_ij,OBJ-001,Computed exactly for 9 benchmark families (calculations/C0/PRF-PRIM/01_graph_families.py),CALCULATED,graphs/C0/PRF-PRIM/graph_families.json
OBJ-004,"PRF-PRIM (this repo, EXT-001 admitted external)",Inc,Oriented incidence matrix / discrete exterior derivative (0-cochains to 1-cochains),"N x M matrix (M=|E|); column for edge (u,v) has +1 at row u, -1 at row v (arbitrary fixed orientation). Equivalently the discrete gradient operator Inc^T: R^N -> R^M.",N x M,"linear operator (rectangular, not generally invertible)",algebraic/spectral graph theory,"Finite graph, fixed edge orientation (result independent of orientation choice)","L = Inc . Inc^T (proven, standard theorem)",OBJ-001,Proven exactly (sympy integer arithmetic) on 9/9 benchmark families,CALCULATED,proofs/C0/PRF-PRIM/LEMMA_L_equals_incidence_incidence_transpose.md
OBJ-005,SOURCE-004,L=D-A,Graph Laplacian,"Positive semi-definite, self-adjoint linear operator L=D-A on R^N (equivalently on l^2(V)).","N x N, real symmetric","operator (self-adjoint, PSD)",spectral graph theory / functional analysis,Finite graph,L=D-A=Inc.Inc^T; L x=0 iff x constant on each connected component,"OBJ-003, OBJ-004",Computed and eigen-decomposed exactly/numerically for 9 benchmark families; rank(L)=N-#components verified 9/9,CALCULATED,registries/MASTER_DER_REGISTRY.csv (DER-SPC-002); calculations/C0/PRF-PRIM/output/laplacian_results.json
OBJ-006,SOURCE-004,"Spec(L)={lambda_n, phi_n}",Spectral decomposition (eigenvalue/eigenvector pairs) of a self-adjoint operator,"By the spectral theorem, L = sum_n lambda_n E_n with E_n orthogonal projectors onto eigenspaces; lambda_n real, E_n mutually orthogonal, sum E_n = I.",N eigenvalues (with multiplicity) for a finite graph,spectrum (set of eigenvalue/eigenspace pairs),functional analysis,L self-adjoint (guaranteed for real graph Laplacians),L v = lambda v,OBJ-005,"Independently reproduced exactly for K4 (Spec={0,4,4,4}) and K3,3 (Spec={0,3,3,3,3,6}) matching the corpus's own COSMO-BRIDGE-003/004/005 claims; extended to 7 more families",CALCULATED,calculations/C0/PRF-PRIM/output/K4_K33_exact_symbolic.txt
OBJ-007,SOURCE-004,K_t = exp(-tL)  (also written R=exp(-beta L)),One-parameter strongly-continuous self-adjoint contraction semigroup (heat semigroup),"K_t = sum_n e^{-t lambda_n} E_n; satisfies K_0=I, K_s K_t = K_{s+t}, d K_t/dt = -L K_t. NOT a group (not invertible for t>0 unless L=0) and NOT unitary/orthogonal in general.","N x N operator, parametrized by t in [0,infinity)",operator semigroup (self-adjoint contraction),functional analysis / semigroup theory,"L self-adjoint, bounded below (true for finite graphs)",K_t = exp(-tL); det(K_t) = exp(-t . trace(L)) = exp(-2t|E|),"OBJ-005, OBJ-006","det(K_t)->0 as t->infinity for any graph with >=1 edge, PROVEN and verified exactly on 9/9 families -- this operator is NOT volume-preserving (NOT an element of any orthogonal/symplectic group)",CALCULATED,derivations/C0/PRF-PRIM/04_tau_liouville_and_kappa_commutation.py
OBJ-008,SOURCE-004 / PRF-PRIM,"P_ker(L)  (project's 'kappa', 'Pi')",Orthogonal spectral projector onto the null space (kernel) of a self-adjoint operator,"P_ker(L) = lim_{t->infinity} exp(-tL); idempotent (P^2=P), self-adjoint; image = ker(L) = {x : Lx=0} = functions constant on each connected component.","N x N, rank = dim ker(L) = #connected components",operator (orthogonal projector),functional analysis,L self-adjoint PSD,P_ker(L)^2 = P_ker(L); lim_{t->inf} exp(-tL) = P_ker(L),"OBJ-005, OBJ-006, OBJ-007",Idempotency verified to machine precision (max error 5.6e-17) on 9/9 families; limit convergence verified to ~1e-14 on 9/9 families,CALCULATED,calculations/C0/PRF-PRIM/output/laplacian_results.json
OBJ-009,"PRF-PRIM (proven, general)",Aut(G)  (candidate 'tau'),"Graph automorphism group, represented as permutation matrices",{P permutation matrix : P A P^T = A}; every element satisfies det(P)=+-1 (orthogonal group element).,"N x N permutation matrices, |Aut(G)| finite","group (finite, represented as orthogonal matrices)",group theory / algebraic graph theory,Finite graph,"P A P^T = A, P D P^T = D => P L P^T = L => P commutes with every spectral projector of L (proven, general argument)","OBJ-001, OBJ-003","General proof (4 steps) + verified 9/9 families, max commutation error 3.9e-16",CALCULATED,proofs/C0/PRF-PRIM/LEMMA_automorphism_commutes_with_spectral_projector.md
OBJ-010,SOURCE-004 (NCG equation set),"D = sqrt(L)  or  D_G=[[0,B],[B^T,0]]",First-order self-adjoint operator (candidate discrete Dirac operator),"Square root of the Laplacian, or an incidence-based block operator with zero diagonal blocks and off-diagonal incidence-type blocks B.",N x N (or 2N x 2N block form),"operator (self-adjoint, first-order)",noncommutative geometry / spectral triples,L PSD (for sqrt to be real); block form requires an explicit choice of B (source registers 'naive midpoint' and 'naive J=K first-order route' as REJECTED per ATT-010),"D^2 = L (if D=sqrt(L)); D^2 = grad*grad + (1/4)R (Lichnerowicz relation, continuum analogue, EQ-003 in corpus)",OBJ-005,"Corpus's own H-004 audit (ATT-010, SOURCE-010) explicitly REJECTS the naive midpoint and naive first-order routes; H-003 (source-registered) proposes the incidence block form as the 'canonical candidate' -- NOT independently verified in this repository",CANDIDATE (source itself flags partial rejection of naive versions),registries/MASTER_EQUATION_REGISTRY.csv EQ-002/EQ-003; source_records/spreadsheets/UOC_ToE_Open_Closure_Master_v1.0/19_PAST_ATTEMPTS_RECOMMENDATIONS.csv ATT-009/010
