Source,Original Sheet,Imported Sheet,Rows,Columns
UOC_Master_Closure_Updated.xlsx,Dashboard,CLOSURE_Dashboard,28,2
UOC_Master_Closure_Updated.xlsx,Master Closure DAG,CLOSURE_Master_Closure_DAG,48,12
UOC_Master_Closure_Updated.xlsx,COSMO-DYN Results,CLOSURE_COSMO_DYN_Results,29,6
UOC_Master_Closure_Updated.xlsx,Closure Layers C0-C10,CLOSURE_Closure_Layers_C0_C10,12,6
UOC_Master_Closure_Updated.xlsx,Canonical Architecture,CLOSURE_Canonical_Architecture,8,3
UOC_Master_Closure_Updated.xlsx,Status System,CLOSURE_Status_System,13,4
UOC_Master_Closure_Updated.xlsx,Open Frontiers,CLOSURE_Open_Frontiers,15,6
UOC_Master_Closure_Updated.xlsx,Executed Math,CLOSURE_Executed_Math,37,4
UOC_Master_Closure_Updated.xlsx,Audit Corrections,CLOSURE_Audit_Corrections,13,4
UOC_Master_Closure_Updated.xlsx,Master Theorem Target,CLOSURE_Master_Theorem_Target,15,4
UOC_Master_Closure_Updated.xlsx,Final Closure Chain,CLOSURE_Final_Closure_Chain,17,4
UOC_Master_Closure_Updated.xlsx,This Chat Updates,CLOSURE_This_Chat_Updates,17,4
UOC_SEIT_Combined_Master_Matrix.xlsx,Master Matrix,SEIT_Master_Matrix,103,11
UOC_SEIT_Combined_Master_Matrix.xlsx,Primitive Grammars,SEIT_Primitive_Grammars,8,5
UOC_SEIT_Combined_Master_Matrix.xlsx,Dependency Spines,SEIT_Dependency_Spines,12,4
UOC_SEIT_Combined_Master_Matrix.xlsx,Status Matrix,SEIT_Status_Matrix,9,3
UOC_SEIT_Combined_Master_Matrix.xlsx,Equations & Functionals,SEIT_Equations_Functionals,25,5
UOC_SEIT_Combined_Master_Matrix.xlsx,Domain Matrix,SEIT_Domain_Matrix,14,6
UOC_SEIT_Combined_Master_Matrix.xlsx,Open Work & Falsification,SEIT_Open_Work_Falsification,22,6
ToE Gap Matrix.xlsx,ToE Gap Matrix,GAP_ToE_Gap_Matrix,165,8
ToE Gap Matrix.xlsx,Summary,GAP_Summary,6,2
