Layer,Name,Core Target,Already Preserved / Calculated,Open Structural Questions,Closure Criterion
C0,Primitive & grammar reconciliation,"Relation among Δ,τ,κ,Π and competing grammar realizations",Certified UCG spine; DTC grammar and related realizations documented,Equivalence/hierarchy/embedding/irreducible extension,Canonical grammar relation with no hidden primitive
C1,Organizational / fixed-point closure,Γ:X→X and organizational closure,Fixed-point structures and candidates are formulated,"Existence, convergence, least fixed point, attractor uniqueness, relation to R",Explicit theorem with hypotheses
C2,Persistence & spectral closure,Π_O and λ_c,"L/spec, heat evolution, ker L, rank, embeddings, continuum calculations",Derive Π_O and threshold from dynamics,Derived functional + unique/controlled threshold where claimed
C3,Spectral→geometry→Lorentzian,L→Δ_g→K_g→d_g→g and Lorentzian signature,Explicit periodic refinement and flat spatial metric,Universal continuum class; Lorentzian emergence,Continuum Lorentzian metric derived under stated hypotheses
C4,Nature spectrum & constants,Nature-spectrum correspondence and dimensional constants,Planck relation and scale diagnostics,"Spec correspondence; c,ħ,G,e classifications; C_UOC",Internal derivation or explicit empirical admission
C5,Gauge/representation/matter/generation,Full particle/gauge sector,Gauge dynamics substantially recovered; candidates for masses/couplings,"Gauge group, reps, 3 generations, mass hierarchy, neutrinos",Predictive matter sector with correct symmetries
C6,Quantum closure,Quantum theory integrated with persistence/geometry,QRC recovery substantial/certified,"Born rule, quantum geometry/gravity integration",Consistent quantum + semiclassical limits
C7,Cosmological/horizon/information,Scale→horizon→information→cutoff→cosmology,Many downstream spectral/vacuum/Friedmann/area calculations executed,"Scale anchor, P_H, information normalization, non-circular Xi",All upstream links independently generated
C8,Biological/adaptive,Biology reverse-derived from common kernel,Substantial mapping/translation architecture,"Replication, heredity, selection, adaptation, fitness",No extra primitive or explicit necessary extension
C9,Compiler closure,Universal executable representation,"Architecture, registries, DAG concepts, validation design","Normal form, confluence, routing, runtime, backends, completeness",Executable independently testable compiler
C10,Validation/falsification,Cross-domain recovery and novel predictions,Existing validation branches and candidate predictions,"Full suite, numerical reproducibility, falsification",Independent reproduction + surviving empirical tests
