ITEM_ID,Source_Doc,Object,Status_As_Stated_By_Source,Status_Normalized,Dependency,Note
D4-01,D4,Distinction Delta,Derived -- Complete,"CALCULATED/DERIVED (source's own 'Derived' tag; NOTE: not equivalent to this repository's UNIVERSALLY DERIVED -- most 'Derived' rows carry a residual caveat in the Resolution column, e.g. 'proof still needed', 'mostly complete')",Primitive axiom,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-02,D4,"Graph G=(V,E)",Derived -- Complete,"CALCULATED/DERIVED (source's own 'Derived' tag; NOTE: not equivalent to this repository's UNIVERSALLY DERIVED -- most 'Derived' rows carry a residual caveat in the Resolution column, e.g. 'proof still needed', 'mostly complete')",Primitive ontology,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-03,D4,Adjacency A,Derived -- Complete,"CALCULATED/DERIVED (source's own 'Derived' tag; NOTE: not equivalent to this repository's UNIVERSALLY DERIVED -- most 'Derived' rows carry a residual caveat in the Resolution column, e.g. 'proof still needed', 'mostly complete')",From G,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-04,D4,Degree D,Derived -- Complete,"CALCULATED/DERIVED (source's own 'Derived' tag; NOTE: not equivalent to this repository's UNIVERSALLY DERIVED -- most 'Derived' rows carry a residual caveat in the Resolution column, e.g. 'proof still needed', 'mostly complete')",From A,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-05,D4,Laplacian L=D-A,Derived -- Complete,"CALCULATED/DERIVED (source's own 'Derived' tag; NOTE: not equivalent to this repository's UNIVERSALLY DERIVED -- most 'Derived' rows carry a residual caveat in the Resolution column, e.g. 'proof still needed', 'mostly complete')","From A, D","Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-06,D4,"Spectrum {lambda,psi}",Derived -- Complete,"CALCULATED/DERIVED (source's own 'Derived' tag; NOTE: not equivalent to this repository's UNIVERSALLY DERIVED -- most 'Derived' rows carry a residual caveat in the Resolution column, e.g. 'proof still needed', 'mostly complete')",Eigenproblem of L,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-07,D4,Heat kernel e^{-beta L},Derived -- Complete,"CALCULATED/DERIVED (source's own 'Derived' tag; NOTE: not equivalent to this repository's UNIVERSALLY DERIVED -- most 'Derived' rows carry a residual caveat in the Resolution column, e.g. 'proof still needed', 'mostly complete')",Spectral theorem,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-08,D4,Omega attractor,Derived -- Formal convergence proof still needed,"CALCULATED/DERIVED (source's own 'Derived' tag; NOTE: not equivalent to this repository's UNIVERSALLY DERIVED -- most 'Derived' rows carry a residual caveat in the Resolution column, e.g. 'proof still needed', 'mostly complete')",beta->inf limit,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-09,D4,"Spectral distance d(i,j)",Derived -- Continuum limit; mostly complete,"CALCULATED/DERIVED (source's own 'Derived' tag; NOTE: not equivalent to this repository's UNIVERSALLY DERIVED -- most 'Derived' rows carry a residual caveat in the Resolution column, e.g. 'proof still needed', 'mostly complete')",Spectrum -> distance,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-10,D4,Metric g_mu_nu,Derived -- Smooth embedding assumed; mostly complete,"CALCULATED/DERIVED (source's own 'Derived' tag; NOTE: not equivalent to this repository's UNIVERSALLY DERIVED -- most 'Derived' rows carry a residual caveat in the Resolution column, e.g. 'proof still needed', 'mostly complete')","From d(i,j)","Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
