Layer,Name,Target,Open_Questions,Closure_Criterion,Frontier_Status,Execution_Rule
C0,Primitive & grammar reconciliation,"Relation among Δ,τ,κ,Π and competing grammar realizations",Equivalence/hierarchy/embedding/irreducible extension,Canonical grammar relation with no hidden primitive,OPEN,Identify parent prerequisites before calculation; preserve all downstream calculated results.
C1,Organizational / fixed-point closure,Γ:X→X and organizational closure,"Existence, convergence, least fixed point, attractor uniqueness, relation to R",Explicit theorem with hypotheses,OPEN,Identify parent prerequisites before calculation; preserve all downstream calculated results.
C2,Persistence & spectral closure,Π_O and λ_c,Derive Π_O and threshold from dynamics,Derived functional + unique/controlled threshold where claimed,OPEN,Identify parent prerequisites before calculation; preserve all downstream calculated results.
C3,Spectral→geometry→Lorentzian,L→Δ_g→K_g→d_g→g and Lorentzian signature,Universal continuum class; Lorentzian emergence,Continuum Lorentzian metric derived under stated hypotheses,OPEN,Identify parent prerequisites before calculation; preserve all downstream calculated results.
C4,Nature spectrum & constants,Nature-spectrum correspondence and dimensional constants,"Spec correspondence; c,ħ,G,e classifications; C_UOC",Internal derivation or explicit empirical admission,OPEN,Identify parent prerequisites before calculation; preserve all downstream calculated results.
C5,Gauge/representation/matter/generation,Full particle/gauge sector,"Gauge group, reps, 3 generations, mass hierarchy, neutrinos",Predictive matter sector with correct symmetries,OPEN,Identify parent prerequisites before calculation; preserve all downstream calculated results.
C6,Quantum closure,Quantum theory integrated with persistence/geometry,"Born rule, quantum geometry/gravity integration",Consistent quantum + semiclassical limits,OPEN,Identify parent prerequisites before calculation; preserve all downstream calculated results.
C7,Cosmological/horizon/information,Scale→horizon→information→cutoff→cosmology,"Scale anchor, P_H, information normalization, non-circular Xi",All upstream links independently generated,OPEN,Identify parent prerequisites before calculation; preserve all downstream calculated results.
C8,Biological/adaptive,Biology reverse-derived from common kernel,"Replication, heredity, selection, adaptation, fitness",No extra primitive or explicit necessary extension,OPEN,Identify parent prerequisites before calculation; preserve all downstream calculated results.
C9,Compiler closure,Universal executable representation,"Normal form, confluence, routing, runtime, backends, completeness",Executable independently testable compiler,OPEN,Identify parent prerequisites before calculation; preserve all downstream calculated results.
C10,Validation/falsification,Cross-domain recovery and novel predictions,"Full suite, numerical reproducibility, falsification",Independent reproduction + surviving empirical tests,OPEN,Identify parent prerequisites before calculation; preserve all downstream calculated results.
