ARC-001,Combined,Part 0,Certification Registry,Governance,Certified / Candidate / Open / Retired / Research Objective,Parts IV–V,Certified framework,Unified epistemic ledger,None for registry itself,Parts I–III retain prose-level epistemic status
ARC-002,Combined,Part 0,Verification protocol,Governance,Symbolic derivation → canonical cases → random/numerical verification,Certified dependencies,Certified framework,Certification transition,All three checks required,Candidate records exact missing checks
ARC-003,Combined,Part 0,Compiler evolution order,Dependency,Foundation → Graph → Spectral → Operator → Lorentzian → Differential Geometry → Physics Recovery,Part V foundation,Architectural ordering,Dependency-first execution,None stated,Narrative Part order is not construction order
ARC-004,Combined,Part I,Theory of Organizational Evolution (𝒯OE),Theory,Stable invariant macro-scale output from iterative graph compilation,Pointed graph + refinement + compiler,Conjectural / research program,Discrete→continuum physical correspondence,Existence/minimality conjectures,Explicitly not established physical theory
ARC-005,Combined,Part I,Pointed graph category 𝔊•,Foundation,"Objects (G,v0); morphisms preserve basepoint","Graph G=(V,E)",Defined / developed,Discrete substrate,Axiom consistency under all intended cases,Refinement endofunctor R
ARC-006,Combined,Part I,Refinement endofunctor R,Operator,"R:𝔊•→𝔊•, G_{n+1}=R(G_n), composition-preserving",𝔊•,Candidate framework,Infinite refinement,Global refinement invariants,Scale-generation mechanism
ARC-007,Combined,Part I,Graph axiom set 𝒜*,Constraint,Bipartite + Abelian + shell hierarchy + recursive scale invariance,Pointed graph,Conjectural,Physical spectrum selection,Compiler completeness/minimality,Filters admissible graphs
ARC-008,Combined,Part I,Discrete Geometry category 𝔇,Mathematical layer,"DEC: cochains, d, δ, Δ_G, ⋆_G",𝔊•,Derived within program,Discrete geometry,Independent validation,Bridge to continuum
ARC-009,Combined,Part I,Metric refinement invariance,Invariant,"ℓ_{n+1}=αℓ_n; d_{n+1}(R(v_i),R(v_j))=d_n(v_i,v_j); bounded diameter",R + metric-measure structure,Derived/candidate,Stable continuum limit,Limit regularity,0<α<1
ARC-010,Combined,Part I,Optimization operator 𝒪opt,Dynamics,Ψ_{n+1}=Ψ_n−β∇𝒜[Ψ_n],Discrete Hilbert space + action,Derived within program,Fixed-point dynamics,Model assumptions / limit validation,Gradient descent
ARC-011,Combined,Part I,Lyapunov convergence,Theorem,β<2/Λ_max; strict convexity λ_min(H)≥m>0,Hessian H=Δ_G,Derived within program,Unique attractor,Independent verification,Critical set 𝒦crit
ARC-012,Combined,Part I,Compiler Completeness Conjecture,Conjecture,Finite 𝒜* and compiler 𝔠 generate every verified continuum law,"𝒜*, 𝔠, refinement",Open,Universal reconstruction,Existence proof,§7.1
ARC-013,Combined,Part I,Structural Minimality Conjecture,Conjecture,No strictly smaller axiom set generates identical continuum category,Compiler completeness,Open,Minimal universal substrate,Uniqueness/minimality proof,§7.2
ARC-014,Combined,Part I,Falsification diagnostics,Validation,Degree explosion; chain-map failure; Hodge asymmetry; optimizer instability; non-convexity; GH non-precompactness; torsion; index shattering,Compiler pipeline,Active falsifiability,Clean failure boundaries,Empirical/math tests,§8
ARC-015,Combined,Part I,DTC grammar,Primitive grammar,Δ → τ → κ → Π,Compiler pipeline,Framework / not reconciled globally,Organizational grammar,Reconcile with other primitive sets,Part I §9
ARC-016,Combined,Part I,Thermodynamic Realization Layer,Theory layer,TEDS / NEDS / TNDS + throughput persistence,DTC + thermodynamic state,Conjectural,Physical reading of persistence,Derive λ_c from spectral data,Γ(λ)=1 interpretation remains open
ARC-017,Combined,Part I,Four-gate selection cascade,Architecture,C_p → C_t → C_π → C_e,𝔓𝒯,Framework,Admissibility filtering,Formal closure across all domains,Bridge identity
ARC-018,Combined,Part I,Representation / Bridge Operator,Open research object,Question → entities → interactions → state variables → interaction object → representation → spectrum → metrics → validation,Physical system + scientific question,Open,Principled graph construction,Derive canonical representation-selection mechanism,Part III §4
ARC-019,Combined,Part I,Gradient-based alternative grammar,Alternative,∇ → κ → 𝒪 → F → W_c → Π → Ψ → E,TNDS examples,Open / unreconciled,Directly measurable organizational chain,Reconcile with DTC,Part III §2
ARC-020,Combined,Part II,UDP v2.0,Protocol,Sixteen-phase reduction of scientific theories to minimal structural alphabet,Phase 0 registries,Methodology / conjectural,Cross-domain translation,End-to-end closure test,Narrower than a ToE
ARC-021,Combined,Part II,Phase 0 registries,Registry,"Objects, operators, relations, structures",Canonical mathematical universe,Framework,Common vocabulary,Completeness of registries,Base vocabulary
ARC-022,Combined,Part II,Phase I primitive reduction,Primitive candidate,"Object, Relation, Operator, Constraint, State",Phase 0,Candidate,Cross-domain reduction,Irreducibility proof,Differs from DTC four-symbol grammar
ARC-023,Combined,Part II,Phase II dependency cascade,Dependency,Object → State → Relation → Operator → Transformation → Constraint → Dynamics → Persistence → Equation → Theory,Phase I,Defined,Dependency ordering,Empirical/compiler integration,Core dependency chain
ARC-024,Combined,Part II,Phase III operator closure,Closure,Operator compositions/commutators remain inside canonical algebra,Operator registry,Open test condition,Algebraic closure,Find counterexample / prove closure,Compiler halts on failure
ARC-025,Combined,Part II,Phase IV variable closure,Closure,Operators map permitted state variables to permitted variables,Variable registry,Open test condition,Typed state evolution,Closure proof,Locked variable/operator loop
ARC-026,Combined,Part II,Phase V equation canonical form,Normal form,"V,O,C → structural balance / null expression",Phases I–IV,Working framework,Cross-domain equation normalization,Universal equivalence proof,Field-specific names removed
ARC-027,Combined,Part II,Phase VIII universal reduction,Optimization,Minimize foundational alphabet without loss of reconstruction,Phases I–VII,Research objective,Minimal compiler basis,Minimality theorem,Core compression objective
ARC-028,Combined,Part II,Phase IX universal functional,Functional,Single master scalar expression whose variations generate trajectories,Universal reduction,Candidate,Shared variational structure,Construct and validate functional,Maps action/entropy/FEP/utility
ARC-029,Combined,Part II,Phase XI cross-scale closure,Invariant,Operator algebra invariant Planck→Universe,Core operator basis,Working criterion,Cross-scale universality,Demonstrate across domains,"∂,∇,Δ,∫ cited"
ARC-030,Combined,Part II,Phase XII compiler execution,Pipeline,Reality → Variables → Operators → Constraints → Equations → Predictions,All prior phases,Defined,Operational compiler workflow,End-to-end named-theory test,Six-step execution
ARC-031,Combined,Part II,Phase XIII fixed point,Closure,Compiler mapping leaves system description invariant,Phase XII,Open,Completeness criterion,End-to-end fixed-point demonstration,Explicitly not demonstrated
