Constant_ID,Symbol,UCCP_Type,Meaning,Source Status,Dependency,Dimensions,Value,Source Notes
PHYS-001,c,T,Speed of light in vacuum,"CANDIDATE Derivation / Notes: Sets the scale of relativistic dynamical propagation. Recovered in DER-GEO-001 as the limiting velocity in the spectral metric. DER-OPEN-005: c = f_1(rho_k) from Seeley-DeWitt fixed-point ratios. UCA node: (T, 0, OPEN, [L T^{-1}], 2.998e8 m/s, Lorentz group)","None Status: CANDIDATE Derivation / Notes: Sets the scale of relativistic dynamical propagation. Recovered in DER-GEO-001 as the limiting velocity in the spectral metric. DER-OPEN-005: c = f_1(rho_k) from Seeley-DeWitt fixed-point ratios. UCA node: (T, 0, OPEN, [L T^{-1}], 2.998e8 m/s, Lorentz group)",L T^{-1},2.998e8 m/s,"Meaning: Speed of light in vacuum Primitive: Yes — Root | Dependency: None Status: CANDIDATE Derivation / Notes: Sets the scale of relativistic dynamical propagation. Recovered in DER-GEO-001 as the limiting velocity in the spectral metric. DER-OPEN-005: c = f_1(rho_k) from Seeley-DeWitt fixed-point ratios. UCA node: (T, 0, OPEN, [L T^{-1}], 2.998e8 m/s, Lorentz group)"
PHYS-002,hbar,T,Reduced Planck constant,"CANDIDATE Derivation / Notes: Sets the scale of quantum action. Recovered as the quantization unit in DER-QR-002 (Schrodinger equation). DER-OPEN-005: hbar = f_3(rho_k) from Seeley-DeWitt ratios. UCA node: (T, 0, OPEN, [M L^2 T^{-1}], 1.055e-34 J*s, U(1) phase)","None Status: CANDIDATE Derivation / Notes: Sets the scale of quantum action. Recovered as the quantization unit in DER-QR-002 (Schrodinger equation). DER-OPEN-005: hbar = f_3(rho_k) from Seeley-DeWitt ratios. UCA node: (T, 0, OPEN, [M L^2 T^{-1}], 1.055e-34 J*s, U(1) phase)",M L^2 T^{-1},1.055e-34 J*s,"Meaning: Reduced Planck constant Primitive: Yes — Root | Dependency: None Status: CANDIDATE Derivation / Notes: Sets the scale of quantum action. Recovered as the quantization unit in DER-QR-002 (Schrodinger equation). DER-OPEN-005: hbar = f_3(rho_k) from Seeley-DeWitt ratios. UCA node: (T, 0, OPEN, [M L^2 T^{-1}], 1.055e-34 J*s, U(1) phase)"
PHYS-003,G,T,Newton gravitational constant,"CANDIDATE Derivation / Notes: Sets the scale of gravitational coupling. Appears in DER-VAR-005 (Einstein field equations). DER-OPEN-005: G = f_2(rho_k) from Seeley-DeWitt ratios. UCA node: (T, 0, OPEN, [M^{-1} L^3 T^{-2}], 6.674e-11 m^3 kg^{-1} s^{-2}, Diffeomorphism group)","None Status: CANDIDATE Derivation / Notes: Sets the scale of gravitational coupling. Appears in DER-VAR-005 (Einstein field equations). DER-OPEN-005: G = f_2(rho_k) from Seeley-DeWitt ratios. UCA node: (T, 0, OPEN, [M^{-1} L^3 T^{-2}], 6.674e-11 m^3 kg^{-1} s^{-2}, Diffeomorphism group)",M^{-1} L^3 T^{-2},6.674e-11 m^3 kg^{-1} s^{-2},"Meaning: Newton gravitational constant Primitive: Yes — Root | Dependency: None Status: CANDIDATE Derivation / Notes: Sets the scale of gravitational coupling. Appears in DER-VAR-005 (Einstein field equations). DER-OPEN-005: G = f_2(rho_k) from Seeley-DeWitt ratios. UCA node: (T, 0, OPEN, [M^{-1} L^3 T^{-2}], 6.674e-11 m^3 kg^{-1} s^{-2}, Diffeomorphism group)"
PHYS-004,e,T,Elementary charge,"CANDIDATE Derivation / Notes: Sets the scale of electromagnetic coupling. Appears in DER-GAU-001 (gauge connection). UCA node: (T, 0, OPEN, [A T], 1.602e-19 C, U(1)_EM)","None Status: CANDIDATE Derivation / Notes: Sets the scale of electromagnetic coupling. Appears in DER-GAU-001 (gauge connection). UCA node: (T, 0, OPEN, [A T], 1.602e-19 C, U(1)_EM)",A T,1.602e-19 C,"Meaning: Elementary charge Primitive: Yes — Root | Dependency: None Status: CANDIDATE Derivation / Notes: Sets the scale of electromagnetic coupling. Appears in DER-GAU-001 (gauge connection). UCA node: (T, 0, OPEN, [A T], 1.602e-19 C, U(1)_EM)"
PHYS-005,k_B,T,Boltzmann constant,"CANDIDATE Derivation / Notes: Sets the scale of thermal fluctuations relative to mechanical energy. Appears in DER-TRC-002 (entropy S = k_B ln W). UCA node: (T, 0, OPEN, [M L^2 T^{-2} K^{-1}], 1.381e-23 J/K, Thermal symmetry group)","None Status: CANDIDATE Derivation / Notes: Sets the scale of thermal fluctuations relative to mechanical energy. Appears in DER-TRC-002 (entropy S = k_B ln W). UCA node: (T, 0, OPEN, [M L^2 T^{-2} K^{-1}], 1.381e-23 J/K, Thermal symmetry group)",M L^2 T^{-2} K^{-1},1.381e-23 J/K,"Meaning: Boltzmann constant Primitive: Yes — Root | Dependency: None Status: CANDIDATE Derivation / Notes: Sets the scale of thermal fluctuations relative to mechanical energy. Appears in DER-TRC-002 (entropy S = k_B ln W). UCA node: (T, 0, OPEN, [M L^2 T^{-2} K^{-1}], 1.381e-23 J/K, Thermal symmetry group)"
PHYS-006,eps_0,T,Vacuum permittivity,"CANDIDATE Derivation / Notes: Sets the dielectric scale of free space. Related to c and mu_0 by eps_0 = 1/(mu_0 c^2). UCA node: (T, 0, OPEN, [A^2 T^4 M^{-1} L^{-3}], 8.854e-12 F/m, U(1)_EM)","None Status: CANDIDATE Derivation / Notes: Sets the dielectric scale of free space. Related to c and mu_0 by eps_0 = 1/(mu_0 c^2). UCA node: (T, 0, OPEN, [A^2 T^4 M^{-1} L^{-3}], 8.854e-12 F/m, U(1)_EM)",A^2 T^4 M^{-1} L^{-3},8.854e-12 F/m,"Meaning: Vacuum permittivity Primitive: Yes — Root | Dependency: None Status: CANDIDATE Derivation / Notes: Sets the dielectric scale of free space. Related to c and mu_0 by eps_0 = 1/(mu_0 c^2). UCA node: (T, 0, OPEN, [A^2 T^4 M^{-1} L^{-3}], 8.854e-12 F/m, U(1)_EM)"
PHYS-007,mu_0,T,Vacuum permeability,"CANDIDATE Derivation / Notes: Sets the magnetic scale of free space. Related to eps_0 and c by mu_0 = 1/(eps_0 c^2). AUDIT: With fixed c (via SI definition), mu_0 may be derived from eps_0 and c rather than being independent. UCA node: (T, 0, OPEN-AUDIT, [M L T^{-2} A^{-2}], 1.257e-6 H/m, U(1)_EM)","None Status: CANDIDATE Derivation / Notes: Sets the magnetic scale of free space. Related to eps_0 and c by mu_0 = 1/(eps_0 c^2). AUDIT: With fixed c (via SI definition), mu_0 may be derived from eps_0 and c rather than being independent. UCA node: (T, 0, OPEN-AUDIT, [M L T^{-2} A^{-2}], 1.257e-6 H/m, U(1)_EM)",M L T^{-2} A^{-2},1.257e-6 H/m,"Meaning: Vacuum permeability Primitive: Yes — Root | Dependency: None Status: CANDIDATE Derivation / Notes: Sets the magnetic scale of free space. Related to eps_0 and c by mu_0 = 1/(eps_0 c^2). AUDIT: With fixed c (via SI definition), mu_0 may be derived from eps_0 and c rather than being independent. UCA node: (T, 0, OPEN-AUDIT, [M L T^{-2} A^{-2}], 1.257e-6 H/m, U(1)_EM)"
PHYS-008,Lambda,K,Cosmological constant,"CANDIDATE Derivation / Notes: Governs the vacuum energy density driving accelerated expansion. Appears in Einstein equations as G_{mu nu} + Lambda g_{mu nu} = 8piG T_{mu nu}. Shared open problem with string theory (DER-TRC-006, PRF-COSMO). UCA node: (K, 0, OPEN, [L^{-2}], ~1.1e-52 m^{-2}, Diffeomorphism group)","None Status: CANDIDATE Derivation / Notes: Governs the vacuum energy density driving accelerated expansion. Appears in Einstein equations as G_{mu nu} + Lambda g_{mu nu} = 8piG T_{mu nu}. Shared open problem with string theory (DER-TRC-006, PRF-COSMO). UCA node: (K, 0, OPEN, [L^{-2}], ~1.1e-52 m^{-2}, Diffeomorphism group)",L^{-2},~1.1e-52 m^{-2},"Meaning: Cosmological constant Primitive: Yes — Root | Dependency: None Status: CANDIDATE Derivation / Notes: Governs the vacuum energy density driving accelerated expansion. Appears in Einstein equations as G_{mu nu} + Lambda g_{mu nu} = 8piG T_{mu nu}. Shared open problem with string theory (DER-TRC-006, PRF-COSMO). UCA node: (K, 0, OPEN, [L^{-2}], ~1.1e-52 m^{-2}, Diffeomorphism group)"
PHYS-009,alpha,K,Fine-structure constant,"AUDIT REQUIRED Derivation / Notes: alpha = e^2 / (4 pi eps_0 hbar c) ~ 1/137. Dimensionless. If e, hbar, c, eps_0 are all root constants, alpha is a first-order derived constant. UCCP type K is proposed because alpha functions as a coupling strength (constraint on EM interaction). UCA node: (K, 1, OPEN, dimensionless, 7.297e-3, U(1)_EM)","e, hbar, c, eps_0 Status: AUDIT REQUIRED Derivation / Notes: alpha = e^2 / (4 pi eps_0 hbar c) ~ 1/137. Dimensionless. If e, hbar, c, eps_0 are all root constants, alpha is a first-order derived constant. UCCP type K is proposed because alpha functions as a coupling strength (constraint on EM interaction). UCA node: (K, 1, OPEN, dimensionless, 7.297e-3, U(1)_EM)",,7.297e-3,"Meaning: Fine-structure constant Primitive: No — Derived | Dependency: e, hbar, c, eps_0 Status: AUDIT REQUIRED Derivation / Notes: alpha = e^2 / (4 pi eps_0 hbar c) ~ 1/137. Dimensionless. If e, hbar, c, eps_0 are all root constants, alpha is a first-order derived constant. UCCP type K is proposed because alpha functions as a coupling strength (constraint on EM interaction). UCA node: (K, 1, OPEN, dimensionless, 7.297e-3, U(1)_EM)"
PHYS-010,m_P,T,Planck mass,"AUDIT REQUIRED Derivation / Notes: m_P = sqrt(hbar c / G). Derived from three root constants. Type T because it sets the energy scale of quantum gravity — a dynamical threshold. UCA node: (T, 1, OPEN, [M], 2.176e-8 kg, Diffeomorphism group)","G, hbar, c Status: AUDIT REQUIRED Derivation / Notes: m_P = sqrt(hbar c / G). Derived from three root constants. Type T because it sets the energy scale of quantum gravity — a dynamical threshold. UCA node: (T, 1, OPEN, [M], 2.176e-8 kg, Diffeomorphism group)",M,2.176e-8 kg,"Meaning: Planck mass Primitive: No — Derived | Dependency: G, hbar, c Status: AUDIT REQUIRED Derivation / Notes: m_P = sqrt(hbar c / G). Derived from three root constants. Type T because it sets the energy scale of quantum gravity — a dynamical threshold. UCA node: (T, 1, OPEN, [M], 2.176e-8 kg, Diffeomorphism group)"
