Node_ID,Mathematical_Object,Type,Domain,Status
OBJ-001,Finite simple graph,graph object / combinatorial structure,discrete combinatorics,ADMITTED
OBJ-002,Bipartite graph,graph object,discrete combinatorics,ADMITTED (isolated -- no downstream use found)
OBJ-003,"Adjacency matrix, degree matrix",matrix / linear operator (finite-dim),linear algebra,CALCULATED
OBJ-004,Oriented incidence matrix / discrete exterior derivative (0-cochains to 1-cochains),"linear operator (rectangular, not generally invertible)",algebraic/spectral graph theory,CALCULATED
OBJ-005,Graph Laplacian,"operator (self-adjoint, PSD)",spectral graph theory / functional analysis,CALCULATED
OBJ-006,Spectral decomposition (eigenvalue/eigenvector pairs) of a self-adjoint operator,spectrum (set of eigenvalue/eigenspace pairs),functional analysis,CALCULATED
OBJ-007,One-parameter strongly-continuous self-adjoint contraction semigroup (heat semigroup),operator semigroup (self-adjoint contraction),functional analysis / semigroup theory,CALCULATED
OBJ-008,Orthogonal spectral projector onto the null space (kernel) of a self-adjoint operator,operator (orthogonal projector),functional analysis,CALCULATED
OBJ-009,"Graph automorphism group, represented as permutation matrices","group (finite, represented as orthogonal matrices)",group theory / algebraic graph theory,CALCULATED
OBJ-010,First-order self-adjoint operator (candidate discrete Dirac operator),"operator (self-adjoint, first-order)",noncommutative geometry / spectral triples,CANDIDATE (source itself flags partial rejection of naive versions)
OBJ-011,"Symmetric positive-definite (0,2) tensor (candidate Riemannian metric)",tensor field,Riemannian geometry,"ADMITTED (CALCULATED per source, scoped)"
OBJ-012,"Levi-Civita connection, Riemann tensor, Ricci tensor, Ricci scalar, Einstein tensor",tensor fields (standard differential geometry),differential geometry / general relativity,ADMITTED
OBJ-013,Simplicial/chain-complex boundary operator satisfying d^2=0,linear map between different graded vector spaces (NOT an endomorphism),algebraic topology / homological algebra,"CALCULATED (its own defining property holds); TYPE MISMATCH FALSIFIED against a second, incompatible required role"
OBJ-014,Real-valued functional on trajectories (candidate action functional),functional (variational),calculus of variations,ADMITTED
OBJ-015,Einstein-Hilbert action,"functional (variational, diffeomorphism-invariant)",general relativity / calculus of variations,ADMITTED
OBJ-016,"Principal-bundle connection 1-form, curvature 2-form, covariant derivative",connection / curvature (standard gauge theory),differential geometry / gauge theory,ADMITTED
OBJ-017,Compact Lie group (direct product),Lie group,representation theory / particle physics,ADMITTED (source claims CERTIFIED); generation count component explicitly OPEN
OBJ-018,Complex Hilbert space,Hilbert space,functional analysis / quantum mechanics,ADMITTED
OBJ-019,Unitary one-parameter group generated by a self-adjoint operator (quantum dynamics),one-parameter unitary group,quantum mechanics,"ADMITTED (source claims CERTIFIED); explicitly NOT the same object as OBJ-007, clarified in this repository"
OBJ-020,Probability measure derived from a quantum state (postulate in standard QM),probability measure,quantum mechanics / measure theory,OPEN
OBJ-021,Boltzmann entropy (log of microstate count),scalar functional of a probability/counting measure,statistical mechanics,ADMITTED
OBJ-022,"Proposed functional in [0,1] characterizing a system's degree of persistence","functional (proposed, not yet constructed)",proposed unification of thermodynamics and spectral graph theory,OPEN
OBJ-023,Rank-nullity relation for a graph Laplacian (linear algebra identity),linear-algebra identity (theorem),linear algebra / spectral graph theory,CALCULATED
OBJ-024,Trace of the complementary projector (a scalar spectral invariant),scalar (trace of an operator),linear algebra,CALCULATED
OBJ-025,Scale-dependent rescaling of the spectrum under an assumed cosmological scale factor a(t),ODE for a spectral quantity coupled to an assumed external geometric input (a(t)),proposed spectral cosmology,ADMITTED (CANDIDATE coupling rule -- the postulated a^-2 scaling is not itself derived from L)
OBJ-026,"Friedmann-equation-type relation (standard GR/cosmology, external)",ODE / algebraic relation (standard FLRW cosmology),general relativity / cosmology,"ADMITTED (standard equation is EXTERNAL/textbook; the spectral-to-rho_vac bridge is a UOC claim, not independently verified)"
OBJ-027,Proposed dimensionless cutoff/normalization ratio connecting spectral cutoff to horizon thermodynamics,proposed normalization constant / ratio,proposed spectral horizon thermodynamics,OPEN
OBJ-028,"Dimensionful physical constants (fundamental, per current physics)",dimensionful scalar constants,physics (measured),CANDIDATE (all entries; none derived)
