Candidate_ID,Recurring_Structure,Where_it_appears_in_the_object_registry,Domains_spanned,Necessity_status_Phase0_not_yet_tested,Notes
CAND-PRIM-001,Self-adjoint linear operator (+ spectral theorem),"L (OBJ-005), Hamiltonian H (OBJ-019), candidate Dirac operator D (OBJ-010)",spectral graph theory / quantum mechanics / NCG,UNRESOLVED (Phase 4 not yet run),Single most recurring structure found; every domain that touches 'energy' or 'evolution' routes through this
CAND-PRIM-002,One-parameter operator semigroup/group generated by a self-adjoint operator,"Heat semigroup K_t=exp(-tL) (OBJ-007, a CONTRACTION semigroup); unitary QM evolution exp(-iHt/hbar) (OBJ-019, a GROUP)",statistical mechanics / thermodynamics / quantum mechanics,UNRESOLVED,"PRF-PRIM PROVED these are mathematically DIFFERENT object classes from the SAME generator family (real vs imaginary exponent) -- registering them as ONE candidate primitive with TWO inequivalent realizations, not silently merged"
CAND-PRIM-003,Idempotent projector (P^2=P),"P_ker(L) (OBJ-008); implicit in quantum measurement/Born rule (OBJ-020)",spectral graph theory / quantum mechanics,UNRESOLVED,CALCULATED to be idempotent to machine precision for OBJ-008 specifically (9/9 families); its role in OBJ-020 is NOT independently established (Born rule itself is OPEN)
CAND-PRIM-004,Kernel / fixed-point subspace of an operator or map,"ker(L)=OBJ-008's image; T20 'Universality' fixed-point termination (OBJ-033); Fix(Gamma) target of DER-ORG-006 (not yet executed)",spectral graph theory / renormalization-group-style universality / organizational dynamics,UNRESOLVED,Appears at least 3 times under 3 different names in the SAME corpus (persistence/kernel; universality/fixed-point; Fix(Gamma)) -- a strong recurrence signal
CAND-PRIM-005,Spectral decomposition / eigenbasis (spectral theorem for self-adjoint operators),Underlies OBJ-006/007/008/010/018/019,"functional analysis (cross-cutting: spectral graph theory, QM, NCG)",UNRESOLVED,"This is arguably a THEOREM (spectral theorem) rather than a primitive -- flagged for Phase 4's necessity test to distinguish 'primitive' from 'consequence of a primitive'"
CAND-PRIM-006,Connection + curvature pair on a fiber/tangent bundle,"Levi-Civita connection + Riemann tensor (OBJ-012, gravity); gauge connection A_mu + field strength F_mu_nu (OBJ-016, gauge theory)",general relativity / gauge theory,UNRESOLVED,Structurally IDENTICAL mathematical pattern (connection -> curvature = its own commutator/exterior derivative) recurs in 2 physically distinct domains -- a strong candidate for a shared generative structure
CAND-PRIM-007,Variational/action functional + stationarity (Euler-Lagrange) principle,"Persistence cost functional C_Pi[y] (OBJ-014, ADMITTED not independently verified); Einstein-Hilbert action S_EH (OBJ-015, external/admitted); classical Hamiltonian mechanics (OBJ-032, admitted)",organizational dynamics (proposed) / general relativity / classical mechanics,UNRESOLVED,"3 different action functionals proposed/admitted across domains, but NO single unifying functional form was found anywhere in the corpus -- see Phase 6 note in PHASE_0_REPORT.md"
CAND-PRIM-008,Boundary/incidence operator satisfying d o d = 0,"Delta's literal source definition (OBJ-013); incidence matrix Inc (OBJ-004, standard graph theory)",algebraic topology / algebraic graph theory,UNRESOLVED,"PRF-PRIM PROVED OBJ-013 (as literally defined) is TYPE-INCOMPATIBLE with being an endomorphism of state space -- this candidate primitive's role in the corpus's own composed dynamics is internally inconsistent, a genuine finding carried forward from C0"
CAND-PRIM-009,Group action / symmetry (finite or continuous),"Aut(G) graph automorphisms (OBJ-009, PROVEN to satisfy the Liouville/volume-preservation condition); SM gauge group G_SM (OBJ-017, ADMITTED not independently verified)",algebraic graph theory / particle physics / gauge theory,UNRESOLVED,"OBJ-009's role as a candidate 'transformation' primitive is the ONLY one of the corpus's competing tau-realizations that survives its own stated definition (see falsification/C0/PRF-PRIM/)"
CAND-PRIM-010,Probability measure derived from a state,"Born rule p_i=|<i|psi>|^2 (OBJ-020, source's OWN proof registry marks this OPEN); Boltzmann microstate counting S=k_B ln W (OBJ-021, ADMITTED external)",quantum mechanics / statistical mechanics,UNRESOLVED,"Two different probability-measure constructions in two domains, NEITHER independently derived from a deeper structure anywhere in the corpus -- both remain OPEN/ADMITTED postulates"
CAND-PRIM-011,Functor between structured categories (category theory),ARBS recovery functor R: Graph_ARBS -> Field(M) (OBJ-030),category theory / geometric analysis,UNRESOLVED,"Source claims this is CERTIFIED (RF-001..005); a DIFFERENT source in the same corpus (SOURCE-010) disputes ARBS's canonical status entirely -- see results/reconciliation/CONFLICTS_AND_VERSION_RESOLUTION.md CONFLICT-001, carried forward unresolved into this independent branch"
CAND-PRIM-012,UOC's own proposed grammar {Delta; tau; kappa; Pi} as a SINGLE compound primitive (for comparison only),"PRIM-G-001..004, tested extensively in derivations/C0/PRF-PRIM/",organizational dynamics (UOC-proposed),FALSIFIED as a single coherent primitive (per PRF-PRIM),"Registered here ONLY for Phase 13 comparison later -- NOT treated as privileged or assumed correct, per the experiment's governing rule. PRF-PRIM already found: (a) Delta is internally type-inconsistent (CAND-PRIM-008 finding), (b) tau has 2 competing non-interchangeable realizations, (c) kappa/Pi are CONDITIONAL/derivable rather than independent"
