Q_ID,Section,Question,Required Result,Recommended UOC Action,Closure Flag,Relevance
1,I. Ontological Foundation,What must exist for any physically observable universe to exist at all?,"A unique, non-arbitrary minimal set of primitives from which observable physics follows.",Formalize minimal substrate and distinguish physics-required axioms from philosophical scope.,NOT EXPLICITLY CLOSED,CORE/EXTENDED
2,I. Ontological Foundation,What is the minimum ontological commitment required to formulate a fundamental physical theory?,A demonstrated minimal axiom set with no redundant primitives.,Formalize minimal substrate and distinguish physics-required axioms from philosophical scope.,NOT EXPLICITLY CLOSED,CORE/EXTENDED
3,I. Ontological Foundation,"Which entities or structures are genuinely fundamental, and which are emergent descriptions?",A derivation showing which structures are irreducible and which follow from them.,Formalize minimal substrate and distinguish physics-required axioms from philosophical scope.,NOT EXPLICITLY CLOSED,CORE/EXTENDED
4,I. Ontological Foundation,Can the fundamental theory be formulated without presupposing spacetime?,"A full formulation with spacetime demonstrably emergent, not assumed.",Formalize minimal substrate and distinguish physics-required axioms from philosophical scope.,NOT EXPLICITLY CLOSED,CORE/EXTENDED
5,I. Ontological Foundation,Can it be formulated without presupposing time?,"A dynamics with time genuinely emergent, not a relabeled constraint.",Formalize minimal substrate and distinguish physics-required axioms from philosophical scope.,NOT EXPLICITLY CLOSED,CORE/EXTENDED
6,I. Ontological Foundation,"Can it be formulated without presupposing matter, particles, fields, or quantum states?",A derivation of matter/fields as emergent excitations of a more primitive structure.,Formalize minimal substrate and distinguish physics-required axioms from philosophical scope.,NOT EXPLICITLY CLOSED,CORE/EXTENDED
7,I. Ontological Foundation,"Does the theory require an underlying substrate, or can physical reality be defined entirely relationally?",A working relational formulation with full predictive equivalence to substrate-based physics.,Formalize minimal substrate and distinguish physics-required axioms from philosophical scope.,NOT EXPLICITLY CLOSED,CORE/EXTENDED
8,I. Ontological Foundation,What distinguishes physical existence from mathematical possibility?,"A criterion, testable in principle, separating realized from merely consistent structures.",Formalize minimal substrate and distinguish physics-required axioms from philosophical scope.,NOT EXPLICITLY CLOSED,CORE/EXTENDED
9,I. Ontological Foundation,What determines which mathematically possible structures are physically realized?,"A selection principle, not merely an anthropic restatement of the question.",Formalize minimal substrate and distinguish physics-required axioms from philosophical scope.,NOT EXPLICITLY CLOSED,CORE/EXTENDED
10,I. Ontological Foundation,"Does the theory need to explain why something exists, or is existence itself a legitimate primitive?",Not a physics requirement in the conventional sense; depends on the theory's explanatory scope.,Formalize minimal substrate and distinguish physics-required axioms from philosophical scope.,NOT EXPLICITLY CLOSED,CORE/EXTENDED
11,II. Fundamental Organizational Process,What organizational process is occurring at the deepest physically meaningful level?,A defined generative process with derivable consequences matching known physics.,Instantiate Γ/O/Ψ and test universal organizational dynamics.,NOT EXPLICITLY CLOSED,CORE/EXTENDED
12,II. Fundamental Organizational Process,"What changes, and what remains invariant, during that process?",A clear invariant/variant decomposition tied to observed conservation laws.,Instantiate Γ/O/Ψ and test universal organizational dynamics.,NOT EXPLICITLY CLOSED,CORE/EXTENDED
