Equation_ID,Section_Code,Section,Local_ID,Equation,Meaning,Source,Status Note,vNEXT_Source_Tag
EQ-001,NCG,NCG,1,"(A, H, D)",Connes spectral triple,MASTER EQUATION MATRIX,SOURCE-CODED; see closure/status layer,Phase-1 (unchanged)
EQ-002,NCG,NCG,2,"S = Tr(f(D/Λ)) + <ψ,Dψ>",Spectral action + fermionic term,MASTER EQUATION MATRIX,SOURCE-CODED; see closure/status layer,Phase-1 (unchanged)
EQ-003,NCG,NCG,3,D² = ∇*∇ + (1/4)R,Lichnerowicz relation,MASTER EQUATION MATRIX,SOURCE-CODED; see closure/status layer,Phase-1 (unchanged)
EQ-004,NCG,NCG,4,Spec(D) = {λ_i},Dirac spectrum,MASTER EQUATION MATRIX,SOURCE-CODED; see closure/status layer,Phase-1 (unchanged)
EQ-005,NCG,NCG,5,A = C∞(M) × A_F,Algebra,MASTER EQUATION MATRIX,SOURCE-CODED; see closure/status layer,Phase-1 (unchanged)
EQ-006,NCG,NCG,6,"H = L²(M,S) × H_F",Hilbert space,MASTER EQUATION MATRIX,SOURCE-CODED; see closure/status layer,Phase-1 (unchanged)
EQ-007,NCG,NCG,7,D = D_M × 1 + γ⁵ × D_F,Product Dirac operator,MASTER EQUATION MATRIX,SOURCE-CODED; see closure/status layer,Phase-1 (unchanged)
EQ-008,NCG,NCG,8,D_A = D + A + JAJ⁻¹,Inner fluctuations,MASTER EQUATION MATRIX,SOURCE-CODED; see closure/status layer,Phase-1 (unchanged)
EQ-009,NCG,NCG,9,"A = Σ_i a_i[D,b_i]",Gauge potential,MASTER EQUATION MATRIX,SOURCE-CODED; see closure/status layer,Phase-1 (unchanged)
EQ-010,NCG,NCG,10,S_B = Tr(f(D_A/Λ)),Bosonic spectral action,MASTER EQUATION MATRIX,SOURCE-CODED; see closure/status layer,Phase-1 (unchanged)
EQ-011,NCG,NCG,11,"S_F = <Jψ,D_Aψ>",Fermionic spectral action,MASTER EQUATION MATRIX,SOURCE-CODED; see closure/status layer,Phase-1 (unchanged)
EQ-012,NCG,NCG,12,S = S_B + S_F,Full action,MASTER EQUATION MATRIX,SOURCE-CODED; see closure/status layer,Phase-1 (unchanged)
EQ-013,NCG,NCG,13,Tr(f(D/Λ)) ~ Σ_{n≥0} f_n Λ^{4-n} a_n(D²),Seeley-DeWitt expansion,MASTER EQUATION MATRIX,SOURCE-CODED; see closure/status layer,Phase-1 (unchanged)
EQ-014,NCG,NCG,14,f_n = ∫_0^∞ f(v)v^{n-1}dv,Moment definition,MASTER EQUATION MATRIX,SOURCE-CODED; see closure/status layer,Phase-1 (unchanged)
EQ-015,NCG,NCG,15,"a_0,a_2,a_4,a_6,...",Heat-kernel coefficients,MASTER EQUATION MATRIX,SOURCE-CODED; see closure/status layer,Phase-1 (unchanged)
EQ-016,NCG,NCG,16,Λ⁴a_0 + Λ²a_2 + a_4 + O(Λ⁻²),Expansion,MASTER EQUATION MATRIX,SOURCE-CODED; see closure/status layer,Phase-1 (unchanged)
EQ-017,NCG,NCG,17,K(t)=Tr(exp(-tD²)),Heat kernel,MASTER EQUATION MATRIX,SOURCE-CODED; see closure/status layer,Phase-1 (unchanged)
EQ-018,NCG,NCG,18,ζ_D(s)=Tr(D^{-s}),Zeta function,MASTER EQUATION MATRIX,SOURCE-CODED; see closure/status layer,Phase-1 (unchanged)
EQ-019,NCG,NCG,19,S_ζ=ζ_D(0),Zeta action,MASTER EQUATION MATRIX,SOURCE-CODED; see closure/status layer,Phase-1 (unchanged)
