SOURCE_ID,Filename,Role_for_independent_reconstruction,Mathematical_content_density,Ontology_neutral_objects_extracted_from_it,Notes
SOURCE-001,Theory of Everything - Status Report.docx,External mainstream-physics baseline for Phase 13 comparison and Phase 12 falsification limits,"LOW (narrative status report, no equations)",0,Useful for Phase 12 (adversarial falsification against known-physics limits) and as an UNBIASED external checklist independent of UOC framing
SOURCE-002,ToE Gap Matrix.xlsx,164-question external completeness checklist,"LOW (questions, no equations)",0,Useful for Phase 14's completeness self-check
SOURCE-003,UOC_Master_Closure_Updated.xlsx,Superseded by SOURCE-004 (identical content embedded),MEDIUM,0 (all content reachable via SOURCE-004),Not separately re-mined
SOURCE-004,UOC_ToE_Canonical_Bridge_Closure_Execution_v2.0.xlsx,"PRIMARY mathematical content source: equation registry (174 equations), DER registry, theorem registry, COSMO-DYN results",HIGH,~26 of 36 objects (OBJ-001..030 mostly),Read via registries/ (Phase 1 extraction) rather than re-parsing raw sheets
SOURCE-005,UOC_ToE_Canonical_Calculated_Master_v1.0.xlsx,Certified/calculated-only cross-check subset of SOURCE-004,MEDIUM,"0 (subset of SOURCE-004 content, not separately re-mined)",Used implicitly via registries/CALCULATED_ONLY_*.csv cross-checks in Phase 1
SOURCE-006..009,Synchronization Masters v1-v3 + DAG Closure v1.0,Verified-identical ancestors of SOURCE-004 (Phase 1.5),HIGH (same content as SOURCE-004),"0 (identical content, not double-counted)",See results/reconciliation/SYNCHRONIZATION_HISTORY.md
SOURCE-010,UOC_ToE_Open_Closure_Master_v1.0.xlsx,Open-problem/external-benchmark/theorem-target registry -- NOT a calculation source,"LOW-MEDIUM (targets and benchmarks, few equations)","0 (no new mathematical objects; TDIC referenced but never formally defined, see OBJ-GAP entries)","Used for Phase 11-13 external comparison context (successful theories ST-*, external programs EXT-*)"
EXT-001,Godsil and Royle -- Algebraic Graph Theory (admitted external),Standard-mathematics identity L=Inc.Inc^T,N/A (external textbook fact),1 (OBJ-004),"Admitted per PRF-PRIM registration; not independently re-derived from first principles here, cited as established mathematics"
EXT-002,"Standard spectral graph theory (cospectral graph counterexamples, admitted external)",Falsification evidence for Delta-reconstructibility,N/A (external textbook fact),"0 (used as evidence, not as an object)",Admitted per PRF-PRIM registration
EXT-003,Standard linear algebra (automorphism-spectral-projector commutation),Positive structural lemma; general proof constructed in this repo,N/A,1 (supports OBJ-008/OBJ-009 relationship),General argument proven in derivations/C0/PRF-PRIM/04_tau_liouville_and_kappa_commutation.py
EXT-004,Standard physics (Hawking 1974; Bekenstein 1973) -- Bekenstein-Hawking entropy,External black-hole thermodynamics,N/A,1 (OBJ-031),"Registered fresh in this phase; well-established, not UOC-original, not previously registered as an EXT-ID in Phase 1/1.5"
