UPSTREAM_ID,Filename,Type,Role_in_corpus,Sync_Status_claimed_by_corpus,Bytes_per_corpus,SHA256_per_corpus,Independently_present_in_this_workspace,Verification_note
SRC-001,UOC_ToE_Canonical_Synchronization_Master_v2.0.xlsx,XLSX,Canonical synchronization predecessor,v2 master database,468963,8cee19789757432bd4d866a2a6ebcefca4cfeadf4d6e5f4b111ae74a4b91b32e,NO,"Not uploaded to this session; content survives only as extracted text/table fragments embedded in SOURCE-004 (sheets 03_RAW_DOC_TABLES, 04_RAW_DOC_PARAGRAPHS, 54_SOURCE_TEXT_CORPUS, 55_SOURCE_XLSX_SNAPSHOTS). Hash/byte-count below is the corpus's own self-reported value, not independently re-verified by this session."
SRC-002,UOC_Master_Closure_Updated.xlsx,XLSX,Closure database,Synchronized,46545,4c65d28c01afc495c2ded8d4df672d09b88de152e99c8523094bb924cbcf4cfd,YES — matches SOURCE-003 (hash-verified identical),Independently verified: SHA256 matches the file uploaded to this session as SOURCE-003.
SRC-003,UOC_SEIT_Combined_Master_Matrix.xlsx,XLSX,SEIT master database,Synchronized,29835,8ce73df5f60f95a39c4534a0a650baf3800a21164f7b8a65bb2a4d902fe2ae42,NO,"Not uploaded to this session; content survives only as extracted text/table fragments embedded in SOURCE-004 (sheets 03_RAW_DOC_TABLES, 04_RAW_DOC_PARAGRAPHS, 54_SOURCE_TEXT_CORPUS, 55_SOURCE_XLSX_SNAPSHOTS). Hash/byte-count below is the corpus's own self-reported value, not independently re-verified by this session."
SRC-004,ToE Gap Matrix.xlsx,XLSX,164-question gap database,Synchronized,32872,2bcd0954977694487e08477cebf5d8c93fcb85d48f53a8760fe12206ae7baecd,YES — matches SOURCE-002 (hash-verified identical),Independently verified: SHA256 matches the file uploaded to this session as SOURCE-002.
SRC-005,Combined Compiler Theories Whitepaper(2).docx,DOCX,Compiler/ToE source corpus,Synchronized,1847272,a85fe31a180dd9de355379997ea20e4430799163246c824bd381975d87fb5b6c,NO,"Not uploaded to this session; content survives only as extracted text/table fragments embedded in SOURCE-004 (sheets 03_RAW_DOC_TABLES, 04_RAW_DOC_PARAGRAPHS, 54_SOURCE_TEXT_CORPUS, 55_SOURCE_XLSX_SNAPSHOTS). Hash/byte-count below is the corpus's own self-reported value, not independently re-verified by this session."
SRC-006,SEIT Updated Whitepaper(1).docx,DOCX,SEIT source corpus,Synchronized,24229,11ba6f285665f9e95b384fe023239b71cdec7d280ddedd2d072f9a79f4a097e2,NO,"Not uploaded to this session; content survives only as extracted text/table fragments embedded in SOURCE-004 (sheets 03_RAW_DOC_TABLES, 04_RAW_DOC_PARAGRAPHS, 54_SOURCE_TEXT_CORPUS, 55_SOURCE_XLSX_SNAPSHOTS). Hash/byte-count below is the corpus's own self-reported value, not independently re-verified by this session."
SRC-007,Theory of Everything - Status Report(1).docx,DOCX,Project status source,Synchronized,20340,7369a4ebde4ee742d180599fd3c9f1558011f716d3a6b555d9be1234bd690457,YES — matches SOURCE-001 (hash-verified identical),Independently verified: SHA256 matches the file uploaded to this session as SOURCE-001.
SRC-008,UCG Specification v5(1).docx,DOCX,Universal compiler grammar specification,Synchronized,61895,aee383e02ea4ea40f31b95474e5f9b89a9c0d26a8456ef91d9a8912f82d50624,NO,"Not uploaded to this session; content survives only as extracted text/table fragments embedded in SOURCE-004 (sheets 03_RAW_DOC_TABLES, 04_RAW_DOC_PARAGRAPHS, 54_SOURCE_TEXT_CORPUS, 55_SOURCE_XLSX_SNAPSHOTS). Hash/byte-count below is the corpus's own self-reported value, not independently re-verified by this session."
SRC-009,UCR UCCP UCA v1(1).docx,DOCX,Compiler recovery/UCCP/UCA source,Synchronized,28951,b40cbd491090596ec17dcb72942c8988256dae63884e2dbfb2b96cdcceb62e4b,NO,"Not uploaded to this session; content survives only as extracted text/table fragments embedded in SOURCE-004 (sheets 03_RAW_DOC_TABLES, 04_RAW_DOC_PARAGRAPHS, 54_SOURCE_TEXT_CORPUS, 55_SOURCE_XLSX_SNAPSHOTS). Hash/byte-count below is the corpus's own self-reported value, not independently re-verified by this session."
SRC-010,UQR UCA v2(1).docx,DOCX,Quantum recovery/UCA source,Synchronized,33766,6507fbfba4f077610835844cb6c5c74ec17c75339116194e6f60262b3d9e1009,NO,"Not uploaded to this session; content survives only as extracted text/table fragments embedded in SOURCE-004 (sheets 03_RAW_DOC_TABLES, 04_RAW_DOC_PARAGRAPHS, 54_SOURCE_TEXT_CORPUS, 55_SOURCE_XLSX_SNAPSHOTS). Hash/byte-count below is the corpus's own self-reported value, not independently re-verified by this session."
SRC-011,UPG Canonical Reference.docx,DOCX,Canonical primitive/grammar reference,Synchronized,35826,5aa59341ef3f4728c8e012c27314a488e8ed49e544678f85dc274a78cf785b9b,NO,"Not uploaded to this session; content survives only as extracted text/table fragments embedded in SOURCE-004 (sheets 03_RAW_DOC_TABLES, 04_RAW_DOC_PARAGRAPHS, 54_SOURCE_TEXT_CORPUS, 55_SOURCE_XLSX_SNAPSHOTS). Hash/byte-count below is the corpus's own self-reported value, not independently re-verified by this session."
SRC-012,CVR-001 Compiler Verification Report.docx,DOCX,Compiler verification source,Synchronized,26520,a34e74ae897b55bd56b959ea9b383dc907e7d7af2484179c0f8a31747e7ce08f,NO,"Not uploaded to this session; content survives only as extracted text/table fragments embedded in SOURCE-004 (sheets 03_RAW_DOC_TABLES, 04_RAW_DOC_PARAGRAPHS, 54_SOURCE_TEXT_CORPUS, 55_SOURCE_XLSX_SNAPSHOTS). Hash/byte-count below is the corpus's own self-reported value, not independently re-verified by this session."
SRC-013,SEF SIT Specification v2.docx,DOCX,Spectral emergence specification,Synchronized,15941,755b443b11e7a8072efd432a417d0cbc4eccc6931971244a45968932ad62fb67,NO,"Not uploaded to this session; content survives only as extracted text/table fragments embedded in SOURCE-004 (sheets 03_RAW_DOC_TABLES, 04_RAW_DOC_PARAGRAPHS, 54_SOURCE_TEXT_CORPUS, 55_SOURCE_XLSX_SNAPSHOTS). Hash/byte-count below is the corpus's own self-reported value, not independently re-verified by this session."
SRC-014,Audit and Recommended Revisions.docx,DOCX,Audit/correction source,Synchronized,16363,62a3ff6e0f63f08b37d73f9984e5757e82ae8ac8a983514b37fd7cb0f9a8c636,NO,"Not uploaded to this session; content survives only as extracted text/table fragments embedded in SOURCE-004 (sheets 03_RAW_DOC_TABLES, 04_RAW_DOC_PARAGRAPHS, 54_SOURCE_TEXT_CORPUS, 55_SOURCE_XLSX_SNAPSHOTS). Hash/byte-count below is the corpus's own self-reported value, not independently re-verified by this session."
SRC-015,DER Registry v2.docx,DOCX,Derivation registry,Synchronized,33895,ef13776ae5fef5ec54af3d7e270970a9c5787d227b8ac5d1df2e7e143916269f,NO,"Not uploaded to this session; content survives only as extracted text/table fragments embedded in SOURCE-004 (sheets 03_RAW_DOC_TABLES, 04_RAW_DOC_PARAGRAPHS, 54_SOURCE_TEXT_CORPUS, 55_SOURCE_XLSX_SNAPSHOTS). Hash/byte-count below is the corpus's own self-reported value, not independently re-verified by this session."
SRC-016,DER Registry.docx,DOCX,Prior derivation registry,Version comparison,28172,a990d6f47a9a2599643b4851abe2d699dbfa3b40cf212a1b242113e6c3e12bbe,NO,"Not uploaded to this session; content survives only as extracted text/table fragments embedded in SOURCE-004 (sheets 03_RAW_DOC_TABLES, 04_RAW_DOC_PARAGRAPHS, 54_SOURCE_TEXT_CORPUS, 55_SOURCE_XLSX_SNAPSHOTS). Hash/byte-count below is the corpus's own self-reported value, not independently re-verified by this session."
SRC-017,Master Equation Matrix.docx,DOCX,Source equation corpus,Synchronized in v2,,,NO,"Not uploaded to this session; content survives only as extracted text/table fragments embedded in SOURCE-004 (sheets 03_RAW_DOC_TABLES, 04_RAW_DOC_PARAGRAPHS, 54_SOURCE_TEXT_CORPUS, 55_SOURCE_XLSX_SNAPSHOTS). Hash/byte-count below is the corpus's own self-reported value, not independently re-verified by this session."
