Edge_ID,Edge_Type,Parent,Child,Child_Title,Child_Status,Authority
EDGE-DER-DER-SDR-001-ROOT,DER,DER-SDR-001,ROOT,Strict Dependency Relation — Definition,CERTIFIED,SOURCE
EDGE-DER-SDR-001-DER-SDR-002,DER,DER-SDR-001,DER-SDR-002,Irreflexivity,CERTIFIED,DER Registry v2
EDGE-DER-SDR-001-DER-SDR-003,DER,DER-SDR-001,DER-SDR-003,Transitivity,CERTIFIED,DER Registry v2
EDGE-DER-SDR-001-DER-SDR-004,DER,DER-SDR-001,DER-SDR-004,Acyclicity,CERTIFIED,DER Registry v2
EDGE-SDR-001 through SDR-004-DER-SDR-005,DER,SDR-001 through SDR-004,DER-SDR-005,Recovery Admissibility,CERTIFIED,DER Registry v2
EDGE-PRIM-001-DER-ORG-001,DER,PRIM-001,DER-ORG-001,Organizational Grammar Recovery,CERTIFIED,DER Registry v2
EDGE-DER-SDR-002-DER-ORG-001,DER,DER-SDR-002,DER-ORG-001,Organizational Grammar Recovery,CERTIFIED,DER Registry v2
EDGE-DER-SDR-003-DER-ORG-001,DER,DER-SDR-003,DER-ORG-001,Organizational Grammar Recovery,CERTIFIED,DER Registry v2
EDGE-DER-ORG-001-DER-ORG-002,DER,DER-ORG-001,DER-ORG-002,Organizational State Evolution,CERTIFIED,DER Registry v2
EDGE-DER-ORG-002-DER-ORG-003,DER,DER-ORG-002,DER-ORG-003,Persistence / Fixed-Point Recovery,CERTIFIED,DER Registry v2
EDGE-DER-ORG-003-DER-ORG-004,DER,DER-ORG-003,DER-ORG-004,Recursive Organizational Distinction,CERTIFIED,DER Registry v2
EDGE-DER-ORG-001-DER-ORG-005,DER,DER-ORG-001,DER-ORG-005,Organizational Compiler Interface,CERTIFIED,DER Registry v2
EDGE-DER-SPC-001-DER-ORG-005,DER,DER-SPC-001,DER-ORG-005,Organizational Compiler Interface,CERTIFIED,DER Registry v2
EDGE-DER-ORG-003-DER-ORG-006,DER,DER-ORG-003,DER-ORG-006,Fixed-Point Equivalence Theorem,OPEN,DER Registry v2
EDGE-DER-SPC-005-DER-ORG-006,DER,DER-SPC-005,DER-ORG-006,Fixed-Point Equivalence Theorem,OPEN,DER Registry v2
EDGE-DER-ORG-003-DER-ORG-007,DER,DER-ORG-003,DER-ORG-007,Organizational Persistence Functional Recovery,OPEN,DER Registry v2
EDGE-DER-TRC-002-DER-ORG-007,DER,DER-TRC-002,DER-ORG-007,Organizational Persistence Functional Recovery,OPEN,DER Registry v2
EDGE-DER-ORG-003-DER-ORG-008,DER,DER-ORG-003,DER-ORG-008,Organizational Attractor Uniqueness,OPEN,DER Registry v2
EDGE-DER-ORG-005-DER-ORG-009,DER,DER-ORG-005,DER-ORG-009,Compiler Completeness Theorem,OPEN,DER Registry v2
EDGE-DER-SDR-005-DER-ORG-010,DER,DER-SDR-005,DER-ORG-010,Dependency Completeness Theorem,OPEN,DER Registry v2
EDGE-DER-ORG-009-DER-ORG-010,DER,DER-ORG-009,DER-ORG-010,Dependency Completeness Theorem,OPEN,DER Registry v2
EDGE-DER-ORG-001-DER-SPC-001,DER,DER-ORG-001,DER-SPC-001,Organizational Graph Recovery,CERTIFIED,DER Registry v2
EDGE-DER-SPC-001-DER-SPC-002,DER,DER-SPC-001,DER-SPC-002,Laplacian Recovery,CERTIFIED,DER Registry v2
EDGE-DER-SPC-002-DER-SPC-003,DER,DER-SPC-002,DER-SPC-003,Spectrum Recovery,CERTIFIED,DER Registry v2
EDGE-DER-SPC-003-DER-SPC-004,DER,DER-SPC-003,DER-SPC-004,Heat Kernel Recovery,CERTIFIED,DER Registry v2
EDGE-DER-SPC-003-DER-SPC-005,DER,DER-SPC-003,DER-SPC-005,Spectral Persistence Operator,CERTIFIED,DER Registry v2
EDGE-DER-SPC-005-DER-SPC-006,DER,DER-SPC-005,DER-SPC-006,Spectral Organizational Fixed Point,OPEN,DER Registry v2
EDGE-DER-GEO-001-DER-VAR-001,DER,DER-GEO-001,DER-VAR-001,Action Functional Recovery,CERTIFIED,DER Registry v2
EDGE-DER-SPC-003-DER-VAR-001,DER,DER-SPC-003,DER-VAR-001,Action Functional Recovery,CERTIFIED,DER Registry v2
EDGE-DER-VAR-001-DER-VAR-002,DER,DER-VAR-001,DER-VAR-002,Euler-Lagrange Recovery,CERTIFIED,DER Registry v2
EDGE-DER-VAR-002-DER-VAR-003,DER,DER-VAR-002,DER-VAR-003,Legendre Transform Recovery,CERTIFIED,DER Registry v2
EDGE-DER-GEO-005-DER-VAR-004,DER,DER-GEO-005,DER-VAR-004,Einstein-Hilbert Action,CERTIFIED,DER Registry v2
EDGE-DER-VAR-004-DER-VAR-005,DER,DER-VAR-004,DER-VAR-005,Einstein Equation Recovery from Variation,CERTIFIED,DER Registry v2
EDGE-DER-GEO-006-DER-VAR-005,DER,DER-GEO-006,DER-VAR-005,Einstein Equation Recovery from Variation,CERTIFIED,DER Registry v2
EDGE-DER-SPC-003-DER-GEO-001,DER,DER-SPC-003,DER-GEO-001,Metric Recovery,CERTIFIED,DER Registry v2
EDGE-DER-GEO-001-DER-GEO-002,DER,DER-GEO-001,DER-GEO-002,Connection Recovery,CERTIFIED,DER Registry v2
EDGE-DER-GEO-002-DER-GEO-003,DER,DER-GEO-002,DER-GEO-003,Curvature Tensor Recovery,CERTIFIED,DER Registry v2
EDGE-DER-GEO-003-DER-GEO-004,DER,DER-GEO-003,DER-GEO-004,Ricci Tensor Recovery,CERTIFIED,DER Registry v2
EDGE-DER-GEO-004-DER-GEO-005,DER,DER-GEO-004,DER-GEO-005,Scalar Curvature Recovery,CERTIFIED,DER Registry v2
EDGE-DER-GEO-005-DER-GEO-006,DER,DER-GEO-005,DER-GEO-006,Einstein Tensor Recovery,CERTIFIED,DER Registry v2
EDGE-DER-SPC-002-DER-GAU-001,DER,DER-SPC-002,DER-GAU-001,Gauge Connection,CERTIFIED,DER Registry v2
EDGE-DER-GAU-001-DER-GAU-002,DER,DER-GAU-001,DER-GAU-002,Electromagnetic Curvature,CERTIFIED,DER Registry v2
EDGE-DER-GAU-001-DER-GAU-003,DER,DER-GAU-001,DER-GAU-003,Covariant Derivative,CERTIFIED,DER Registry v2
EDGE-DER-GEO-002-DER-GAU-003,DER,DER-GEO-002,DER-GAU-003,Covariant Derivative,CERTIFIED,DER Registry v2
EDGE-DER-GAU-002-DER-GAU-004,DER,DER-GAU-002,DER-GAU-004,Yang-Mills Recovery,CERTIFIED,DER Registry v2
EDGE-DER-GAU-003-DER-GAU-004,DER,DER-GAU-003,DER-GAU-004,Yang-Mills Recovery,CERTIFIED,DER Registry v2
EDGE-DER-SPC-003-DER-QR-001,DER,DER-SPC-003,DER-QR-001,Hilbert Space Recovery,CERTIFIED,DER Registry v2
EDGE-DER-QR-001-DER-QR-002,DER,DER-QR-001,DER-QR-002,Schrodinger Recovery,CERTIFIED,DER Registry v2
EDGE-DER-SPC-003-DER-QR-002,DER,DER-SPC-003,DER-QR-002,Schrodinger Recovery,CERTIFIED,DER Registry v2
EDGE-DER-QR-002-DER-QR-003,DER,DER-QR-002,DER-QR-003,Heisenberg Recovery,CERTIFIED,DER Registry v2
EDGE-DER-QR-003-DER-QR-004,DER,DER-QR-003,DER-QR-004,Uncertainty Structure,CERTIFIED,DER Registry v2
EDGE-DER-GEO-001-DER-QR-005,DER,DER-GEO-001,DER-QR-005,Clifford Algebra Recovery,CERTIFIED,DER Registry v2
EDGE-DER-QR-005-DER-QR-006,DER,DER-QR-005,DER-QR-006,Dirac Operator Recovery,CERTIFIED,DER Registry v2
EDGE-DER-GAU-003-DER-QR-006,DER,DER-GAU-003,DER-QR-006,Dirac Operator Recovery,CERTIFIED,DER Registry v2
EDGE-DER-QR-006-DER-QR-007,DER,DER-QR-006,DER-QR-007,Spin Recovery,CERTIFIED,DER Registry v2
EDGE-DER-QR-007-DER-QR-008,DER,DER-QR-007,DER-QR-008,Magnetic Moment Recovery,CERTIFIED,DER Registry v2
EDGE-DER-GAU-001-DER-QR-008,DER,DER-GAU-001,DER-QR-008,Magnetic Moment Recovery,CERTIFIED,DER Registry v2
EDGE-PRIM-004-DER-TRC-001,DER,PRIM-004,DER-TRC-001,Internal Energy Recovery,CERTIFIED,DER Registry v2
EDGE-DER-TRC-001-DER-TRC-002,DER,DER-TRC-001,DER-TRC-002,Entropy Recovery,CERTIFIED,DER Registry v2
EDGE-DER-TRC-002-DER-TRC-003,DER,DER-TRC-002,DER-TRC-003,Entropy Flux Recovery,CERTIFIED,DER Registry v2
EDGE-DER-TRC-002-DER-TRC-004,DER,DER-TRC-002,DER-TRC-004,Clausius-Duhem Recovery,CERTIFIED,DER Registry v2
EDGE-DER-TRC-003-DER-TRC-004,DER,DER-TRC-003,DER-TRC-004,Clausius-Duhem Recovery,CERTIFIED,DER Registry v2
EDGE-DER-TRC-003-DER-TRC-005,DER,DER-TRC-003,DER-TRC-005,Fourier Heat Flux Recovery,CERTIFIED,DER Registry v2
EDGE-DER-TRC-002-DER-TRC-006,DER,DER-TRC-002,DER-TRC-006,Organizational Persistence Functional,OPEN,DER Registry v2
EDGE-DER-SPC-003-DER-TRC-006,DER,DER-SPC-003,DER-TRC-006,Organizational Persistence Functional,OPEN,DER Registry v2
EDGE-DER-PRIM-001-ROOT,DER,PRIM-001,ROOT,Delta (Distinction),CERTIFIED,SOURCE
EDGE-DER-PRIM-002-ROOT,DER,PRIM-002,ROOT,tau (Transformation),CERTIFIED,SOURCE
EDGE-DER-PRIM-003-ROOT,DER,PRIM-003,ROOT,kappa (Constraint),CERTIFIED,SOURCE
EDGE-DER-PRIM-004-ROOT,DER,PRIM-004,ROOT,E (Energy),CERTIFIED,SOURCE
EDGE-DER-PRIM-005-ROOT,DER,PRIM-005,ROOT,B (Bipartite substrate),CERTIFIED,SOURCE
