Variable_ID,Symbol,Definition,Units,Status,Origins
VAR-0001,Delta,Distinction primitive,,SOURCE-REGISTERED,USR; EQ:SP.16; EQ:SP.22; EQ:SP.23; EQ:PE.13; EQ:QM.6; EQ:RG.2; EQ:RG.4; EQ:RG.6; EQ:RG.7; EQ:RG.8; EQ:MC.20
VAR-0002,tau,Transformation primitive,,SOURCE-REGISTERED,USR; EQ:RG.2; EQ:RG.4; EQ:RG.7; EQ:RG.8
VAR-0003,kappa,Constraint primitive,,SOURCE-REGISTERED,USR; EQ:RG.2; EQ:RG.4; EQ:RG.7; EQ:RG.8
VAR-0004,Pi,Persistence primitive,,SOURCE-REGISTERED,USR; EQ:OD.6; EQ:RG.4; EQ:RG.6; EQ:RG.7; EQ:RG.8; EQ:MC.20
VAR-0005,Gamma,Organizational action,,SOURCE-REGISTERED,USR; EQ:GE.11; EQ:PE.7; EQ:PE.8; EQ:PE.12; EQ:PE.13; EQ:CV.1; EQ:CV.2; EQ:OD.5; EQ:MC.9; EQ:MC.10; EQ:MC.15; EQ:MC.16; EQ:MC.20
VAR-0006,"G=(V,E)",Distinction graph,,SOURCE-REGISTERED,USR
VAR-0007,L=D-A,Graph Laplacian,,SOURCE-REGISTERED,USR
VAR-0008,"Spec(L)={lam_n,phi_n}",Laplacian spectrum,,SOURCE-REGISTERED,USR
VAR-0009,K_t=exp(-tL),Heat kernel,,SOURCE-REGISTERED,USR
VAR-0010,R=exp(-beta L),Persistence filter,,SOURCE-REGISTERED,USR
VAR-0011,"d(i,j)",Diffusion distance,,SOURCE-REGISTERED,USR
VAR-0012,g_{mu nu},Metric tensor,,SOURCE-REGISTERED,USR
VAR-0013,Gamma^c_{ab},Christoffel symbols,,SOURCE-REGISTERED,USR
VAR-0014,R^rho_{sig mu nu},Riemann tensor,,SOURCE-REGISTERED,USR
VAR-0015,R_{mu nu},Ricci tensor,,SOURCE-REGISTERED,USR
VAR-0016,R,Ricci scalar,,SOURCE-REGISTERED,USR; EQ:NCG.3; EQ:CV.2; EQ:CV.3; EQ:CV.4; EQ:CV.5; EQ:CV.7; EQ:CV.8; EQ:CV.9; EQ:CV.11; EQ:PH.3; EQ:OD.15; EQ:MC.10; EQ:MC.17
VAR-0017,G_{mu nu},Einstein tensor,,SOURCE-REGISTERED,USR
VAR-0018,A_mu,Gauge connection,,SOURCE-REGISTERED,USR
VAR-0019,F_{mu nu},Field strength,,SOURCE-REGISTERED,USR
VAR-0020,D_mu,Covariant derivative,,SOURCE-REGISTERED,USR
VAR-0021,psi,Spinor field,,SOURCE-REGISTERED,USR; EQ:NCG.2; EQ:NCG.11; EQ:GE.5; EQ:GE.6; EQ:PE.2; EQ:QM.1; EQ:QM.2; EQ:MC.12
VAR-0022,T_{mu nu},Stress-energy tensor,,SOURCE-REGISTERED,USR
VAR-0023,sigma,Entropy production rate,,SOURCE-REGISTERED,USR
VAR-0024,Pi_O,Org. Persistence Functional,,SOURCE-REGISTERED,USR
VAR-0025,alpha,Control parameter,,SOURCE-REGISTERED,USR; UCCP; EQ:OD.2; EQ:OD.3; EQ:OD.7; EQ:OD.8; EQ:OD.9; EQ:OD.10; EQ:MC.18
VAR-0026,U_alpha,Evolution operator,,SOURCE-REGISTERED,USR; EQ:OD.1; EQ:OD.2; EQ:OD.3; EQ:MC.18; EQ:MC.19
VAR-0027,Omega,Master attractor,,SOURCE-REGISTERED,USR; EQ:SP.19; EQ:SP.21; EQ:PH.13; EQ:OD.6; EQ:OD.14; EQ:OD.15
VAR-0028,D=sqrt(L),Dirac operator,,SOURCE-REGISTERED,USR
VAR-0029,S_EH,Einstein-Hilbert action,,SOURCE-REGISTERED,USR
VAR-0030,C_Pi[y],Persistence Cost Functional,,SOURCE-REGISTERED,USR
