Source_Table,ID,Symbol,Meaning,Units,Governing Constants,Formula / Connection,Invariance / Notes
5,MAS-001,m,Generic mass,kg,"c, G, hbar",m = E/c^2; m = p_mu p^mu / c^2,Lorentz group
5,MAS-002,m_e,Electron mass,kg,"hbar, c, G (via Planck), v_H, y_e",m_e = y_e v_H / sqrt(2) OR m_e = m_0 sqrt(lambda_e),Lorentz group
5,MAS-003,m_p,Proton mass,kg,"hbar, c, Lambda_QCD",m_p ~ Lambda_QCD / c^2 (QCD confinement),"Lorentz group, SU(3)_color"
5,MAS-004,M,General body mass,kg,G,F = GMm/r^2 (Newtonian); T_{00} (relativistic),Diffeomorphism group
5,MAS-005,m_P,Planck mass,kg,"G, hbar, c",m_P = sqrt(hbar c / G),Diffeomorphism group
5,MAS-006,m_{aP},Persistence Axion mass,eV/c^2,"N_sub, Lambda_QCD, M_Pl",m_{aP} = Lambda^2_QCD / (N_sub * M_Pl),U(1)_axion
7,EN-001,E_rest,Rest energy: E = mc^2,J,"c, m",Appears in DER-GEO-001 (spectral metric); m_n = m_0 sqrt(lambda_n) gives E_n = m_n c^2,
7,EN-002,E_kin,Kinetic energy: T = p^2/2m (NR),J,m,Appears in DER-VAR-003 (Legendre transform); Hamiltonian kinetic sector,
7,EN-003,E_pot,Potential energy: V = -GMm/r,J,"G, M, m",Appears in DER-VAR-001 (Persistence Cost Functional); potential sector,
7,EN-004,E_therm,Thermal energy: E = k_B T,J,k_B,Appears in DER-TRC-002 (entropy); k_B T sets the thermal fluctuation scale,
7,EN-005,E_vac,Vacuum energy density: rho_Lambda = Lambda c^4 / 8piG,J/m^3,"Lambda, c, G",DER-TRC-006 (OPEN): Pi_O must accommodate positive Lambda,
7,EN-006,E_org,Organizational energy: cost of one DTC cycle,Compiler,"Gamma, Pi",C_Pi[y] = INT(g_{ab} y'_a y'_b + 2 I_F)dt — the persistence cost functional VAR-001,
9,RT-001,Gamma_decay,Decay rate of an unstable state,s^{-1},Gamma = 1/tau (mean lifetime),DER-QR-003 (Heisenberg); Gamma = Im(E)/hbar in QM,
9,RT-002,gamma_org,Organizational growth parameter,s^{-1},gamma = dPi_O/dt in NEDS regime,COMP-006 audit item; requires DER-ORG-007 (Pi_O derivation),
9,RT-003,H,Hubble expansion rate,s^{-1},H = a_dot / a (scale factor rate),Adjacent to DER-TRC-006; H^2 = 8piG rho/3 + Lambda/3,
9,RT-004,k_rxn,Chemical reaction rate,mol/(L*s),k = A exp(-E_a / k_B T) (Arrhenius),NEDS rate quantifying organizational throughput sigma in TRC branch,
9,RT-005,dI/dt,Information generation rate,bits/s,dI/dt = d/dt(-sum p_i ln p_i),DER-TRC-002 (entropy); characterizes NEDS vs TEDS regime boundary,
9,RT-006,dPi_O/dt,Organizational persistence rate,s^{-1},"dPi_O/dt = g(sigma, dC/dt, dSpec/dt)",DER-ORG-007 (OPEN); the key rate distinguishing organizational evolution stages,
9,RT-007,sigma_dot,Entropy production rate,J/(K*s),sigma = sum_i J_i X_i >= 0,DER-TRC-004 (Clausius-Duhem); the TNDS driving rate,
9,RT-008,Phi_in,Free energy influx rate,W,Phi_in = alpha * Phi_decay,Control parameter numerator; alpha = Phi_in / Phi_decay defines regime,
11,ORG-001,Pi_O,Organizational Persistence Functional,"Pi_O = f(sigma, C, Spec(L)) in [0,1]","DER-ORG-007, DER-TRC-006",OPEN — coupling equation proposed,
11,ORG-002,alpha,Organizational control parameter,alpha = Phi_in / Phi_decay,UCG Sec 12 (bifurcation),CERTIFIED (bifurcation theorem),
11,ORG-003,Omega,Master attractor state,Omega = lim_{n->inf} R^n U,DER-SPC-005,CERTIFIED (Banach FPT),
11,ORG-004,Spec(L),Spectral invariant of distinction network,"Spec(L) = {lambda_n, phi_n}",DER-SPC-003,CERTIFIED,
11,ORG-005,delta_spec,Spectral gap,delta_spec = lambda_1(L) - lambda_0(L) = lambda_1(L),DER-SPC-006,OPEN (uniqueness),
11,ORG-006,N_sub,Spectral trace dimension,N_sub = 4.7619 (locked by n_s = 0.965),SEIT predictions,CERTIFIED (CMB lock),
11,ORG-007,D_s,Spectral dimension,D_s = -2 lim_{t->0} d(ln P(t))/d(ln t),DER-SPC-004,CERTIFIED,
11,ORG-008,C(O),Canonical DTC form of system O,"C(O) = canonical G* expression in {D,T,C}",DER-ORG-005,CERTIFIED (modulo completeness),
30,CHR-001,q,Generic electric charge,e,U(1)_EM,Measures coupling of a Distinction boundary to the electromagnetic gauge field,
30,CHR-002,e,Elementary charge (as quantity),PHYS-004 (e as constant),U(1)_EM,The minimal quantum of electromagnetic coupling. Root of the EM charge sector.,
30,CHR-003,Q_color,Color charge,alpha_s (PHYS-014),SU(3)_color,Measures coupling to gluon field; confined — never observed in isolation,
30,CHR-004,Q_weak,Weak isospin charge,g_W (PHYS-015),SU(2)_L,Measures coupling to W/Z bosons; left-chiral only (parity violation),
30,CHR-005,Q_org,Organizational charge,"Gamma, kappa",Grammar symmetry group,The compiler analogue: measures how strongly a distinction boundary couples to the organizational constraint field,
31,MOM-001,p,Linear momentum,p = m v = hbar k,"hbar, m","Lorentz group (4-vector p^mu = (E/c, p))",
31,MOM-002,P,Canonical momentum (Hamiltonian),P = dL/d(q_dot),hbar,Symplectic group Sp(2n),
31,MOM-003,L_ang,Angular momentum,L = r x p,hbar,SO(3) rotational symmetry,
31,MOM-004,S_spin,Spin angular momentum,S = (hbar/2) sigma,hbar,SU(2) spin symmetry; DER-QR-007,
31,MOM-005,p_org,Organizational momentum,p_org = Gamma dot y (conjugate to org. coordinate),"Gamma, g_{ab}",DTC composition symmetry,
32,ACT-001,S,Classical action,S = INT L dt = INT (T-V) dt,hbar (quantum unit),DER-VAR-002; delta S = 0 gives field equations,
