Source_Label,Canonical_EQ_ID,Equation,Meaning,Match_Status,Authority
NCG.1,UNMATCHED,"(A, H, D)",Connes 1995,SOURCE-ONLY,Master Equation Matrix
NCG.2,UNMATCHED,"S = Tr( f(D/Lambda) ) + <psi, D psi>",Connes-Chamseddine,SOURCE-ONLY,Master Equation Matrix
NCG.3,UNMATCHED,D^2 = nabla* nabla + (1/4) R,Lichnerowicz,SOURCE-ONLY,Master Equation Matrix
NCG.4,UNMATCHED,Spec(D) = { lambda_i },Definition,SOURCE-ONLY,Master Equation Matrix
NCG.5,UNMATCHED,A = C^inf(M) x A_F,Standard Model,SOURCE-ONLY,Master Equation Matrix
NCG.6,UNMATCHED,"H = L^2(M,S) x H_F",Standard Model,SOURCE-ONLY,Master Equation Matrix
NCG.7,UNMATCHED,D = D_M x 1 + gamma^5 x D_F,Standard Model,SOURCE-ONLY,Master Equation Matrix
NCG.8,UNMATCHED,D_A = D + A + J A J^{-1},Inner fluctuations,SOURCE-ONLY,Master Equation Matrix
NCG.9,UNMATCHED,"A = sum_i a_i [D, b_i]",Definition,SOURCE-ONLY,Master Equation Matrix
NCG.10,UNMATCHED,S_B = Tr( f(D_A / Lambda) ),Spectral action,SOURCE-ONLY,Master Equation Matrix
NCG.11,UNMATCHED,"S_F = <J psi, D_A psi>",Spectral action,SOURCE-ONLY,Master Equation Matrix
NCG.12,UNMATCHED,S = S_B + S_F,Full action,SOURCE-ONLY,Master Equation Matrix
NCG.13,UNMATCHED,Tr(f(D/Lambda)) ~ sum_{n>=0} f_n Lambda^{4-n} a_n(D^2),Seeley-DeWitt,SOURCE-ONLY,Master Equation Matrix
NCG.14,UNMATCHED,f_n = INT_0^inf f(v) v^{n-1} dv,Definition,SOURCE-ONLY,Master Equation Matrix
NCG.15,UNMATCHED,"a_0, a_2, a_4, a_6, ...",Coefficients,SOURCE-ONLY,Master Equation Matrix
NCG.16,UNMATCHED,Lambda^4 a_0 + Lambda^2 a_2 + a_4 + O(Lambda^{-2}),Expansion,SOURCE-ONLY,Master Equation Matrix
NCG.17,UNMATCHED,K(t) = Tr(exp(-t D^2)),Heat kernel,SOURCE-ONLY,Master Equation Matrix
NCG.18,UNMATCHED,zeta_D(s) = Tr(D^{-s}),Zeta function,SOURCE-ONLY,Master Equation Matrix
NCG.19,UNMATCHED,S_zeta = zeta_D(0),Zeta action,SOURCE-ONLY,Master Equation Matrix
NCG.20,UNMATCHED,Index(D) = dim ker D - dim ker D^dag,Atiyah-Singer,SOURCE-ONLY,Master Equation Matrix
NCG.21,UNMATCHED,J^2 = +/- 1,Real structure,SOURCE-ONLY,Master Equation Matrix
NCG.22,UNMATCHED,J D = +/- D J,Real structure,SOURCE-ONLY,Master Equation Matrix
NCG.23,UNMATCHED,J gamma = +/- gamma J,Real structure,SOURCE-ONLY,Master Equation Matrix
NCG.24,UNMATCHED,gamma^2 = 1,Chirality,SOURCE-ONLY,Master Equation Matrix
NCG.25,UNMATCHED,"{gamma, D} = 0",Chirality,SOURCE-ONLY,Master Equation Matrix
NCG.26,UNMATCHED,A = C^inf(M) x (C + H + M_3(C)),SM algebra,SOURCE-ONLY,Master Equation Matrix
NCG.27,UNMATCHED,SU(3) x SU(2) x U(1),Gauge group,SOURCE-ONLY,Master Equation Matrix
NCG.28,UNMATCHED,g_1 = g_2 = g_3,Unification,SOURCE-ONLY,Master Equation Matrix
NCG.29,UNMATCHED,m_H ~ 125 GeV,Higgs mass,SOURCE-ONLY,Master Equation Matrix
NCG.30,UNMATCHED,m_nu = m_D^T M_R^{-1} m_D,Seesaw,SOURCE-ONLY,Master Equation Matrix
