Edge,Parent,Child,Layer,Unlock Theorem
D-001,Primitive reconciliation,Γ,C0,TH-001
D-002,Γ,Fix(Γ),C1,TH-002
D-003,Fix/Γ,Π_O,C2,TH-003
D-004,Π_O,λ_c,C2,TH-004
D-005,λ_c,persistence sector,C2,TH-004
D-006,G/refinement,−Δ_g,C3,TH-005
D-007,heat kernel,g,C3,TH-005/006
D-008,negative mode,Lorentzian signature,C3,TH-006
D-009,spectral invariants,C_UOC,C4,TH-007
D-010,D_G/finite algebra,G_SM/reps,C5,TH-008
D-011,G_SM/reps,N_gen,C5,TH-009
D-012,spectral/projectors,"m_i,α_i",C5,TH-010
D-013,Hilbert/measure,Born rule,C6,TH-011
D-014,quantum geometry,BH entropy,C6/C7,TH-012/014
D-015,Γ/geometry,P_H,C7,TH-013
D-016,P_H,Z_H,C7,EQ-OPEN-016
D-017,Z_H,N_BH,C7,TH-014
D-018,N_H,Ξ,C7,TH-015
D-019,Ξ,Λ_*,C7,EQ-OPEN-018
D-020,Λ_*,ρ_vac,C7,EQ-OPEN-008
D-021,ρ_vac,"Λ_cosm,H,a",C7,COS-010
D-022,Γ/O/Ψ,F,C7,TH-016
D-023,F,H branch,C7,TH-016
D-024,C8 biology,reverse derivation,C8,TH-017
D-025,C9 grammar,normal form,C9,TH-018
D-026,normal form,soundness/completeness,C9,TH-019/020
D-027,all branches,cross-domain validation,C10,TH-021
D-028,validated branches,novel prediction,C10,TH-022
D-029,solution space,selection,C16,TH-023
D-030,UV program,fundamental completion,C11,TH-024
