Filename,Bytes,SHA256
UOC_ToE_Canonical_Synchronization_Master_v2.0.xlsx,468963,8cee19789757432bd4d866a2a6ebcefca4cfeadf4d6e5f4b111ae74a4b91b32e
UOC_Master_Closure_Updated.xlsx,46545,4c65d28c01afc495c2ded8d4df672d09b88de152e99c8523094bb924cbcf4cfd
UOC_SEIT_Combined_Master_Matrix.xlsx,29835,8ce73df5f60f95a39c4534a0a650baf3800a21164f7b8a65bb2a4d902fe2ae42
ToE Gap Matrix.xlsx,32872,2bcd0954977694487e08477cebf5d8c93fcb85d48f53a8760fe12206ae7baecd
Combined Compiler Theories Whitepaper(2).docx,1847272,a85fe31a180dd9de355379997ea20e4430799163246c824bd381975d87fb5b6c
SEIT Updated Whitepaper(1).docx,24229,11ba6f285665f9e95b384fe023239b71cdec7d280ddedd2d072f9a79f4a097e2
Theory of Everything - Status Report(1).docx,20340,7369a4ebde4ee742d180599fd3c9f1558011f716d3a6b555d9be1234bd690457
UCG Specification v5(1).docx,61895,aee383e02ea4ea40f31b95474e5f9b89a9c0d26a8456ef91d9a8912f82d50624
UCR UCCP UCA v1(1).docx,28951,b40cbd491090596ec17dcb72942c8988256dae63884e2dbfb2b96cdcceb62e4b
UQR UCA v2(1).docx,33766,6507fbfba4f077610835844cb6c5c74ec17c75339116194e6f60262b3d9e1009
UPG Canonical Reference.docx,35826,5aa59341ef3f4728c8e012c27314a488e8ed49e544678f85dc274a78cf785b9b
CVR-001 Compiler Verification Report.docx,26520,a34e74ae897b55bd56b959ea9b383dc907e7d7af2484179c0f8a31747e7ce08f
SEF SIT Specification v2.docx,15941,755b443b11e7a8072efd432a417d0cbc4eccc6931971244a45968932ad62fb67
Audit and Recommended Revisions.docx,16363,62a3ff6e0f63f08b37d73f9984e5757e82ae8ac8a983514b37fd7cb0f9a8c636
DER Registry v2.docx,33895,ef13776ae5fef5ec54af3d7e270970a9c5787d227b8ac5d1df2e7e143916269f
DER Registry.docx,28172,a990d6f47a9a2599643b4851abe2d699dbfa3b40cf212a1b242113e6c3e12bbe
