Layer,Problem,Closure Requirement,Status,Source / Dependency
C0,Primitive/grammar reconciliation,"Derive equivalence, hierarchy, embedding, or irreducible extension among DTC, UDP, gradient, MDCL, NCG routes",OPEN THEOREM,UCG governance + current chat
C1,Fixed-point correspondence,"Derive relation between Fix(Γ), spectral fixed points, least fixed points and organizational closure",OPEN THEOREM,Do not assume Fix(Γ)=Fix(e^{-βL})
C2,Persistence functional,Derive Π_O from TNDS/NEDS/Fokker-Planck dynamics,OPEN THEOREM,Candidate Π forms must not be silently promoted
C2,Spectral threshold,Derive Γ(λ_c)=1 and uniqueness/running of λ_c,OPEN THEOREM,Threshold candidate retained
C3,Lorentzian emergence,Complete negative mode → indefinite form → Lorentzian signature,PARTIAL/OPEN,Negative eigenvalue alone is insufficient
C4,Nature-spectrum correspondence,Define/test Spec(L) ↔ Spec(Nature) in precise representation,OPEN,Nature mapping
C4,Absolute scale anchor,Derive C_UOC in ℓ_*=C_UOCℓ_p or prove no-go,OPEN,COSMO-DYN-010 scale nonuniqueness
C5,Gauge-group selection,Derive unique gauge group and representations,OPEN / VERSION-SENSITIVE,Some UCG source entries report a certified anomaly result; latest master matrix still requires selection closure
C5,Generation problem,Derive N_gen=3 rather than equating it with N_c=3,OPEN,Separate from color count
C5,Mass spectrum,Derive masses and ratios from spectrum/projectors,PARTIAL,Candidate m_n=m_0√λ_n
C6,Born-rule uniqueness,Derive/validate relation Π ↔ |ψ|²,OPEN,Quantum integration
C6,Quantum geometry,Construct quantum geometry integration,PROPOSED,Candidate formalisms not assumed
C7,Horizon selector,Derive Σ_H and P_H from UOC data,OPEN THEOREM,COSMO-DYN-013
C7,Information normalization,Derive C_H/α=π internally or classify as convention/free/no-go,OPEN NORMALIZATION,COSMO-DYN-007A/011
C7,Non-circular N_H→Xi,Generate N_H before H/observation,OPEN,COSMO-DYN-014
C7,Spectral zeta normalization,"Test ζ_H(0),ζ'_H(0),log det(L_H/μ²)",PROPOSED,COSMO-DYN-011-ZETA
C7,Curved/boundary/topology heat kernel,Test whether subleading terms alter leading 1/(4π),PROPOSED,COSMO-DYN-012
C7,Universal spectral dynamics,"Derive dotL=F(L,Δ,τ,κ,Π) and recover -2HL in homogeneous branch",OPEN,COSMO-DYN-015
C8,Biological reverse derivation,"Derive replication, heredity, selection, adaptation, fitness from common kernel",OPEN,Mapping exists; reverse derivation incomplete
C9,Compiler normal form,Prove termination/confluence and canonical normal form,OPEN,UCG Part V
C9,Compiler execution,Implement parser/IR/DAG/type/dimensional/symbolic/numerical/proof/validation/falsification runtime,PROPOSED / ARCHITECTURAL,UCG/UOC architecture
C10,Cross-domain validation,Execute standardized symbolic/numerical/dimensional/dependency tests,OPEN/PARTIAL,Recovery ≠ validation ≠ prediction
C10,Novel predictions,"Quantify UV dispersion, IR lensing, quantum metric noise and compare to bounds",PROPOSED/PARTIAL,Falsification program
C0,tau realized as diffusion semigroup exp(-tL),N/A -- ruled out as a candidate realization of tau,NO-GO,PRF-PRIM-EXEC-2026-08-17: violates tau's own Liouville-condition definition on 9/9 benchmark families (FALS-001)
C0,"Delta realized as I-P_ker(L) endomorphism, composed as kappa o tau o Delta",N/A -- ruled out,NO-GO,PRF-PRIM-EXEC-2026-08-17: composition degenerates to the identically-zero map on 9/9 families (FALS-002)
C0,Gamma_graph (graph-spectral realization) conjugate to exp(-hL) via orthogonal transform,"A different conjugacy criterion or realization, if one exists",NO-GO (for tested criterion),"PRF-PRIM-EXEC-2026-08-17: no near-conjugacy found on 9/9 families, Procrustes residuals 0.88-0.97 (FALS-003)"
C0,Delta reconstructible from tau(automorphism)+kappa(spectrum) alone,N/A -- ruled out by external theorem,NO-GO,"PRF-PRIM-EXEC-2026-08-17: cospectral non-isomorphic graphs are a standard counterexample (FALS-004, EXT-002)"
C0,"Common minimal grammar Gamma_min across all 4 registered primitive systems (A,B,C,D)","A tested structure-preserving embedding from each of A,B,C,D into a single candidate",OPEN,"PRF-PRIM-EXEC-2026-08-17: not established; closest result is a 3-slot reduction WITHIN grammar A/D alone (Delta,tau-slot,kappa), not a 4-grammar unification. See Common_Grammar sheet, results/workbooks/C0_PRF_PRIM_Primitive_Reconciliation.xlsx"
C0,Direct (non-A-mediated) translation F_BC: G_B -> G_C or F_CB: G_C -> G_B,"Either a construction using grad(Phi)/Theta/Omega-specific content that is not recoverable via the A-mediated composite, or a formal impossibility proof",OPEN,"PHASE2-C0-EXEC-2026-08-17: DER-P2-002, TEST 9 -- only trivial composite found on 10/10 families"
C0,Whether Omega is type-distinct from Psi in any tested domain,"A domain (graph, algebraic, or relational) in which Omega's definition provably diverges from Psi's",OPEN,"PHASE2-C0-EXEC-2026-08-17: TEST 4 -- Omega type-indistinguishable from Psi on NX001's relational system also, extending PRF-PRIM's original PRF-PRIM-OMEGA-PSI finding to a second domain"
C0,Explicit composed formula for Gamma_C=kappa.tau.Delta.Theta...(or any well-typed subset),A source-documented or independently constructed composition formula,OPEN,"PHASE2-C0-EXEC-2026-08-17: DER-P2-001 -- no formula found anywhere in the corpus, unchanged from PRF-PRIM"
