SOURCE_ID,filename,file_type,bytes,sha256,provenance_verification,relationship_to_existing_corpus,source_authority,status
SOURCE-001,Theory of Everything - Status Report.docx,DOCX,20340,7369a4ebde4ee742d180599fd3c9f1558011f716d3a6b555d9be1234bd690457,Phase 1: verified identical to corpus's own SRC-007,External mainstream-physics baseline (unrelated to UOC internals),PRIMARY,Unchanged since Phase 1
SOURCE-002,ToE Gap Matrix.xlsx,XLSX,32872,2bcd0954977694487e08477cebf5d8c93fcb85d48f53a8760fe12206ae7baecd,Phase 1: verified identical to corpus's own SRC-004,164-question external checklist; embedded verbatim in SOURCE-004/008/009,PRIMARY,Unchanged since Phase 1
SOURCE-003,UOC_Master_Closure_Updated.xlsx,XLSX,46545,4c65d28c01afc495c2ded8d4df672d09b88de152e99c8523094bb924cbcf4cfd,Phase 1: verified identical to corpus's own SRC-002,Intermediate closure snapshot; embedded verbatim in SOURCE-004/008/009,PRIMARY,Unchanged since Phase 1
SOURCE-004,UOC_ToE_Canonical_Bridge_Closure_Execution_v2.0.xlsx,XLSX,1069184,69cf3b05b5386fc1324dadd69bc2ce0c7087e68313f6be991951a7e00ce9fec2,Phase 1.5: CONFIRMED = SOURCE-009 (DAG_Closure_v1.0) + 8 new BRIDGE_* sheets (101/102 shared sheets byte-identical; only DAG_00_DASHBOARD differs by 2 additive summary rows),Most complete synthesis prior to this phase,PRIMARY / MOST AUTHORITATIVE FOR PHASE 1,"Superseded in completeness by nothing in this phase -- still the fullest single UOC registry workbook; Open_Closure_v1.0 (SOURCE-010) is complementary, not a superset"
SOURCE-005,UOC_ToE_Canonical_Calculated_Master_v1.0.xlsx,XLSX,80424,b6831f7211e348f5e160122edc9f9d17a2e5122e1243f5d33a0d954d1991b024,Phase 1: no hash match found in SOURCE-004's own checksum tables (independent narrower snapshot),"Certified/calculated-only companion, scope unchanged",PRIMARY,Unchanged since Phase 1
SOURCE-006,UOC_ToE_Canonical_Synchronization_Master_v1.0.xlsx,XLSX,358987,4727f3850512787b042ad6c9d7b0d46fc98f746bdc7b0de7603e478b524fe971,"Phase 1.5 NEW UPLOAD: hash MATCHES the value SOURCE-004 itself recorded (51_SYNC_SOURCE_HASHES, row 'v1 master') for this exact file -- independently confirms SOURCE-004's own provenance claim","Earliest synchronization snapshot; 49/50 sheets byte-identical to content already in SOURCE-004 (only 00_DASHBOARD differs, historical)",PRIMARY (newly independently verified),CORRECTION to Phase 1: this file's hash appeared in SOURCE-004's own 51_SYNC_SOURCE_HASHES sheet ('v1 master') but Phase 1's UPSTREAM_REFERENCED_SOURCES.csv table was built only from the narrower 53_SOURCE_CORPUS_REGISTRY sheet (17 rows) and did not include a row for it -- Phase 1 undercounted the true upstream reference set by at least this file. Now independently present and hash-verified.
SOURCE-007,UOC_ToE_Canonical_Synchronization_Master_v2.0.xlsx,XLSX,468963,8cee19789757432bd4d866a2a6ebcefca4cfeadf4d6e5f4b111ae74a4b91b32e,"Phase 1.5 NEW UPLOAD: hash MATCHES EXACTLY the value already recorded as SRC-001 in Phase 1's own source_records/inventory/UPSTREAM_REFERENCED_SOURCES.csv (468963 bytes, same SHA-256) -- this IS SRC-001, now independently present and verified",Second synchronization snapshot; 62/63 sheets byte-identical to SOURCE-004 content (only 00_DASHBOARD differs),PRIMARY (newly independently verified),"This is SRC-001 from Phase 1's UPSTREAM_REFERENCED_SOURCES.csv, previously marked NO (not present); now CONFIRMED present with matching hash -- clean resolution, not a conflict"
SOURCE-008,UOC_ToE_Canonical_Synchronization_Master_v3.0.xlsx,XLSX,809889,2e6c3d9b01c91ff812e11a5ffb706d4af027a0b84e79ab6ae7c134eb62f5bc68,"Phase 1.5 NEW UPLOAD: no prior hash on file anywhere in the corpus for this exact filename/version (v3.0 was previously named only narratively as SOURCE-004's 'Base synchronization workbook' in DAG_00_DASHBOARD, without a hash)","Direct, exact ancestor of SOURCE-009 and SOURCE-004: ALL 73 shared sheets byte-identical (0 diffs, including 00_DASHBOARD)",PRIMARY (newly independently verified),New to this workspace; confirms SOURCE-004's narrative provenance claim with an exact byte-level match
SOURCE-009,UOC_ToE_Master_Dependency_DAG_Closure_v1.0.xlsx,XLSX,1044948,b9bf8a4a86654def046c42eeccd0fda72796c9e823a29cd793f1b1862aebab3c,"Phase 1.5 NEW UPLOAD: no prior hash on file anywhere in the corpus (this file itself was never hash-registered by SOURCE-004, only named narratively as 'Workbook: UOC_ToE_Master_Dependency_DAG_Closure_v1.0.xlsx' in DAG_00_DASHBOARD)","CONFIRMED direct, exact ancestor of SOURCE-004: 101/102 shared sheets byte-identical; this IS the literal source that compiler/dag/*.csv was built from in Phase 1 (via its identical copy inside SOURCE-004)",PRIMARY (newly independently verified),New to this workspace; closes the provenance chain for the entire compiler/dag/ folder built in Phase 1
SOURCE-010,UOC_ToE_Open_Closure_Master_v1.0.xlsx,XLSX,134233,642028e3ee0a38754cf1d340dc4d1d35eaa36b3c7aa7f706b444d01a91b50535,"Phase 1.5 NEW UPLOAD: NOT referenced anywhere in SOURCE-004's own provenance tables (53_SOURCE_CORPUS_REGISTRY, 62_V3_SYNC_CHECKSUMS) -- this is a GENUINELY INDEPENDENT document, not a predecessor of SOURCE-004","ZERO sheet-name overlap with any other source in the corpus (30 sheets, entirely distinct naming scheme). Contains: external ToE benchmark (TOE-*), successful-theory comparison (ST-*), external-program comparison (EXT-*), open master/bridges/theorems/proofs/equations/variables/simulations, per-domain closure sheets, priority execution plan (P0-P3), per-question closure audit (25_NOT_YET_ADDRESSED, 164 rows), and a candidate-scorecard comparing UOC/SEIT against 7 external QG programs","PRIMARY (newly independently verified, genuinely new content)",New to this workspace; see NEWLY_DISCOVERED_CALCULATIONS.md and CONFLICTS_AND_VERSION_RESOLUTION.md (CONFLICT-002: ARBS legacy/non-canonical governance statement) for material findings
