Program,Substrate,Quantum Gravity,SM Recovery,UV Completion,Black Holes,Cosmology,Falsifiable Predictions,Role
UOC/SEIT,Dependency/spectral organizational substrate,Quantum gravity,SM recovery,UV completion,Black holes,Cosmology,Falsifiable predictions,Current role
UOC/SEIT,ΔτκΠ→Γ→G→L→Spec→geometry; matter/gauge/quantum branches,Partial/Open,Partial/Open,Open,Open,Partial/Open,Candidate,Current project
String theory,Strings/branes/compactification,Strong candidate,Partial; major model-building,Strong candidate,Strong benchmark,Partial/difficult realistic vacuum,Indirect/model-dependent,External benchmark
LQG,Quantum geometry/spin networks,Strong candidate,Weak/indirect,Open,Strong benchmark,Partial,Model-dependent,External benchmark
Asymptotic safety,RG fixed point,Strong candidate,Can incorporate matter; open,Strong candidate,Partial,Partial,Model-dependent,External benchmark
CDT,Causal lattice path integral,Strong candidate,Open,Open,Partial,Partial,Limited,External benchmark
Causal sets,Order/discreteness,Strong candidate,Open,Open,Partial,Partial,Limited,External benchmark
GUT,Unified gauge group,Not QG,Strong for gauge unification,No QG by itself,Limited,Partial,Proton decay etc.,Gauge benchmark
Holography,Boundary/bulk duality,Strong in controlled settings,SM embedding incomplete,Strong in AdS settings,Strong,Cosmology generalization open,Indirect,Information/geometry benchmark
