Object_ID,Object_Name,Grammar,Type_Signature,Domain,Codomain,Realization_Tested,DERIVATION_STATUS,CLOSURE_STATUS,Evidence,Provenance_Tag
OBJ-P2-001,Delta (literal boundary op),G_A,"d: C_1 -> C_0, chain complex boundary map","C_1 (edge space, dim m)","C_0 (vertex space, dim n)","Inc matrix, 10 graph families + tetrahedron d1/d2",FALSIFIED (as endomorphism),NO-GO (for literal reading),derivations/C0/PRF-PRIM/05_composition_type_check.py; derivations/C0/DER-P2-001_grammar_typing.md,PHASE2-C0-EXEC-2026-08-17
OBJ-P2-002,Delta (NX001 finite-relation op),G_A,"Endomorphism, Delta(A)=1[A!=0]","X={0,1}^(kxk)",X,"NX001 exhaustive (k=3,4)",CALCULATED / DERIVED (this realization),"CALCULATED, scoped to X={0,1}^(kxk)",source_records/spreadsheets/NX001_family/; derivations/C0/DER-P2-001_grammar_typing.md,PHASE2-C0-EXEC-2026-08-17
OBJ-P2-003,tau (automorphism / semigroup / boolean-composition readings),G_A/G_B/G_C,Endomorphism (3 distinct realizations),R^n or X,R^n or X,"PRF-PRIM scripts 04, 06; NX001","CALCULATED (multiple realizations, not unified)","CALCULATED, realization-scoped",derivations/C0/PRF-PRIM/04_tau_liouville_and_kappa_commutation.py,PHASE2-C0-EXEC-2026-08-17
OBJ-P2-004,kappa (idempotent projector / closure),G_A/G_B/G_C,"Endomorphism, idempotent",R^n or X,R^n or X,PRF-PRIM scripts 04; NX001,CALCULATED,CALCULATED,derivations/C0/PRF-PRIM/04_tau_liouville_and_kappa_commutation.py,PHASE2-C0-EXEC-2026-08-17
OBJ-P2-005,Pi (fixed-point / kernel subspace),G_A,"SET (subspace of R^n, or subset of X)",-,"subspace of R^n, or subset of X",10 graph families + NX001 (Bell number fixed points),CALCULATED,CALCULATED,calculations/C0_phase2/morphism_tests.py TEST 3,PHASE2-C0-EXEC-2026-08-17
OBJ-P2-006,"nabla / grad(Phi) (gradient, G_B's distinguishing primitive)",G_B,"Linear map, realized as Inc^T (adjoint of Delta=Inc)",R^n (vertex space),R^m (edge space),10 graph families + tetrahedron d2,CALCULATED,"CALCULATED, unconditional as an operator","derivations/C0/DER-P2-002_morphism_construction.md, F_AB section",PHASE2-C0-EXEC-2026-08-17
OBJ-P2-007,"Theta (reachability/basin structure, G_C's primitive)",G_C,Partition-valued map (equivalence relation),"vertex set, or state space X",partition of domain into reachability classes,10 graph families + NX001 basin structure,CALCULATED,"CALCULATED, unconditional","calculations/C0_phase2/morphism_tests.py TEST 3, TEST 4",PHASE2-C0-EXEC-2026-08-17
OBJ-P2-008,"Omega (organizational configuration / state variable, G_C's primitive)",G_C,Element of state space (type-indistinguishable from Psi in every domain tested),-,same space as Psi,graph domains (PRF-PRIM) + NX001 relational domain,OPEN (type-identity with Psi unresolved),OPEN,derivations/C0/PRF-PRIM proofs (PRF-PRIM-OMEGA-PSI); calculations/C0_phase2/morphism_tests.py TEST 4,PHASE2-C0-EXEC-2026-08-17
OBJ-P2-009,Gamma_A = kappa o tau o Delta (literal),G_A,"Composition, type-checked",-,-,"tetrahedron complex, K4/K3,3 etc.",FALSIFIED,NO-GO,derivations/C0/PRF-PRIM/05_composition_type_check.py,PHASE2-C0-EXEC-2026-08-17
OBJ-P2-010,Gamma_A = kappa o tau o Delta (NX001 finite-relation reading),G_A,"Composition, endomorphism of X",X,X,"NX001 exhaustive (k=3,4)",CALCULATED / DERIVED,"CALCULATED, scoped",source_records/spreadsheets/NX001_family/,PHASE2-C0-EXEC-2026-08-17
