Layer,Open_Problem,Closure_Criterion,Status,Source,Already_Preserved_or_Calculated,Falsification_Test,Potential_Unlocks
C0,Primitive/grammar reconciliation,"Derive equivalence, hierarchy, embedding, or irreducible extension among DTC, UDP, gradient, MDCL, NCG routes",OPEN THEOREM,UCG governance + current chat,Certified UCG spine; DTC grammar and related realizations documented,"Explicit counterexample, failed proof obligation, or dependency contradiction.",Downstream nodes listed in the dependency DAG become eligible for closure review.
C1,Fixed-point correspondence,"Derive relation between Fix(Γ), spectral fixed points, least fixed points and organizational closure",OPEN THEOREM,Do not assume Fix(Γ)=Fix(e^{-βL}),Fixed-point structures and candidates are formulated,"Explicit counterexample, failed proof obligation, or dependency contradiction.",Downstream nodes listed in the dependency DAG become eligible for closure review.
C2,Persistence functional,Derive Π_O from TNDS/NEDS/Fokker-Planck dynamics,OPEN THEOREM,Candidate Π forms must not be silently promoted,"L/spec, heat evolution, ker L, rank, embeddings, continuum calculations","Explicit counterexample, failed proof obligation, or dependency contradiction.",Downstream nodes listed in the dependency DAG become eligible for closure review.
C2,Spectral threshold,Derive Γ(λ_c)=1 and uniqueness/running of λ_c,OPEN THEOREM,Threshold candidate retained,"L/spec, heat evolution, ker L, rank, embeddings, continuum calculations","Explicit counterexample, failed proof obligation, or dependency contradiction.",Downstream nodes listed in the dependency DAG become eligible for closure review.
C3,Lorentzian emergence,Complete negative mode → indefinite form → Lorentzian signature,PARTIAL/OPEN,Negative eigenvalue alone is insufficient,Explicit periodic refinement and flat spatial metric,"Explicit counterexample, failed proof obligation, or dependency contradiction.",Downstream nodes listed in the dependency DAG become eligible for closure review.
C4,Nature-spectrum correspondence,Define/test Spec(L) ↔ Spec(Nature) in precise representation,OPEN,Nature mapping,Planck relation and scale diagnostics,"Explicit counterexample, failed proof obligation, or dependency contradiction.",Downstream nodes listed in the dependency DAG become eligible for closure review.
C4,Absolute scale anchor,Derive C_UOC in ℓ_*=C_UOCℓ_p or prove no-go,OPEN,COSMO-DYN-010 scale nonuniqueness,Planck relation and scale diagnostics,"Explicit counterexample, failed proof obligation, or dependency contradiction.",Downstream nodes listed in the dependency DAG become eligible for closure review.
C5,Gauge-group selection,Derive unique gauge group and representations,OPEN / VERSION-SENSITIVE,Some UCG source entries report a certified anomaly result; latest master matrix still requires selection closure,Gauge dynamics substantially recovered; candidates for masses/couplings,"Explicit counterexample, failed proof obligation, or dependency contradiction.",Downstream nodes listed in the dependency DAG become eligible for closure review.
C5,Generation problem,Derive N_gen=3 rather than equating it with N_c=3,OPEN,Separate from color count,Gauge dynamics substantially recovered; candidates for masses/couplings,"Explicit counterexample, failed proof obligation, or dependency contradiction.",Downstream nodes listed in the dependency DAG become eligible for closure review.
C5,Mass spectrum,Derive masses and ratios from spectrum/projectors,PARTIAL,Candidate m_n=m_0√λ_n,Gauge dynamics substantially recovered; candidates for masses/couplings,"Explicit counterexample, failed proof obligation, or dependency contradiction.",Downstream nodes listed in the dependency DAG become eligible for closure review.
C6,Born-rule uniqueness,Derive/validate relation Π ↔ |ψ|²,OPEN,Quantum integration,QRC recovery substantial/certified,"Explicit counterexample, failed proof obligation, or dependency contradiction.",Downstream nodes listed in the dependency DAG become eligible for closure review.
C6,Quantum geometry,Construct quantum geometry integration,PROPOSED,Candidate formalisms not assumed,QRC recovery substantial/certified,"Explicit counterexample, failed proof obligation, or dependency contradiction.",Downstream nodes listed in the dependency DAG become eligible for closure review.
C7,Horizon selector,Derive Σ_H and P_H from UOC data,OPEN THEOREM,COSMO-DYN-013,Many downstream spectral/vacuum/Friedmann/area calculations executed,"Explicit counterexample, failed proof obligation, or dependency contradiction.",Downstream nodes listed in the dependency DAG become eligible for closure review.
C7,Information normalization,Derive C_H/α=π internally or classify as convention/free/no-go,OPEN NORMALIZATION,COSMO-DYN-007A/011,Many downstream spectral/vacuum/Friedmann/area calculations executed,"Explicit counterexample, failed proof obligation, or dependency contradiction.",Downstream nodes listed in the dependency DAG become eligible for closure review.
C7,Non-circular N_H→Xi,Generate N_H before H/observation,OPEN,COSMO-DYN-014,Many downstream spectral/vacuum/Friedmann/area calculations executed,"Explicit counterexample, failed proof obligation, or dependency contradiction.",Downstream nodes listed in the dependency DAG become eligible for closure review.
C7,Spectral zeta normalization,"Test ζ_H(0),ζ'_H(0),log det(L_H/μ²)",PROPOSED,COSMO-DYN-011-ZETA,Many downstream spectral/vacuum/Friedmann/area calculations executed,"Explicit counterexample, failed proof obligation, or dependency contradiction.",Downstream nodes listed in the dependency DAG become eligible for closure review.
C7,Curved/boundary/topology heat kernel,Test whether subleading terms alter leading 1/(4π),PROPOSED,COSMO-DYN-012,Many downstream spectral/vacuum/Friedmann/area calculations executed,"Explicit counterexample, failed proof obligation, or dependency contradiction.",Downstream nodes listed in the dependency DAG become eligible for closure review.
