Sheet,Data_Rows,Columns,Classification
00_DASHBOARD,13,2,CANONICAL
01_SOURCE_REGISTRY,11,6,CANONICAL
02_RAW_SHEET_MAP,21,5,CANONICAL
10_EQUATIONS_174,174,8,CANONICAL
11_DER_REGISTRY,59,4,CANONICAL
12_THEOREM_REGISTRY,8,4,CANONICAL
13_PROOF_REGISTRY,13,4,CANONICAL
14_PRIMITIVES,13,5,CANONICAL
15_SYMBOLS,30,5,CANONICAL
16_OBJECTS,0,1,CANONICAL
17_OPERATORS,23,6,CANONICAL
18_CONSTANTS,32,9,CANONICAL
19_QUANTITIES,43,8,CANONICAL
20_DIMENSIONS,20,5,CANONICAL
21_OPERATOR_ALGEBRA,10,5,CANONICAL
22_BRIDGES,29,6,CANONICAL
23_MASTER_DEPENDENCIES,30,6,CANONICAL
24_C0_C10_CLOSURE_LAYERS,11,6,CANONICAL
25_COSMO_DYN_RESULTS,28,6,CANONICAL
26_EXECUTED_MATHEMATICS,36,4,CANONICAL
27_STATUS_SYSTEM,7,4,CANONICAL
28_OPEN_PROPOSED_NO_GO,23,5,CANONICAL
29_PREDICTIONS,4,6,CANONICAL
30_CURRENT_CHAT_UPDATES,16,4,CANONICAL
31_SYNC_AUDIT,9,5,CANONICAL
32_MASTER_THEOREM_TARGET,5,5,CANONICAL
33_EQUATION_BRIDGE_TRIPLES,14,6,CANONICAL
40_DER_CANONICAL_SOURCE,55,5,CANONICAL
41_EQUATIONS_SOURCE_EXACT,174,4,CANONICAL
42_EQUATION_RECONCILIATION,174,6,CANONICAL
43_TOE_GAP_MATRIX_164,164,8,CANONICAL
44_CANONICAL_NODE_REGISTRY,518,8,CANONICAL
45_DEPENDENCY_EDGES_DER,70,7,CANONICAL
46_RECOVERY_BRANCHES,12,7,CANONICAL
47_C0_C10_CANONICAL_MATRIX,11,6,CANONICAL
48_EQUATION_LINEAGE,174,8,CANONICAL
49_VARIABLE_REGISTRY,268,6,CANONICAL
50_EQUATION_DER_LINKS,2,4,CANONICAL
51_SYNC_SOURCE_HASHES,5,5,CANONICAL
52_V2_SYNCHRONIZATION_DELTA,11,5,CANONICAL
03_RAW_DOC_TABLES,1220,10,CANONICAL
04_RAW_DOC_PARAGRAPHS,932,3,CANONICAL
CLOSURE_Dashboard,27,2,V3-SYNC
CLOSURE_Master_Closure_DAG,47,12,V3-SYNC
CLOSURE_COSMO_DYN_Results,28,6,V3-SYNC
CLOSURE_Closure_Layers_C0_C10,11,6,V3-SYNC
CLOSURE_Canonical_Architecture,7,3,V3-SYNC
CLOSURE_Status_System,12,4,V3-SYNC
CLOSURE_Open_Frontiers,14,6,V3-SYNC
CLOSURE_Executed_Math,36,4,V3-SYNC
CLOSURE_Audit_Corrections,12,4,V3-SYNC
CLOSURE_Master_Theorem_Target,14,4,V3-SYNC
CLOSURE_Final_Closure_Chain,16,4,V3-SYNC
CLOSURE_This_Chat_Updates,16,4,V3-SYNC
SEIT_Master_Matrix,102,11,V3-SYNC
SEIT_Primitive_Grammars,7,5,V3-SYNC
SEIT_Dependency_Spines,11,4,V3-SYNC
SEIT_Status_Matrix,8,3,V3-SYNC
SEIT_Equations_Functionals,24,5,V3-SYNC
SEIT_Domain_Matrix,13,6,V3-SYNC
SEIT_Open_Work_Falsification,21,6,V3-SYNC
GAP_ToE_Gap_Matrix,164,8,V3-SYNC
GAP_Summary,5,2,V3-SYNC
53_SOURCE_CORPUS_REGISTRY,17,5,V3-SYNC
54_SOURCE_TEXT_CORPUS,3017,5,V3-SYNC
55_SOURCE_XLSX_SNAPSHOTS,605,5,V3-SYNC
56_DER_VERSION_RECONCILIATION,101,8,V3-SYNC
57_STATUS_SEMANTICS_CANONICAL,7,4,V3-SYNC
58_CURRENT_CHAT_CANONICAL_RULES,20,6,V3-SYNC
59_COSMO_DYN_EXECUTED_AND_OPEN,7,5,V3-SYNC
60_BRIDGE_REGISTRY_ENRICHED,29,10,V3-SYNC
