Equation_ID,Source_Label,Section,Closure_Layer,Equation,Meaning,Authority,Status,Dependency_Interpretation
EQ-001,NCG.1,NCG,C5,"(A, H, D)",Connes 1995,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-002,NCG.2,NCG,C5,"S = Tr( f(D/Lambda) ) + <psi, D psi>",Connes-Chamseddine,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-003,NCG.3,NCG,C5,D^2 = nabla* nabla + (1/4) R,Lichnerowicz,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-004,NCG.4,NCG,C5,Spec(D) = { lambda_i },Definition,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-005,NCG.5,NCG,C5,A = C^inf(M) x A_F,Standard Model,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-006,NCG.6,NCG,C5,"H = L^2(M,S) x H_F",Standard Model,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-007,NCG.7,NCG,C5,D = D_M x 1 + gamma^5 x D_F,Standard Model,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-008,NCG.8,NCG,C5,D_A = D + A + J A J^{-1},Inner fluctuations,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-009,NCG.9,NCG,C5,"A = sum_i a_i [D, b_i]",Definition,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-010,NCG.10,NCG,C5,S_B = Tr( f(D_A / Lambda) ),Spectral action,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-011,NCG.11,NCG,C5,"S_F = <J psi, D_A psi>",Spectral action,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-012,NCG.12,NCG,C5,S = S_B + S_F,Full action,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-013,NCG.13,NCG,C5,Tr(f(D/Lambda)) ~ sum_{n>=0} f_n Lambda^{4-n} a_n(D^2),Seeley-DeWitt,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-014,NCG.14,NCG,C5,f_n = INT_0^inf f(v) v^{n-1} dv,Definition,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-015,NCG.15,NCG,C5,"a_0, a_2, a_4, a_6, ...",Coefficients,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-016,NCG.16,NCG,C5,Lambda^4 a_0 + Lambda^2 a_2 + a_4 + O(Lambda^{-2}),Expansion,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-017,NCG.17,NCG,C5,K(t) = Tr(exp(-t D^2)),Heat kernel,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-018,NCG.18,NCG,C5,zeta_D(s) = Tr(D^{-s}),Zeta function,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-019,NCG.19,NCG,C5,S_zeta = zeta_D(0),Zeta action,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-020,NCG.20,NCG,C5,Index(D) = dim ker D - dim ker D^dag,Atiyah-Singer,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-021,NCG.21,NCG,C5,J^2 = +/- 1,Real structure,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-022,NCG.22,NCG,C5,J D = +/- D J,Real structure,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-023,NCG.23,NCG,C5,J gamma = +/- gamma J,Real structure,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-024,NCG.24,NCG,C5,gamma^2 = 1,Chirality,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-025,NCG.25,NCG,C5,"{gamma, D} = 0",Chirality,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-026,NCG.26,NCG,C5,A = C^inf(M) x (C + H + M_3(C)),SM algebra,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-027,NCG.27,NCG,C5,SU(3) x SU(2) x U(1),Gauge group,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-028,NCG.28,NCG,C5,g_1 = g_2 = g_3,Unification,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-029,NCG.29,NCG,C5,m_H ~ 125 GeV,Higgs mass,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-030,NCG.30,NCG,C5,m_nu = m_D^T M_R^{-1} m_D,Seesaw,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-031,NCG.31,NCG,C5,"dist(x,y) = sup{ |f(x)-f(y)| : ||[D,f]|| <= 1 }",Connes distance,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-032,NCG.32,NCG,C5,"[D, a]",Commutator,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-033,NCG.33,NCG,C5,"[[D,a],b] = 0",Order-one,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-034,NCG.34,NCG,C5,"[D, A] subset B(H)",Boundedness,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-035,NCG.35,NCG,C5,D^{-1},Propagator,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-036,NCG.36,NCG,C5,chi(D) = Tr(gamma exp(-t D^2)),Chiral trace,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-037,SP.1,SP,UNASSIGNED,"G = (V, E)",Definition,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-038,SP.2,SP,UNASSIGNED,L = D_deg - A,Graph Laplacian,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-039,SP.3,SP,UNASSIGNED,L phi = lambda phi,Eigenequation,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-040,SP.4,SP,UNASSIGNED,"Spec(L) = {lambda_1, lambda_2, ..., lambda_n}",Spectrum,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-041,SP.5,SP,UNASSIGNED,lambda_0 = 0,Ground state,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-042,SP.6,SP,UNASSIGNED,L 1 = 0,Kernel,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-043,SP.7,SP,UNASSIGNED,sum_i lambda_i = Tr(L),Trace,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-044,SP.8,SP,UNASSIGNED,phi_i^T L phi_j = lambda_i delta_{ij},Orthonormality,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-045,SP.9,SP,UNASSIGNED,L = B B^T,Incidence factorization,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-046,SP.10,SP,UNASSIGNED,L = U Lambda U^{-1},Diagonalization,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-047,SP.11,SP,UNASSIGNED,f(L) = U f(Lambda) U^{-1},Functional calculus,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-048,SP.12,SP,UNASSIGNED,Tr(f(L)) = sum_i f(lambda_i),Spectral trace,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
EQ-049,SP.13,SP,UNASSIGNED,Tr(exp(-t L)),Heat trace,MASTER EQUATION MATRIX,SOURCE-CODED,Equation is source-coded; closure follows its layer and explicit DER links where present.
