C0,Primitive & grammar reconciliation,Competing primitive realizations,K_org={competing primitive/grammar realizations} -> Γ,CALCULATED / FRAMEWORKED,OPEN,CERTIFIED SPINE + OPEN RECONCILIATION,"D, τ, κ, Π; UDP candidates; gradient grammar; y,r,c; MDCL extensions; NCG route","Derive equivalence, hierarchy, embedding, or irreducible extension",Find non-expressible primitive or circular dependency,Canonical Γ; all downstream compiler branches,Updated master architecture
C0,Primitive & grammar reconciliation,Certified organizational spine,"(D,τ,κ,Π) < Γ < O < Ψ < G < L < Spec(L) < K_t < d < g < ∇ < R < R_μν < R < G_μν < S < A_μ < F_μν < D_μ < ψ < T_μν < physics",CERTIFIED / ESTABLISHED SPINE,PARTIAL UNIVERSALITY,CERTIFIED,Existing UCG/UOC recovery architecture,Reconcile competing primitive realizations without erasing certified spine,Failure of translation/compositional closure,Shared mathematical substrate; physical branches,Current corrected architecture
C1,Organizational / fixed-point closure,Organizational fixed point,Γ:X→X; Fix(Γ); Ψ*=Γ(Ψ*),FORMULATED,OPEN,OPEN / EXISTING REGISTRY OBLIGATIONS,"Γ, organizational state space","Existence, convergence where applicable, least fixed point, attractor uniqueness",Counterexample to existence/uniqueness or convergence,Organizational closure; persistence branch,ORG-006 / ORG-008 context
C1,Organizational / fixed-point closure,Fixed-point correspondence,"I: Fix(Γ) ↔ Fix(R), or weaker morphism",PROPOSED,OPEN,PROPOSED,Γ and R=e^{-βL},Derive explicit correspondence; do not assume equality,Find incompatible fixed-point sets,Connect organizational and spectral closure,Corrected architecture explicitly rejects assumed equality
C2,Persistence & spectral closure,Laplacian spectrum,Lφ_n=λ_nφ_n,DERIVED/CALCULATED,ESTABLISHED FOR ADMITTED GRAPH CONSTRUCTIONS,CERTIFIED/CALCULATED,"Graph G=(V,E)",Maintain spectral typing and representation scope,Invalid spectrum or failed numerical reproduction,Persistence; spectral geometry,Executed in project calculations
C2,Persistence & spectral closure,Asymptotic persistence projector,lim_{t→∞} e^{-tL}=P_kerL; Π_∞=ker L,DERIVED/CALCULATED,ESTABLISHED FOR PSD L,CERTIFIED/CALCULATED,L symmetric PSD; finite graph,Correct zero-mode projection,Negative eigenvalues or non-convergent PSD case outside assumptions,Persistent sector; rank decomposition,COSMO branch
C2,Persistence & spectral closure,Connected/disconnected rank theorem,dim ker L=c; rank L=N-c,DERIVED/CALCULATED,UNIVERSAL GRAPH THEOREM,CERTIFIED/CALCULATED,Graph Laplacian,Component-count theorem,Counterexample to Laplacian nullity theorem,Bulk-rank candidate,COSMO-BRIDGE-003/004
C2,Persistence & spectral closure,Finite spectral embedding dimension,rank Ψ_t = # nonzero λ = rank L for t>0,DERIVED/CALCULATED,ESTABLISHED FOR FULL NONZERO EMBEDDING,CALCULATED,Heat/diffusion embedding retains all nonzero modes,Specify embedding and time regime,Dropped/zero modes or incomplete embedding,Spectral geometry,COSMO-BRIDGE-005
C2,Persistence & spectral closure,Persistence functional,"Π_O=f(σ,C,Spec L), candidate 1-exp(-Q)",FORMULATED / PARTIAL,OPEN,OPEN,NEDS/TNDS/Fokker–Planck branch,Derive from dynamics; prove bounds and sensitivities,Failure of 0≤Π≤1 or non-emergence of exponential form,Organizational persistence,Corrected closure layer
C2,Persistence & spectral closure,Spectral threshold,Γ(λ_c)=1; R(λ_c)=D(λ_c),FORMULATED / PARTIAL,OPEN,OPEN,Restoration/degradation spectral functions,"Derive R,D; prove existence/uniqueness and running",No unique λ_c or cross-domain inconsistency,Persistence sector; cutoff candidates,UOC-004 proposal
