Source_Field_1,Source_Field_2,Source_Field_3,Source_Field_4,Source_Field_5,Source_Field_6,Derivation_Status,Closure_Status,Registry_Status,Falsification_Target
BR-001,"(Δ,τ,κ,Π)→Γ",Grammar composition,Γ=κ∘τ∘Δ / DTC composition,CERTIFIED SPINE,C0 canonical uniqueness remains open,SOURCE-REGISTERED,UNADJUDICATED,SOURCE-REGISTERED,
BR-002,Γ→O→Ψ,Organizational evolution,Evolution operator / recursive state update,CERTIFIED/PARTIAL,Fixed-point closure remains open,SOURCE-REGISTERED,UNADJUDICATED,SOURCE-REGISTERED,
BR-003,Ψ→G,Organizational state to graph,Graph substrate realization,CALCULATED/SCOPED,Representation universality open,SOURCE-REGISTERED,UNADJUDICATED,SOURCE-REGISTERED,
BR-004,G→L,Graph to Laplacian,L=D-A,CERTIFIED,Graph assumptions,SOURCE-REGISTERED,UNADJUDICATED,SOURCE-REGISTERED,
BR-005,L→Spec(L),Spectral decomposition,Lφ=λφ,CERTIFIED,Self-adjoint/finite graph conditions,SOURCE-REGISTERED,UNADJUDICATED,SOURCE-REGISTERED,
BR-006,Spec(L)→K_t,Spectrum to heat semigroup,e^{-tL},CERTIFIED,PSD/self-adjoint,SOURCE-REGISTERED,UNADJUDICATED,SOURCE-REGISTERED,
BR-007,Spec(L)→d,Spectrum to diffusion distance,"d(i,j)=sqrt(Σ(...)/λ_k)",CALCULATED/SCOPED,Nonzero modes,SOURCE-REGISTERED,UNADJUDICATED,SOURCE-REGISTERED,
BR-008,d→g,Distance to metric,Spectral metric reconstruction,CALCULATED/SCOPED,Continuum/refinement assumptions,SOURCE-REGISTERED,UNADJUDICATED,SOURCE-REGISTERED,
BR-009,g→∇,Metric to connection,Levi-Civita compatibility,DERIVED,Riemannian scope,SOURCE-REGISTERED,UNADJUDICATED,SOURCE-REGISTERED,
BR-010,∇→Riemann→Ricci→R→G,Curvature hierarchy,Standard geometric contractions,DERIVED,Metric differentiability,SOURCE-REGISTERED,UNADJUDICATED,SOURCE-REGISTERED,
BR-011,G→Einstein dynamics,Einstein tensor to field equation,G_μν+Λg_μν=...,DERIVED/ADMITTED,Matter source/coupling status version-dependent,SOURCE-REGISTERED,UNADJUDICATED,SOURCE-REGISTERED,
BR-012,L→D,Graph Laplacian to Dirac,D=√L / spectral correspondence,CERTIFIED IN UCG SOURCE,Scope and NCG equivalence remain a distinct issue,SOURCE-REGISTERED,UNADJUDICATED,SOURCE-REGISTERED,
BR-013,L→R=e^{-βL},Spectral persistence filter,Contraction on ker(L)^⊥,CERTIFIED,Persistence interpretation open,SOURCE-REGISTERED,UNADJUDICATED,SOURCE-REGISTERED,
BR-014,C_Π→δC_Π=0,Persistence cost to field equation,Euler-Lagrange,CERTIFIED,Functional assumptions,SOURCE-REGISTERED,UNADJUDICATED,SOURCE-REGISTERED,
BR-015,I_F→geodesic,Zero informational-loss limit,I_F=0→geodesic,CERTIFIED,Model branch,SOURCE-REGISTERED,UNADJUDICATED,SOURCE-REGISTERED,
BR-016,R→Z→F,Statistical bridge,Partition/free-energy chain,DERIVED,β=1/k_BT convention,SOURCE-REGISTERED,UNADJUDICATED,SOURCE-REGISTERED,
BR-017,L_N/h_N²→-Δ_g,Discrete-to-continuum bridge,Explicit periodic refinement family,CLOSED FOR TEST FAMILY,Not universal yet,SOURCE-REGISTERED,UNADJUDICATED,SOURCE-REGISTERED,
BR-018,K_N→K_g→d_g→g_ij,Heat-kernel geometric bridge,Joint scaling limit,CONDITIONAL/DERIVED,h_N²/t→0,SOURCE-REGISTERED,UNADJUDICATED,SOURCE-REGISTERED,
BR-019,L(a)→dotL,Homogeneous scale evolution,L(a)=a^-2L0,DERIVED/CALCULATED,Homogeneous branch,SOURCE-REGISTERED,UNADJUDICATED,SOURCE-REGISTERED,
BR-020,Spec(L)→DOS→ρ_vac,Spectral vacuum bridge,dν/dλ→ρ_vac,DERIVED/CALCULATED,3D continuum physical cutoff,SOURCE-REGISTERED,UNADJUDICATED,SOURCE-REGISTERED,
BR-021,Z_H→A_H,Horizon heat-kernel area bridge,A_H=4π lim tZ_H,DERIVED/CALCULATED,Given legitimate horizon subsystem,SOURCE-REGISTERED,UNADJUDICATED,SOURCE-REGISTERED,
BR-022,Z_H(ℓ_p²)→N_BH,Spectral/BH normalization bridge,N_BH=πZ_H(ℓ_p²),ALGEBRAIC CONDITION,π origin not derived,SOURCE-REGISTERED,UNADJUDICATED,SOURCE-REGISTERED,
BR-023,N_H→Ξ,Information-to-cutoff bridge,Ξ=6^(1/4)π^(1/2)N_H^-1/4,CONDITIONAL DOWNSTREAM,Requires non-circular N_H,SOURCE-REGISTERED,UNADJUDICATED,SOURCE-REGISTERED,
BR-024,Ξ→Λ_*→ρ_vac,Cutoff to vacuum bridge,Λ_*=Ξ/ℓ_p; ρ_vac=...,DERIVED GIVEN Ξ,Scale anchor remains upstream,SOURCE-REGISTERED,UNADJUDICATED,SOURCE-REGISTERED,
BR-025,ρ_vac→Λ_cosm→H→a,Cosmological dynamics bridge,Friedmann/de Sitter,DOWNSTREAM CLOSED GIVEN INPUT,Vacuum branch,SOURCE-REGISTERED,UNADJUDICATED,SOURCE-REGISTERED,
BR-026,Γ→Σ_H→P_H,Horizon selection bridge,"P_H²=P_H, P_H†=P_H",OPEN,UOC horizon selector not yet generated,SOURCE-REGISTERED,UNADJUDICATED,SOURCE-REGISTERED,
BR-027,P_H→Z_H,Localized heat trace,Tr(P_He^{-tL}P_H),OPEN AS UOC DERIVATION,Depends on P_H,SOURCE-REGISTERED,UNADJUDICATED,SOURCE-REGISTERED,
BR-028,Γ→ℓ_*,Absolute scale bridge,ℓ_*=C_UOCℓ_p parameterization,OPEN,Scale nonuniqueness theorem,SOURCE-REGISTERED,UNADJUDICATED,SOURCE-REGISTERED,
BR-029,Γ→dotL,Universal spectral dynamics,"dotL=F(L,Δ,τ,κ,Π)",OPEN,Must generate H,SOURCE-REGISTERED,UNADJUDICATED,SOURCE-REGISTERED,
BR-PRF-PRIM-001,kappa[A/D] -> P_ker(L),Constraint-to-spectral-projector bridge,kappa candidate realized as idempotent spectral projector onto ker(L),"CANDIDATE, SURVIVES 9/9",commutes exactly with tau=automorphism (proven+verified),CALCULATED,UNADJUDICATED,CANDIDATE,"Falsified if a graph found where P_ker(L)^2 != P_ker(L) beyond float tolerance (none found, 9/9; theoretically impossible by spectral theorem)"
BR-PRF-PRIM-002,Pi[A/D] -> ker(L),Persistence-to-kernel bridge,Pi = im(kappa) once kappa=P_ker(L),"CANDIDATE, SURVIVES (derivable) 9/9",consistent with DER-SPC-005 naming R=exp(-beta L) the persistence operator,CALCULATED,UNADJUDICATED,CANDIDATE,"Falsified if lim_(t->inf) exp(-tL) != P_ker(L) for some graph (none found, 9/9; theoretically guaranteed by spectral theorem for connected-component structure)"
BR-PRF-PRIM-003,Theta[D] -> reachability-classes(G),Accessibility-to-connectivity bridge,Theta's reachability structure coincides with connected-component partition,"CALCULATED, SURVIVES 9/9",= N - rank(L) = dim ker(L),CALCULATED,UNADJUDICATED,CANDIDATE,"Falsified if a graph found where reachability-class count != connected-component count (none found, 9/9; theoretically guaranteed for undirected graphs)"
