Edge_ID,Edge_Type,Parent,Child,Meaning,Status,Source,Scope,Falsification_Target
DEP-001,MASTER_DEPENDENCY,"(D,τ,κ,Π)",Γ,Primitive grammar → organizational action,CERTIFIED SPINE,23_MASTER_DEPENDENCIES,C0 uniqueness/reconciliation open,
DEP-002,MASTER_DEPENDENCY,Γ,O,Organizational operator,CERTIFIED SPINE,23_MASTER_DEPENDENCIES,Fixed-point closure open,
DEP-003,MASTER_DEPENDENCY,O,Ψ,State recursion,CERTIFIED SPINE,23_MASTER_DEPENDENCIES,Compiler correspondence,
DEP-004,MASTER_DEPENDENCY,Ψ,G,Graph substrate,CERTIFIED/PARTIAL,23_MASTER_DEPENDENCIES,Representation scope,
DEP-005,MASTER_DEPENDENCY,G,L,Graph Laplacian,CERTIFIED,23_MASTER_DEPENDENCIES,Finite graph,
DEP-006,MASTER_DEPENDENCY,L,Spec(L),Spectral decomposition,CERTIFIED,23_MASTER_DEPENDENCIES,Self-adjoint,
DEP-007,MASTER_DEPENDENCY,Spec(L),K_t,Heat semigroup,CERTIFIED,23_MASTER_DEPENDENCIES,t>0,
DEP-008,MASTER_DEPENDENCY,K_t,d,Diffusion distance,CALCULATED,23_MASTER_DEPENDENCIES,Nonzero spectrum,
DEP-009,MASTER_DEPENDENCY,d,g,Metric reconstruction,CALCULATED/SCOPED,23_MASTER_DEPENDENCIES,Continuum,
DEP-010,MASTER_DEPENDENCY,g,∇,Levi-Civita connection,DERIVED,23_MASTER_DEPENDENCIES,Smooth metric,
DEP-011,MASTER_DEPENDENCY,∇,Riemann,Curvature,DERIVED,23_MASTER_DEPENDENCIES,Differentiability,
DEP-012,MASTER_DEPENDENCY,Riemann,Ricci,Contraction,DERIVED,23_MASTER_DEPENDENCIES,Geometry,
DEP-013,MASTER_DEPENDENCY,Ricci,R,Scalar curvature,DERIVED,23_MASTER_DEPENDENCIES,Geometry,
DEP-014,MASTER_DEPENDENCY,R,G_μν,Einstein tensor,DERIVED,23_MASTER_DEPENDENCIES,Geometry,
DEP-015,MASTER_DEPENDENCY,G_μν,S_EH,Variational gravity,DERIVED/ADMITTED,23_MASTER_DEPENDENCIES,Action,
DEP-016,MASTER_DEPENDENCY,S_EH,"A_μ,F_μν,D_μ,ψ,T_μν",Matter/gauge/quantum sectors,PARTIAL/VERSION DEPENDENT,23_MASTER_DEPENDENCIES,Selection/integration,
DEP-017,MASTER_DEPENDENCY,Spec(L),Π_spectral,Persistence sector,PARTIAL,23_MASTER_DEPENDENCIES,Functional/threshold open,
DEP-018,MASTER_DEPENDENCY,Π_spectral,Σ_H,Horizon selector,OPEN,23_MASTER_DEPENDENCIES,Need organizational/causal boundary derivation,
DEP-019,MASTER_DEPENDENCY,Σ_H,P_H,Horizon projector,OPEN,23_MASTER_DEPENDENCIES,Need P_H derivation,
DEP-020,MASTER_DEPENDENCY,"P_H,L",Z_H,Localized heat trace,CALCULATED GIVEN P_H,23_MASTER_DEPENDENCIES,UOC generation open,
DEP-021,MASTER_DEPENDENCY,Z_H,A_H,Area,DERIVED/SCOPED,23_MASTER_DEPENDENCIES,2D heat kernel,
