Node_ID,Node_Type,Name,Ancestor_Count,Descendant_Count,Root_Flag,Leaf_Flag,Impact_Class
PRIM-G-001,PRIMITIVE,Distinction,1,0,,LEAF,LOW
PRIM-G-002,PRIMITIVE,Transformation,1,0,,LEAF,LOW
PRIM-G-003,PRIMITIVE,Constraint,1,0,,LEAF,LOW
PRIM-G-004,PRIMITIVE,Persistence,1,0,,LEAF,LOW
PRIM-P-001,PRIMITIVE,Energy,0,0,ROOT,LEAF,LOW
PRIM-P-002,PRIMITIVE,Gradient,0,0,ROOT,LEAF,LOW
PRIM-C-001,PRIMITIVE,Bipartite Substrate,0,0,ROOT,LEAF,LOW
PRIM-X-001,PRIMITIVE,Distinction,0,0,ROOT,LEAF,LOW
PRIM-X-002,PRIMITIVE,Transformation,0,0,ROOT,LEAF,LOW
PRIM-X-003,PRIMITIVE,Constraint,0,0,ROOT,LEAF,LOW
PRIM-X-004,PRIMITIVE,Accessibility,0,0,ROOT,LEAF,LOW
PRIM-X-005,PRIMITIVE,Persistence,0,0,ROOT,LEAF,LOW
PRIM-X-006,PRIMITIVE,Organizational State,0,0,ROOT,LEAF,LOW
USR-001,SYMBOL,Distinction primitive,0,0,ROOT,LEAF,LOW
USR-002,SYMBOL,Transformation primitive,0,0,ROOT,LEAF,LOW
USR-003,SYMBOL,Constraint primitive,0,0,ROOT,LEAF,LOW
USR-004,SYMBOL,Persistence primitive,0,0,ROOT,LEAF,LOW
USR-005,SYMBOL,Organizational action,0,0,ROOT,LEAF,LOW
USR-006,SYMBOL,Distinction graph,0,0,ROOT,LEAF,LOW
USR-007,SYMBOL,Graph Laplacian,0,0,ROOT,LEAF,LOW
USR-008,SYMBOL,Laplacian spectrum,0,0,ROOT,LEAF,LOW
USR-009,SYMBOL,Heat kernel,0,0,ROOT,LEAF,LOW
USR-010,SYMBOL,Persistence filter,0,0,ROOT,LEAF,LOW
USR-011,SYMBOL,Diffusion distance,0,0,ROOT,LEAF,LOW
USR-012,SYMBOL,Metric tensor,0,0,ROOT,LEAF,LOW
USR-013,SYMBOL,Christoffel symbols,0,0,ROOT,LEAF,LOW
USR-014,SYMBOL,Riemann tensor,0,0,ROOT,LEAF,LOW
USR-015,SYMBOL,Ricci tensor,0,0,ROOT,LEAF,LOW
USR-016,SYMBOL,Ricci scalar,0,0,ROOT,LEAF,LOW
USR-017,SYMBOL,Einstein tensor,0,0,ROOT,LEAF,LOW
USR-018,SYMBOL,Gauge connection,0,0,ROOT,LEAF,LOW
USR-019,SYMBOL,Field strength,0,0,ROOT,LEAF,LOW
USR-020,SYMBOL,Covariant derivative,0,0,ROOT,LEAF,LOW
USR-021,SYMBOL,Spinor field,0,0,ROOT,LEAF,LOW
USR-022,SYMBOL,Stress-energy tensor,0,0,ROOT,LEAF,LOW
USR-023,SYMBOL,Entropy production rate,0,0,ROOT,LEAF,LOW
