NX-001E — FORMAL NORMAL-FORM EQUIVALENCE THEOREM,,,,,,,
,,,,,,,
Theorem target,"For every finite set V and every binary relation A⊆V×V, both Γ_A and Γ_B terminate at the same reflexive, symmetric, transitive closure Eq(A). Thus their terminal normal-form maps are extensionally identical.",,,,,,
,,,,,,,
ID,Type,Formal object,Proof role,,,,
Definition D1,Reflexive closure,R(A)=A∪Δ_V,"Adds every (v,v).",,,,
Definition D2,Symmetric closure,S(A)=A∪A^{-1},Adds every reversed edge.,,,,
Definition D3,Transitive closure,T(A)=⋃_{k≥1} A^k,Adds every finite-path pair.,,,,
Definition D4,Equivalence closure,Eq(A)=R(S(T(A))),Smallest equivalence relation containing A.,,,,
Γ_A,Typed realization,κ(τ(Δ(A))),Δ identifies occupied distinctions; τ adds one-step relational composition; κ enforces reflexive/symmetric closure.,,,,
Γ_B,Independent realization,T(R(S(A))),Direct algorithmic equivalence closure.,,,,
Lemma L1,Extensivity,"A⊆Γ_A(A), A⊆Γ_B(A)",Both operators only add relations.,,,,
Lemma L2,Monotonicity,A⊆B ⇒ Γ_i(A)⊆Γ_i(B),Boolean union/composition/closure are monotone.,,,,
Lemma L3,Idempotent normal form,Eq(Eq(A))=Eq(A),An equivalence relation is already closed.,,,,
Lemma L4,Γ_B normalizes,Γ_B(A)=Eq(A),By construction: reflexive + symmetric + transitive.,,,,
Lemma L5,Γ_A normalizes,Γ_A^*(A)=Eq(A),Repeated one-step closure adds all finite-path consequences; finite V gives termination.,,,,
Theorem T1,Extensional equivalence,Γ_A^*(A)=Γ_B^*(A)=Eq(A),Holds for every finite V.,,,,
,,,,,,,
,,,,,,,
PROOF SKETCH,,,,,,,
1. Eq(A) is an equivalence relation containing A by construction.,,,,,,,
"2. Any equivalence relation E containing A must contain every finite A-path pair, because transitivity propagates along paths. Hence Eq(A)⊆E.",,,,,,,
"3. Γ_B explicitly computes reflexive + symmetric + transitive closure, so Γ_B(A)=Eq(A).",,,,,,,
4. Γ_A is extensive and monotone. Each iteration adds relational consequences generated by Boolean composition and reflexive/symmetric closure.,,,,,,,
"5. On a finite V there are only |V|^2 possible ordered pairs, so the ascending chain A⊆Γ_A(A)⊆Γ_A^2(A)⊆… stabilizes after finitely many steps.",,,,,,,
"6. At stabilization F=Γ_A(F), so F is reflexive and symmetric and is closed under the relational composition used by τ. Hence F is transitive.",,,,,,,
"7. Therefore F is an equivalence relation containing A, so Eq(A)⊆F.",,,,,,,
8. Conversely every Γ_A iteration adds only consequences already contained in Eq(A); by induction Γ_A^n(A)⊆Eq(A). Thus F⊆Eq(A).,,,,,,,
"9. Therefore F=Eq(A), proving Γ_A^*(A)=Eq(A)=Γ_B(A), and hence Γ_A^*(A)=Γ_B^*(A).",,,,,,,
,,,,,,,
,,,,,,,
SCOPE / AUDIT,,,,,,,
Question,Status,Basis,,,,,
Formal finite-domain equivalence,CLOSED,"The theorem is structural for finite relational domains, assuming τ performs Boolean relational composition and κ enforces reflexivity/symmetry.",,,,,
3×3 exhaustive verification,VERIFIED,512/512 terminal outputs agreed.,,,,,
4×4 exhaustive verification,VERIFIED,"65,536/65,536 terminal outputs agreed.",,,,,
One-step operator equality,FALSIFIED,The two implementations are operationally different.,,,,,
Unique canonical primitive grammar,OPEN,"Semantic equivalence of two realizations does not prove that Δ,τ,κ are the only possible primitive realization.",,,,,
Universal cross-domain compiler equivalence,OPEN,Requires tests beyond finite binary relation closure.,,,,,
