Topo_Index,Node_ID,Node_Type,Name,Parent_Count,Child_Count
1,AX-SDR-001..005,DER,Strict Dependency Relation axioms,0,0
2,BR-001,BRIDGE,Grammar composition,0,0
3,BR-002,BRIDGE,Organizational evolution,0,0
4,BR-003,BRIDGE,Organizational state to graph,0,0
5,BR-005,BRIDGE,Spectral decomposition,0,0
6,BR-006,BRIDGE,Spectrum to heat semigroup,0,0
7,BR-007,BRIDGE,Spectrum to diffusion distance,0,0
8,BR-008,BRIDGE,Distance to metric,0,0
9,BR-009,BRIDGE,Metric to connection,0,0
10,BR-010,BRIDGE,Curvature hierarchy,0,0
11,BR-011,BRIDGE,Einstein tensor to field equation,0,0
12,BR-012,BRIDGE,Graph Laplacian to Dirac,0,0
13,BR-013,BRIDGE,Spectral persistence filter,0,0
14,BR-014,BRIDGE,Persistence cost to field equation,0,0
15,BR-015,BRIDGE,Zero informational-loss limit,0,0
16,BR-016,BRIDGE,Statistical bridge,0,0
17,BR-017,BRIDGE,Discrete-to-continuum bridge,0,0
18,BR-018,BRIDGE,Heat-kernel geometric bridge,0,0
19,BR-019,BRIDGE,Homogeneous scale evolution,0,0
20,BR-020,BRIDGE,Spectral vacuum bridge,0,0
21,BR-021,BRIDGE,Horizon heat-kernel area bridge,0,0
22,BR-022,BRIDGE,Spectral/BH normalization bridge,0,0
23,BR-023,BRIDGE,Information-to-cutoff bridge,0,0
24,BR-024,BRIDGE,Cutoff to vacuum bridge,0,0
25,BR-025,BRIDGE,Cosmological dynamics bridge,0,0
26,BR-026,BRIDGE,Horizon selection bridge,0,0
27,BR-027,BRIDGE,Localized heat trace,0,0
28,BR-028,BRIDGE,Absolute scale bridge,0,0
29,BR-029,BRIDGE,Universal spectral dynamics,0,0
30,BRIDGE-PSI,INTERMEDIATE_ENDPOINT,PSI,0,1
31,BRIDGE-R,INTERMEDIATE_ENDPOINT,R,0,1
32,C0,CLOSURE_LAYER,Primitive & grammar reconciliation,0,4
33,C1,CLOSURE_LAYER,Organizational / fixed-point closure,0,2
34,C10,CLOSURE_LAYER,Validation/falsification,0,0
35,C2,CLOSURE_LAYER,Persistence & spectral closure,0,2
36,C3,CLOSURE_LAYER,Spectral→geometry→Lorentzian,0,1
37,C4,CLOSURE_LAYER,Nature spectrum & constants,0,0
38,C5,CLOSURE_LAYER,Gauge/representation/matter/generation,0,1
39,C6,CLOSURE_LAYER,Quantum closure,0,0
40,C7,CLOSURE_LAYER,Cosmological/horizon/information,0,4
41,C8,CLOSURE_LAYER,Biological/adaptive,0,0
42,C9,CLOSURE_LAYER,Compiler closure,0,0
43,CMRC-001..019,DER,Conformal Math Recovery Core (complete),0,0
44,COSMO-DYN-014,COSMO_DYN_RESULT,Ξ(N_H),0,0
45,COSMO-DYN-015,COSMO_DYN_RESULT,Horizon ancestry,0,0
46,COSMO-DYN-016,COSMO_DYN_RESULT,Expansion ancestry,0,0
47,DEP-001,DEPENDENCY,Primitive grammar → organizational action,0,0
48,DEP-002,DEPENDENCY,Organizational operator,0,0
49,DEP-003,DEPENDENCY,State recursion,0,0
50,DEP-004,DEPENDENCY,Graph substrate,0,0
51,DEP-005,DEPENDENCY,Graph Laplacian,0,0
52,DEP-006,DEPENDENCY,Spectral decomposition,0,0
53,DEP-007,DEPENDENCY,Heat semigroup,0,0
54,DEP-008,DEPENDENCY,Diffusion distance,0,0
55,DEP-009,DEPENDENCY,Metric reconstruction,0,0
56,DEP-010,DEPENDENCY,Levi-Civita connection,0,0
57,DEP-011,DEPENDENCY,Curvature,0,0
58,DEP-012,DEPENDENCY,Contraction,0,0
59,DEP-013,DEPENDENCY,Scalar curvature,0,0
60,DEP-014,DEPENDENCY,Einstein tensor,0,0
61,DEP-015,DEPENDENCY,Variational gravity,0,0
62,DEP-016,DEPENDENCY,Matter/gauge/quantum sectors,0,0
63,DEP-017,DEPENDENCY,Persistence sector,0,0
64,DEP-018,DEPENDENCY,Horizon selector,0,0
65,DEP-019,DEPENDENCY,Horizon projector,0,0
66,DEP-020,DEPENDENCY,Localized heat trace,0,0
67,DEP-021,DEPENDENCY,Area,0,0
68,DEP-022,DEPENDENCY,Information count,0,0
69,DEP-023,DEPENDENCY,Cutoff ratio,0,0
70,DEP-024,DEPENDENCY,Physical cutoff,0,0
71,DEP-025,DEPENDENCY,Vacuum density,0,0
72,DEP-026,DEPENDENCY,Cosmological constant,0,0
73,DEP-027,DEPENDENCY,Friedmann,0,0
74,DEP-028,DEPENDENCY,Scale factor,0,0
75,DEP-029,DEPENDENCY,Absolute scale anchor,0,0
76,DEP-030,DEPENDENCY,Spectral dynamics,0,0
77,DER-SDR-001,DERIVATION,Strict Dependency Relation — Definition,0,3
78,DER-SDR-005,DERIVATION,Recovery Admissibility,0,1
79,EQ-001,EQUATION,NCG::1,0,0
80,EQ-002,EQUATION,NCG::2,0,0
81,EQ-003,EQUATION,NCG::3,0,0
82,EQ-004,EQUATION,NCG::4,0,0
83,EQ-005,EQUATION,NCG::5,0,0
84,EQ-006,EQUATION,NCG::6,0,0
85,EQ-007,EQUATION,NCG::7,0,0
86,EQ-008,EQUATION,NCG::8,0,0
87,EQ-009,EQUATION,NCG::9,0,0
88,EQ-010,EQUATION,NCG::10,0,0
89,EQ-011,EQUATION,NCG::11,0,0
90,EQ-012,EQUATION,NCG::12,0,0
91,EQ-013,EQUATION,NCG::13,0,0
92,EQ-014,EQUATION,NCG::14,0,0
93,EQ-015,EQUATION,NCG::15,0,0
94,EQ-016,EQUATION,NCG::16,0,0
95,EQ-017,EQUATION,NCG::17,0,0
96,EQ-018,EQUATION,NCG::18,0,0
97,EQ-019,EQUATION,NCG::19,0,0
98,EQ-020,EQUATION,NCG::20,0,0
99,EQ-021,EQUATION,NCG::21,0,0
100,EQ-022,EQUATION,NCG::22,0,0
101,EQ-023,EQUATION,NCG::23,0,0
102,EQ-024,EQUATION,NCG::24,0,0
103,EQ-025,EQUATION,NCG::25,0,0
104,EQ-026,EQUATION,NCG::26,0,0
105,EQ-027,EQUATION,NCG::27,0,0
106,EQ-028,EQUATION,NCG::28,0,0
107,EQ-029,EQUATION,NCG::29,0,0
108,EQ-030,EQUATION,NCG::30,0,0
109,EQ-031,EQUATION,NCG::31,0,0
110,EQ-032,EQUATION,NCG::32,0,0
111,EQ-033,EQUATION,NCG::33,0,0
112,EQ-034,EQUATION,NCG::34,0,0
113,EQ-035,EQUATION,NCG::35,0,0
114,EQ-036,EQUATION,NCG::36,0,0
115,EQ-037,EQUATION,Spectral Graph::1,0,0
116,EQ-038,EQUATION,Spectral Graph::2,0,0
117,EQ-039,EQUATION,Spectral Graph::3,0,0
118,EQ-040,EQUATION,Spectral Graph::4,0,0
119,EQ-041,EQUATION,Spectral Graph::5,0,0
120,EQ-042,EQUATION,Spectral Graph::6,0,0
121,EQ-043,EQUATION,Spectral Graph::7,0,0
122,EQ-044,EQUATION,Spectral Graph::8,0,0
123,EQ-045,EQUATION,Spectral Graph::9,0,0
124,EQ-046,EQUATION,Spectral Graph::10,0,0
125,EQ-047,EQUATION,Spectral Graph::11,0,0
126,EQ-048,EQUATION,Spectral Graph::12,0,0
127,EQ-049,EQUATION,Spectral Graph::13,0,0
128,EQ-050,EQUATION,Spectral Graph::14,0,0
129,EQ-051,EQUATION,Spectral Graph::15,0,0
130,EQ-052,EQUATION,Spectral Graph::16,0,0
131,EQ-053,EQUATION,Spectral Graph::17,0,0
132,EQ-054,EQUATION,Spectral Graph::18,0,0
133,EQ-055,EQUATION,Spectral Graph::19,0,0
134,EQ-056,EQUATION,Spectral Graph::20,0,0
135,EQ-057,EQUATION,Spectral Graph::21,0,0
136,EQ-058,EQUATION,Spectral Graph::22,0,0
137,EQ-059,EQUATION,Spectral Graph::23,0,0
138,EQ-060,EQUATION,Spectral Graph::24,0,0
139,EQ-061,EQUATION,Spectral Graph::25,0,0
140,EQ-062,EQUATION,Emergent Geometry::1,0,0
141,EQ-063,EQUATION,Emergent Geometry::2,0,0
142,EQ-064,EQUATION,Emergent Geometry::3,0,0
143,EQ-065,EQUATION,Emergent Geometry::4,0,0
144,EQ-066,EQUATION,Emergent Geometry::5,0,0
145,EQ-067,EQUATION,Emergent Geometry::6,0,0
146,EQ-068,EQUATION,Emergent Geometry::7,0,0
147,EQ-069,EQUATION,Emergent Geometry::8,0,0
148,EQ-070,EQUATION,Emergent Geometry::9,0,0
149,EQ-071,EQUATION,Emergent Geometry::10,0,0
150,EQ-072,EQUATION,Emergent Geometry::11,0,0
151,EQ-073,EQUATION,Emergent Geometry::12,0,0
152,EQ-074,EQUATION,Emergent Geometry::13,0,0
153,EQ-075,EQUATION,Emergent Geometry::14,0,0
154,EQ-076,EQUATION,Persistence::1,0,0
155,EQ-077,EQUATION,Persistence::2,0,0
156,EQ-078,EQUATION,Persistence::3,0,0
157,EQ-079,EQUATION,Persistence::4,0,0
158,EQ-080,EQUATION,Persistence::5,0,0
159,EQ-081,EQUATION,Persistence::6,0,0
160,EQ-082,EQUATION,Persistence::7,0,0
161,EQ-083,EQUATION,Persistence::8,0,0
162,EQ-084,EQUATION,Persistence::9,0,0
