Source_Label,Canonical_EQ_ID,Section_Code,Closure_Layer,Equation,Meaning,Authority,Status
NCG.1,EQ-001,NCG,C5,"(A, H, D)",Connes 1995,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.2,EQ-002,NCG,C5,"S = Tr( f(D/Lambda) ) + <psi, D psi>",Connes-Chamseddine,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.3,EQ-003,NCG,C5,D^2 = nabla* nabla + (1/4) R,Lichnerowicz,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.4,EQ-004,NCG,C5,Spec(D) = { lambda_i },Definition,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.5,EQ-005,NCG,C5,A = C^inf(M) x A_F,Standard Model,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.6,EQ-006,NCG,C5,"H = L^2(M,S) x H_F",Standard Model,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.7,EQ-007,NCG,C5,D = D_M x 1 + gamma^5 x D_F,Standard Model,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.8,EQ-008,NCG,C5,D_A = D + A + J A J^{-1},Inner fluctuations,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.9,EQ-009,NCG,C5,"A = sum_i a_i [D, b_i]",Definition,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.10,EQ-010,NCG,C5,S_B = Tr( f(D_A / Lambda) ),Spectral action,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.11,EQ-011,NCG,C5,"S_F = <J psi, D_A psi>",Spectral action,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.12,EQ-012,NCG,C5,S = S_B + S_F,Full action,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.13,EQ-013,NCG,C5,Tr(f(D/Lambda)) ~ sum_{n>=0} f_n Lambda^{4-n} a_n(D^2),Seeley-DeWitt,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.14,EQ-014,NCG,C5,f_n = INT_0^inf f(v) v^{n-1} dv,Definition,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.15,EQ-015,NCG,C5,"a_0, a_2, a_4, a_6, ...",Coefficients,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.16,EQ-016,NCG,C5,Lambda^4 a_0 + Lambda^2 a_2 + a_4 + O(Lambda^{-2}),Expansion,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.17,EQ-017,NCG,C5,K(t) = Tr(exp(-t D^2)),Heat kernel,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.18,EQ-018,NCG,C5,zeta_D(s) = Tr(D^{-s}),Zeta function,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.19,EQ-019,NCG,C5,S_zeta = zeta_D(0),Zeta action,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.20,EQ-020,NCG,C5,Index(D) = dim ker D - dim ker D^dag,Atiyah-Singer,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.21,EQ-021,NCG,C5,J^2 = +/- 1,Real structure,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.22,EQ-022,NCG,C5,J D = +/- D J,Real structure,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.23,EQ-023,NCG,C5,J gamma = +/- gamma J,Real structure,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.24,EQ-024,NCG,C5,gamma^2 = 1,Chirality,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.25,EQ-025,NCG,C5,"{gamma, D} = 0",Chirality,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.26,EQ-026,NCG,C5,A = C^inf(M) x (C + H + M_3(C)),SM algebra,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.27,EQ-027,NCG,C5,SU(3) x SU(2) x U(1),Gauge group,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.28,EQ-028,NCG,C5,g_1 = g_2 = g_3,Unification,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.29,EQ-029,NCG,C5,m_H ~ 125 GeV,Higgs mass,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.30,EQ-030,NCG,C5,m_nu = m_D^T M_R^{-1} m_D,Seesaw,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.31,EQ-031,NCG,C5,"dist(x,y) = sup{ |f(x)-f(y)| : ||[D,f]|| <= 1 }",Connes distance,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.32,EQ-032,NCG,C5,"[D, a]",Commutator,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.33,EQ-033,NCG,C5,"[[D,a],b] = 0",Order-one,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.34,EQ-034,NCG,C5,"[D, A] subset B(H)",Boundedness,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.35,EQ-035,NCG,C5,D^{-1},Propagator,MASTER EQUATION MATRIX,SOURCE-CODED
NCG.36,EQ-036,NCG,C5,chi(D) = Tr(gamma exp(-t D^2)),Chiral trace,MASTER EQUATION MATRIX,SOURCE-CODED
SP.1,EQ-037,SP,UNASSIGNED,"G = (V, E)",Definition,MASTER EQUATION MATRIX,SOURCE-CODED
SP.2,EQ-038,SP,UNASSIGNED,L = D_deg - A,Graph Laplacian,MASTER EQUATION MATRIX,SOURCE-CODED
SP.3,EQ-039,SP,UNASSIGNED,L phi = lambda phi,Eigenequation,MASTER EQUATION MATRIX,SOURCE-CODED
SP.4,EQ-040,SP,UNASSIGNED,"Spec(L) = {lambda_1, lambda_2, ..., lambda_n}",Spectrum,MASTER EQUATION MATRIX,SOURCE-CODED
SP.5,EQ-041,SP,UNASSIGNED,lambda_0 = 0,Ground state,MASTER EQUATION MATRIX,SOURCE-CODED
SP.6,EQ-042,SP,UNASSIGNED,L 1 = 0,Kernel,MASTER EQUATION MATRIX,SOURCE-CODED
SP.7,EQ-043,SP,UNASSIGNED,sum_i lambda_i = Tr(L),Trace,MASTER EQUATION MATRIX,SOURCE-CODED
SP.8,EQ-044,SP,UNASSIGNED,phi_i^T L phi_j = lambda_i delta_{ij},Orthonormality,MASTER EQUATION MATRIX,SOURCE-CODED
SP.9,EQ-045,SP,UNASSIGNED,L = B B^T,Incidence factorization,MASTER EQUATION MATRIX,SOURCE-CODED
SP.10,EQ-046,SP,UNASSIGNED,L = U Lambda U^{-1},Diagonalization,MASTER EQUATION MATRIX,SOURCE-CODED
SP.11,EQ-047,SP,UNASSIGNED,f(L) = U f(Lambda) U^{-1},Functional calculus,MASTER EQUATION MATRIX,SOURCE-CODED
SP.12,EQ-048,SP,UNASSIGNED,Tr(f(L)) = sum_i f(lambda_i),Spectral trace,MASTER EQUATION MATRIX,SOURCE-CODED
SP.13,EQ-049,SP,UNASSIGNED,Tr(exp(-t L)),Heat trace,MASTER EQUATION MATRIX,SOURCE-CODED
SP.14,EQ-050,SP,UNASSIGNED,exp(-t L) phi_i = exp(-t lambda_i) phi_i,Heat semigroup,MASTER EQUATION MATRIX,SOURCE-CODED
SP.15,EQ-051,SP,UNASSIGNED,det(L + eps I),Regularized det,MASTER EQUATION MATRIX,SOURCE-CODED
SP.16,EQ-052,SP,UNASSIGNED,Delta = d^dag d + d d^dag,Hodge Laplacian,MASTER EQUATION MATRIX,SOURCE-CODED
SP.17,EQ-053,SP,UNASSIGNED,D = d + delta,Dirac-Hodge,MASTER EQUATION MATRIX,SOURCE-CODED
SP.18,EQ-054,SP,UNASSIGNED,d^2 = 0,Nilpotency,MASTER EQUATION MATRIX,SOURCE-CODED
SP.19,EQ-055,SP,UNASSIGNED,Omega^k(M) = Lambda^k(T* M),k-forms,MASTER EQUATION MATRIX,SOURCE-CODED
SP.20,EQ-056,SP,UNASSIGNED,H^k(M) = ker d / im d,de Rham cohomology,MASTER EQUATION MATRIX,SOURCE-CODED
SP.21,EQ-057,SP,UNASSIGNED,Omega^k = H^k + im(d) + im(delta),Hodge decomposition,MASTER EQUATION MATRIX,SOURCE-CODED
SP.22,EQ-058,SP,UNASSIGNED,Spec(Delta) = {mu_i},Hodge spectrum,MASTER EQUATION MATRIX,SOURCE-CODED
SP.23,EQ-059,SP,UNASSIGNED,Tr(exp(-t Delta)),Hodge heat trace,MASTER EQUATION MATRIX,SOURCE-CODED
SP.24,EQ-060,SP,UNASSIGNED,nabla^2 = nabla . nabla,Scalar Laplacian,MASTER EQUATION MATRIX,SOURCE-CODED
SP.25,EQ-061,SP,UNASSIGNED,Delta_g = (1/sqrt|g|) d_i(sqrt|g| g^{ij} d_j),Riemannian Laplacian,MASTER EQUATION MATRIX,SOURCE-CODED
GE.1,EQ-062,GE,UNASSIGNED,"d(i,j) = sqrt(sum_k (phi_k(i)-phi_k(j))^2 / lambda_k)",Diffusion distance,MASTER EQUATION MATRIX,SOURCE-CODED
