PAIR_ID,Doc_A,Doc_B,Relationship,Basis
C-01,D1,D2,DIFFERENT REPRESENTATION / PROBABLE REFINEMENT (unconfirmed),"D2 audits a registry (PR-001..004, K-DEF-001, ARBS-DEF-001, CMRC-CHAIN-001, VAL-004, VAL-005, THERMO-TAX) whose downstream object NAMES exactly match D1 Part IV/Part I objects, but D2 never gives primitive-level mathematical definitions matching D1's, so identity cannot be confirmed from text alone -- classified as probable same-underlying-project, different presentation layer (formal audit vs narrative derivation), not confirmed identical content."
C-02,D1,D3,REFINEMENT / DIFFERENT REPRESENTATION,D3 explicitly built as an analysis/visualization companion to 'eighteen research posters' spanning the same Laplacian-compiler and TOEv/SEIT material D1 covers narratively; D3 introduces its own 5-primitive TOEv set (GR-05) not identified with D1's DTC grammar (GR-01) by either document.
C-03,D1,D4,"REFINEMENT (explicit, source-stated)","D4's own Prefatory Note: 'This document updates the Combined Compiler Theories Whitepaper in light of the full derivation audit... installs the Gamma(lambda) = Restoration/Degradation framework as the correct closure candidate for the persistence threshold lambda_c, replacing the earlier and incorrect identification lambda_c=lambda_1.' Scope of the update is EXPLICITLY LIMITED to lambda_c and SEIT-Layer-II derivation statuses -- D1 Parts I-III, IV Sec1-6, and V are NOT touched by D4."
C-04,D1,D5,CONDITIONAL RELATION / PARTIAL OVERLAP,"D5's Sec II.4 Pi definition (lambda_n<lambda_c) and D1's Sec10.2 TRL both invoke the same lambda_c object without resolving it; D5's 13-phase architecture is a DIFFERENT, more recent construction than D1's Parts I/II/IV compiler pipelines, sharing vocabulary (graph Laplacian, heat kernel, spectral action) but not textually identified as the same pipeline by either document."
C-05,D2,D3,APPARENT CONFLICT / NO OVERLAP ESTABLISHED,No shared object names or explicit cross-reference found between D2's formal MCT/MCL audit registry and D3's poster-analysis content; treated as addressing different (or at least not textually connected) layers of the overall research program.
C-06,D2,D4,NO OVERLAP ESTABLISHED (with one narrow exception),"D2's OP-007 ('Spectral persistence threshold: derive lambda_c from the spectral data of D_Gn') is THE SAME open problem D4's entire Sec2-3 addresses (the Gamma(lambda)=1 closure attempt), even though D2 and D4 use different registry ID schemes and neither document cross-references the other by name -- identified here by CONTENT MATCH, not by an explicit source citation linking the two documents."
C-07,D2,D5,NO OVERLAP ESTABLISHED,"No shared object names, registry IDs, or explicit cross-reference found."
C-08,D3,D4,SPECIAL CASE / PARTIAL OVERLAP,"D3's Pi_0=(delta_spec-lambda_c)/sigma persistence functional (Sec VII.D, Sec IX) and D4's Gamma(lambda)-based lambda_c closure attempt both target the SAME open lambda_c quantity; D3 states 'the research program's central open problem is the derivation of lambda_c from Spec(L)' near-verbatim matching D4's own framing, though D3 gives no candidate closure route (Gamma(lambda) is D4-only) and D4 gives no explicit citation back to D3's Pi_0 formula."
C-09,D3,D5,DIFFERENT REPRESENTATION,"D3's 5-level SEIT hierarchy (L0-L5) and D5's SEIT framing overlap in NAME (both titled/labeled 'SEIT') and in core apparatus (graph Laplacian, heat kernel, persistence sector) but D3 is presented as a poster/visualization companion while D5 presents a 13-phase 'Universal Compiler Architecture' with explicit derivation claims; neither document cross-references the other explicitly."
C-10,D4,D5,"ACTUAL CONFLICT, EXPLICITLY RESOLVED BY SUPERSESSION","D4 explicitly names and retracts multiple specific claims that appear with full confidence in D5 (lambda_c=lambda_1; the 166.48 Hz GW prediction; the ~135pc dwarf-core-radius prediction; the SU(3)xSU(2)xU(1) anomaly-cancellation derivation labeled 'derived, not postulated'). D4's Prefatory Note frames itself explicitly as the corrective audit: 'Items that were previously mislabeled as derived are now accurately labeled as open.' Per D4's own SUPERSEDED framing, this reconstruction treats D4 as authoritative over D5 on every point D4 explicitly revises, and preserves D5's un-revised content (Heat Kernel Bridge, Spectral Metric Formula, Euler-Lagrange field-equation derivation) at its own originally-stated status -- D4 does not touch these, so they are NOT silently downgraded."
