Bridge_ID,From_Layer,To_Layer,Bridge_Name,Bridge_Equation,Derivation_Status,Closure_Status,Source,Closure_Layer,Registry_Status,Governance_Note
BR-001,Primitive/Grammar,Graph?,Grammar composition,"(Δ,τ,κ,Π)→Γ",CERTIFIED SPINE,C0 canonical uniqueness remains open,v1 synchronization / canonical node registry,Primitive reconciliation,REGISTERED,Source-derived; no new equation admitted beyond registered material.
BR-002,Γ,O→Ψ,Organizational evolution,Γ→O→Ψ,CERTIFIED/PARTIAL,Fixed-point closure remains open,v1 synchronization / canonical node registry,C1 fixed-point closure,REGISTERED,Source-derived; no new equation admitted beyond registered material.
BR-003,Ψ,G,Organizational state to graph,Ψ→G,CALCULATED/SCOPED,Representation universality open,v1 synchronization / canonical node registry,C0/C3 representation closure,REGISTERED,Source-derived; no new equation admitted beyond registered material.
BR-004,G,L,Graph to Laplacian,L=D-A,CERTIFIED,Graph assumptions,Bridge Equation Registry infographic; canonical registry,Graph bridge,REGISTERED,Source-derived; no new equation admitted beyond registered material.
BR-005,L,Spec(L),Spectral decomposition,Lφ_i=λ_iφ_i,CERTIFIED,Self-adjoint/finite graph conditions,Bridge Equation Registry infographic,Spectral bridge,REGISTERED,Source-derived; no new equation admitted beyond registered material.
BR-006,Spec(L),K_t,Spectrum to heat semigroup,H(t)=e^{-tL},CERTIFIED,Functional calculus / semigroup assumptions,Bridge Equation Registry infographic,Heat-kernel bridge,REGISTERED,Source-derived; no new equation admitted beyond registered material.
BR-007,Spec(L),D_t / diffusion distance,Spectrum to diffusion distance,D_t / spectral diffusion-distance construction,CERTIFIED,Depends on spectral heat kernel,Canonical bridge registry / equation triples,Spectral→geometry,REGISTERED,Source-derived; no new equation admitted beyond registered material.
BR-008,D_t,g,Distance to metric,Diffusion distance→metric,CERTIFIED,Metric reconstruction assumptions,Canonical bridge registry / equation triples,Geometry,REGISTERED,Source-derived; no new equation admitted beyond registered material.
BR-009,g,∇,Metric to connection,Γ^ρ_{μν}=1/2 g^{ρσ}(∂_μg_{σν}+∂_νg_{σμ}-∂_σg_{μν}),CERTIFIED,Levi-Civita assumptions,Bridge Equation Registry infographic,Differential geometry,REGISTERED,Source-derived; no new equation admitted beyond registered material.
BR-010,∇,R / G_{μν},Curvature hierarchy,R^ρ_{σμν}=∂_μΓ^ρ_{νσ}-∂_νΓ^ρ_{μσ}+Γ^ρ_{μλ}Γ^λ_{νσ}-Γ^ρ_{νλ}Γ^λ_{μσ},CERTIFIED,Bianchi identities / curvature conventions,Bridge Equation Registry infographic; equation triples,Curvature→Einstein,REGISTERED,Source-derived; no new equation admitted beyond registered material.
BR-011,G_{μν},Field equation,Einstein tensor to field equation,G_{μν}+Λg_{μν}=8πG c^{-4}T_{μν},CERTIFIED/SCOPED,Matter coupling is a separate closure boundary in current matrix,Canonical bridge registry / recovery spine,C5 matter closure,REGISTERED,Source-derived; no new equation admitted beyond registered material.
BR-012,L,Dirac,Graph Laplacian to Dirac,L→D (or L→D² correspondence),CERTIFIED/SCOPED,Exact spectral correspondence remains an integration question,Canonical node / NCG branch,C5/C6 spectral correspondence,REGISTERED,Source-derived; no new equation admitted beyond registered material.
BR-013,L / R,P,Spectral persistence filter,R=e^{-βL}; persistence filtering via spectral relaxation,CERTIFIED/PROPOSED DEPENDING BRANCH,Persistence interpretation and FP spectral correspondence remain open,Organizational Persistence Bridge Graph; DER-TRC-006B,C1/C2,REGISTERED,Branch-dependent source material preserved; no universality claim.
BR-014,Persistence cost,Euler-Lagrange,Persistence cost to field equation,δC_Π=0,CERTIFIED/SCOPED,Functional assumptions,Canonical bridge registry / equation triples,Variational closure,REGISTERED,Source-derived; no new equation admitted beyond registered material.
BR-015,I_F,geodesic,Zero informational-loss limit,I_F=0→geodesic,CERTIFIED,Model branch,Canonical bridge registry / equation triples,Information→GR,REGISTERED,Source-derived; no new equation admitted beyond registered material.
BR-016,R,Z→F,Statistical bridge,R→Z→F,DERIVED,β=1/(k_BT) convention,v1/v2 canonical node registry,Thermodynamic/statistical,REGISTERED,Source-derived; no new equation admitted beyond registered material.
BR-017,L_N/h_N²,-Δ_g,Discrete-to-continuum bridge,L_N/h_N²→-Δ_g,CLOSED FOR TEST FAMILY,Not universal yet,Canonical node registry,C3 continuum closure,REGISTERED,Source-derived; no new equation admitted beyond registered material.
BR-018,K_N,K_g→d_g→g_ij,Heat-kernel geometric bridge,K_N→K_g→d_g→g_ij,CONDITIONAL/DERIVED,h_N²/t→0,Canonical node registry,C3 continuum closure,REGISTERED,Source-derived; no new equation admitted beyond registered material.
BR-019,L(a),dot L,Homogeneous scale evolution,L(a)=a^{-2}L_0 ⇒ dot L=-2HL,DERIVED/CALCULATED,Homogeneous branch,Canonical node registry / COSMO-DYN,C7,REGISTERED,Source-derived; no new equation admitted beyond registered material.
BR-020,Spec(L),DOS→ρ_vac,Spectral vacuum bridge,dν/dλ→ρ_vac,DERIVED/CALCULATED,3D continuum physical cutoff,Canonical node registry / COSMO-DYN,C7,REGISTERED,Source-derived; no new equation admitted beyond registered material.
BR-021,Z_H,A_H,Horizon heat-kernel area bridge,A_H=4π lim_{t→0} t Z_H(t),DERIVED/CALCULATED,Given legitimate horizon subsystem,Canonical node registry / COSMO-DYN,C7,REGISTERED,Source-derived; no new equation admitted beyond registered material.
BR-022,Z_H(ℓ_p²),N_BH,Spectral/BH normalization bridge,N_BH=π Z_H(ℓ_p²),ALGEBRAIC CONDITION,Origin of π not derived,Canonical node registry / COSMO-DYN,C7,REGISTERED,Source-derived; no new equation admitted beyond registered material.
BR-023,N_H,Ξ,Information-to-cutoff bridge,Ξ=6^{1/4}π^{1/2}N_H^{-1/4},CONDITIONAL DOWNSTREAM,Requires non-circular N_H,Canonical node registry / COSMO-DYN,C7,REGISTERED,Source-derived; no new equation admitted beyond registered material.
BR-024,Ξ,Λ_*→ρ_vac,Cutoff to vacuum bridge,Λ_*=Ξ/ℓ_p; ρ_vac=(ℏc/16π²)Λ_*^4,DERIVED GIVEN Ξ,Scale anchor remains upstream,Canonical node registry / COSMO-DYN,C7,REGISTERED,Source-derived; no new equation admitted beyond registered material.
BR-025,ρ_vac,Λ_cosm→H→a,Cosmological dynamics bridge,ρ_vac→Λ_cosm→H→a,DOWNSTREAM CLOSED GIVEN INPUT,Vacuum branch,Canonical node registry / COSMO-DYN,C7,REGISTERED,Source-derived; no new equation admitted beyond registered material.
BR-026,Γ,Σ_H→P_H,Horizon selection bridge,"P_H²=P_H, P_H†=P_H",OPEN,UOC horizon selector not yet generated,Canonical node registry,C7,REGISTERED,Source-derived; no new equation admitted beyond registered material.
BR-027,P_H,Z_H,Localized heat trace,Z_H(t)=Tr(P_H e^{-tL} P_H),OPEN AS UOC DERIVATION,Depends on P_H,Canonical node registry,C7,REGISTERED,Source-derived; no new equation admitted beyond registered material.
BR-028,Γ,ℓ_*,Absolute scale bridge,ℓ_*=C_UOC ℓ_p,OPEN,Scale nonuniqueness theorem; C_UOC unresolved,Canonical node registry,C4/C7,REGISTERED,Source-derived; no new equation admitted beyond registered material.
BR-029,Γ,dot L,Universal spectral dynamics,"dot L=F(L,Δ,τ,κ,Π)",OPEN,Must generate H / homogeneous -2HL branch,Canonical node registry,C7,REGISTERED,Source-derived; no new equation admitted beyond registered material.
