EDGE_ID,UPSTREAM,DOWNSTREAM,RELATION,SOURCE_STATEMENT,SOURCE_DOC
E-01,N-D1-01,N-D1-02,refinement functor acts on,'strict covariant functor R: G-bullet -> G-bullet',D1
E-02,N-D1-02,N-D1-04,compiler maps refined graphs into,'algorithmic compiler c: G-bullet -> Discrete-Geom maps the pointed graph sequence directly into DEC',D1
E-03,N-D1-04,N-D1-06,Hilbert space of discrete geometry hosts,'Optimization Operator... running within the discrete Hilbert space',D1
E-04,N-D1-06,N-D1-07,gradient-descent convergence yields,'network is mathematically forced to converge to the unique macroscopic Fixed Point',D1
E-05,N-D1-08,N-D1-02,Gamma is the DTC-level description of,'Iterating this map is the DTC-level description of the same refinement functor R',D1
E-06,N-D1-09,N-D1-07,recasts critical attractor set in throughput terms,'Axiom 6 recasts the critical attractor set of Sec3.2 in thermodynamic terms',D1
E-07,N-D1-09,N-D1-10,persistence threshold given physical reading by,'This gives the persistence threshold lambda_c a physical reading',D1
E-08,N-D1-11,N-D1-05,four gates compose to reconstruct continuization functor,'Composing all four gates reconstructs the single continuization functor',D1
E-09,N-D1-05,N-D1-16,compiler pipeline instantiated as CMRC worldsheet chain,'CMRC is the recovery branch bridging the general mathematical kernel to physical ontology',D1
E-10,N-D1-16,N-D1-17,"VAL-004 extends the Hamiltonian branch, itself downstream of variational core shared with CMRC",'VAL-005 is a specialization rooted in the variational core',D1
E-11,N-D1-18,N-D1-17,VAL-004 extends VAL-005 through canonical quantization,'VAL-004 extends the Hamiltonian branch through Dirac's canonical quantization',D1
E-12,N-D1-08,N-D1-19,"MDCL v2.0 six-primitive extension of the DTC-adjacent grammar (Delta,tau,kappa carried over) underlies graph-spectral GR route","'v2.0 certifies six primitives rather than three or four... Delta,tau,kappa... carry over directly'",D1
E-13,N-D1-19,N-D1-20,vacuum Einstein tensor certified; matter coupling explicitly NOT yet recovered downstream of it,"'Layer VII, covering the coupling of geometry to matter, is labeled in the source material itself as not yet recovered'",D1
E-14,N-D1-21,N-D1-08,Lorentzian program's dependency tree begins from the same Primitive Grammar node,'Primitive Grammar -> Graph -> Positive Laplacian -> ...',D1
E-15,N-D1-22,N-D1-08,"Sigma_0={D,T,C,Pi} formalizes A grammar SHARING SYMBOLS with GR-02, NOT proven identical to GR-01/N-D1-08",'Sigma_0=Part IV's v1.0 primitive set... not a foundation for either of the other two primitive grammars',D1
E-16,N-D2-01,N-D2-02,TH-PR-005-L1/TH-PR-005 proven from PR-001..004 (Layer 0 -> Layer 1/2),"MCL chain links CL-0001-0005, Dependency Completeness audit",D2
