DER_ID,Comparison,Title_v1,Title_v2,Predecessors_v1,Predecessors_v2,Status_v1,Status_v2
DER-GAU-001,NEW_IN_V2,,Gauge Connection,,SPC-002,,CERTIFIED
DER-GAU-002,NEW_IN_V2,,Electromagnetic Curvature,,GAU-001,,CERTIFIED
DER-GAU-003,NEW_IN_V2,,Covariant Derivative,,"GAU-001, GEO-002",,CERTIFIED
DER-GAU-004,NEW_IN_V2,,Yang-Mills Recovery,,"GAU-002, GAU-003",,CERTIFIED
DER-GEO-001,NEW_IN_V2,,Metric Recovery,,SPC-003,,CERTIFIED
DER-GEO-002,NEW_IN_V2,,Connection Recovery,,GEO-001,,CERTIFIED
DER-GEO-003,NEW_IN_V2,,Curvature Tensor Recovery,,GEO-002,,CERTIFIED
DER-GEO-004,NEW_IN_V2,,Ricci Tensor Recovery,,GEO-003,,CERTIFIED
DER-GEO-005,NEW_IN_V2,,Scalar Curvature Recovery,,GEO-004,,CERTIFIED
DER-GEO-006,NEW_IN_V2,,Einstein Tensor Recovery,,GEO-005,,CERTIFIED
DER-ORG-001,NEW_IN_V2,,Organizational Grammar Recovery,,"PRIM-001,002,003",,CERTIFIED
DER-ORG-002,NEW_IN_V2,,Organizational State Evolution,,ORG-001,,CERTIFIED
DER-ORG-003,NEW_IN_V2,,Persistence / Fixed-Point Recovery,,ORG-002,,CERTIFIED
DER-ORG-004,NEW_IN_V2,,Recursive Organizational Distinction,,ORG-003,,CERTIFIED
DER-ORG-005,NEW_IN_V2,,Organizational Compiler Interface,,"ORG-001, SPC-001",,CERTIFIED
DER-ORG-006,NEW_IN_V2,,Fixed-Point Equivalence Theorem,,"ORG-003, SPC-005",,OPEN
DER-ORG-007,NEW_IN_V2,,Organizational Persistence Functional Recovery,,"ORG-003, TRC-002",,OPEN
DER-ORG-008,NEW_IN_V2,,Organizational Attractor Uniqueness,,ORG-003,,OPEN
DER-ORG-009,NEW_IN_V2,,Compiler Completeness Theorem,,ORG-005,,OPEN
DER-ORG-010,NEW_IN_V2,,Dependency Completeness Theorem,,"SDR-005, ORG-009",,OPEN
DER-QR-001,NEW_IN_V2,,Hilbert Space Recovery,,SPC-003,,CERTIFIED
DER-QR-002,NEW_IN_V2,,Schrodinger Recovery,,"QR-001, SPC-003",,CERTIFIED
