Node_ID,Node_Type,Name,Symbol,Status,Source,Parent_or_Reference,Notes
PRIM-G-001,PRIMITIVE,Distinction,Delta (D),SOURCE-REGISTERED,UCG,,The minimal identifiable difference — a closed orientable boundary separating interior from exterior. Formally: a hypersurface satisfying the homological closure condition d(dΩ) = 0.
PRIM-G-002,PRIMITIVE,Transformation,tau (T),SOURCE-REGISTERED,UCG,,"Any lawful evolution acting on an established distinction, preserving phase-space volume (discrete Liouville condition). Requires a prior distinction to act on."
PRIM-G-003,PRIMITIVE,Constraint,kappa (C),SOURCE-REGISTERED,UCG,,The rules restricting which transformations are permissible. Formally: a projection operator P_kappa satisfying idempotency (P_kappa^2 = P_kappa).
PRIM-G-004,PRIMITIVE,Persistence,Pi (P),SOURCE-REGISTERED,UCG,,The retention of organizational identity across constrained transformations — the kernel of an invariant operator surviving repeated application of tau under kappa.
PRIM-P-001,PRIMITIVE,Energy,E,SOURCE-REGISTERED,UCG,,The capacity of a physical system to do work. Foundational input to the Physical Layer. All thermodynamic states derive from E.
PRIM-P-002,PRIMITIVE,Gradient,nabla Phi,SOURCE-REGISTERED,UCG,,A nonzero spatial difference in an intensive variable creating a driving force. The physical realization of Distinction. Measurable; replaces the abstract Delta in the physics-first formulation.
PRIM-C-001,PRIMITIVE,Bipartite Substrate,"B=(U,V,E)",SOURCE-REGISTERED,UCG,,"An Abelian bipartite graph with disjoint vertex sets U and V and edge set E ⊂ U×V. No metric, orientation, or background geometry assumed. The foundational input to the Computational Layer."
PRIM-X-001,PRIMITIVE,Distinction,Delta,SOURCE-REGISTERED,UCG,,State distinguishability — same as PRIM-G-001.
PRIM-X-002,PRIMITIVE,Transformation,tau,SOURCE-REGISTERED,UCG,,Admissible evolution — same as PRIM-G-002.
PRIM-X-003,PRIMITIVE,Constraint,kappa,SOURCE-REGISTERED,UCG,,Restriction on admissible evolution — same as PRIM-G-003.
PRIM-X-004,PRIMITIVE,Accessibility,Theta,SOURCE-REGISTERED,UCG,,A reachability structure defining which states can follow which.
PRIM-X-005,PRIMITIVE,Persistence,Pi,SOURCE-REGISTERED,UCG,,Stable organizational realization — same as PRIM-G-004.
PRIM-X-006,PRIMITIVE,Organizational State,Omega,SOURCE-REGISTERED,UCG,,A certified organizational configuration — the state variable for the organizational evolution equation.
USR-001,SYMBOL,Distinction primitive,Delta,SOURCE-REGISTERED,UCG,,
USR-002,SYMBOL,Transformation primitive,tau,SOURCE-REGISTERED,UCG,,
USR-003,SYMBOL,Constraint primitive,kappa,SOURCE-REGISTERED,UCG,,
USR-004,SYMBOL,Persistence primitive,Pi,SOURCE-REGISTERED,UCG,,
USR-005,SYMBOL,Organizational action,Gamma,SOURCE-REGISTERED,UCG,,
USR-006,SYMBOL,Distinction graph,"G=(V,E)",SOURCE-REGISTERED,UCG,,
USR-007,SYMBOL,Graph Laplacian,L=D-A,SOURCE-REGISTERED,UCG,,
USR-008,SYMBOL,Laplacian spectrum,"Spec(L)={lam_n,phi_n}",SOURCE-REGISTERED,UCG,,
USR-009,SYMBOL,Heat kernel,K_t=exp(-tL),SOURCE-REGISTERED,UCG,,
USR-010,SYMBOL,Persistence filter,R=exp(-beta L),SOURCE-REGISTERED,UCG,,
USR-011,SYMBOL,Diffusion distance,"d(i,j)",SOURCE-REGISTERED,UCG,,
