Object_ID,Source_ID,Domain,Input_Dependencies,Output_Object,Equation,Derivation,Assumptions,Source_Status,Independent_Status,Closure_Status,Verification_Status,Numerical_Check,Symbolic_Check,Proof_Record,Counterexample_Record,Provenance,Notes
IOBJ-A-001,OBJ-005..008 (Phase 0),A_spectral,"G=(V,E)","L, Spec(L), K_t=exp(-tL), P_ker(L)",L=D-A=Inc.Inc^T; K_t=sum e^{-t lam_n}E_n; P_ker(L)=lim K_t,"Carried forward from derivations/C0/PRF-PRIM/ (exact/machine-precision, 9/9 families)",Finite graph,CALCULATED,CALCULATED,CALCULATED-UNIVERSAL (linear algebra core),VERIFIED,"9/9 families, machine precision","Exact (K4,K3,3)",derivations/C0/PRF-PRIM/proofs/,N/A,phase_1/derivations/A_spectral_persistence.md,Comparison class A (notation only)
IOBJ-B-001,OBJ-011 (Phase 0),B_continuum,"IOBJ-A-001, refinement family (ring/torus)",lambda_N(p)/h_N^2 -> |p|^2,lambda_k/h_N^2 = p_k^2 - h_N^2 p_k^4/12 + O(h_N^3),Symbolic Taylor expansion + numerical convergence sweep N=8..2048,Periodic 1D/2D lattice refinement family,ADMITTED,CALCULATED,"CALCULATED, scoped to lattice families",VERIFIED,Error-halving ratio -> 4.000 (O(h^2) signature),Exact series match,phase_1/proofs/PROOF_RECORDS.md PROOF-P1-001,N/A,phase_1/derivations/B_continuum_limit.md,Comparison class B (equivalent representation)
IOBJ-C-001,Node C,C_heat_kernel,"IOBJ-A-001, IOBJ-B-001",Tr(K_t) short-time asymptotic,Tr(K_t) ~ Len/sqrt(4pi t) [1D]; ~ Area/(4pi t) [2D],"Rescaled-generator heat trace, 1D ring N=4096 + 2D torus 48x48","Requires RESCALED generator L/h_N^2, not bare L (see FALS-P1-001)",ADMITTED,CALCULATED,"CALCULATED, scoped to 2 lattice families",VERIFIED,Ratios 1.0000-1.05 across 10 t-values,N/A (external theorem cited),"N/A (external, EXT-005)",phase_1/falsifications/FALSIFICATION_RECORDS.md FALS-P1-001 (bare-L version),phase_1/derivations/CDE_heat_kernel_distance_metric.md,Directly verifies the Z_H(t)~A_H/(4pi t) form used in the Cosmological Horizon special rule
IOBJ-D-001,Node D,D_distance,IOBJ-A-001,"Spectral/diffusion distance d(i,j)","d(i,j)^2 = K_t(i,i)+K_t(j,j)-2K_t(i,j)","Computed on 9 benchmark graphs, t=1.0; metric axioms checked",t fixed at 1.0 (arbitrary probe),ADMITTED,CALCULATED,CALCULATED-UNIVERSAL for metric-axiom validity (spectral theorem guarantee),VERIFIED,"0 triangle-inequality violations, 9/9 families",N/A,N/A,N/A,phase_1/derivations/CDE_heat_kernel_distance_metric.md,Comparison class B
IOBJ-E-001,Node E,E_metric,IOBJ-D-001,Monotonicity of diffusion distance vs. graph distance,N/A (qualitative test),"64-vertex ring, t=0.5",Lattice-only test,ADMITTED,CALCULATED,CONDITIONAL (lattice-only),VERIFIED,"Monotonic, 0 violations up to half circumference",N/A,N/A,N/A,phase_1/derivations/CDE_heat_kernel_distance_metric.md,Comparison class B
IOBJ-FGH-001,Nodes F/G/H,H_einstein,IOBJ-E-001 (incomplete),Curvature (2 parallel constructions),"Flat-space: Christoffel=Riemann=Ricci=Einstein=0. Ollivier-Ricci: kappa(u,v)=1-W1(mu_u,mu_v)/d(u,v)","Symbolic flat-metric check (trivial); exact optimal-transport LP for Ollivier-Ricci, 9/9 graphs",BLOCKER-001: full smooth Riemann/Ricci/Einstein chain from graph substrate NOT independently constructed,ADMITTED,"OPEN (smooth chain) / CALCULATED (Ollivier-Ricci, alt. construction)",OPEN (smooth); CALCULATED scoped (discrete),NOT VERIFIED (smooth) / VERIFIED (discrete),"Ollivier-Ricci: K4=+0.667, Petersen=-0.333, cycles/torus=0.000 (matches known literature)",Flat-space check exact (trivial),N/A,"BLOCKER-001, see phase_1/derivations/FGH_curvature.md",phase_1/derivations/FGH_curvature.md,"Comparison class D (smooth) / F (Ollivier-Ricci, different structure)"
IOBJ-IJ-001,Nodes I/J,I_variational,None (first-principles),"S[q], Euler-Lagrange, H(q,p), {q,p}=1","delta S=0 => d/dt(dL/dqdot)-dL/dq=0; H=p qdot-L; {q,p}=1","Full symbolic chain, harmonic-oscillator worked example, ALL consistency checks =0",None beyond calculus of variations itself,"ADMITTED (unconstructed, Phase-0 GAP)",DERIVED,CALCULATED-UNIVERSAL (standard calculus of variations),VERIFIED,N/A (symbolic),All checks exactly 0,phase_1/proofs/PROOF_RECORDS.md PROOF-P1-002,N/A,phase_1/derivations/I_variational_J_classical.md,CLOSES Phase-0 gap OBJ-GAP-001; comparison class D->resolved
IOBJ-K-001,Node K,K_maxwell,U(1) gauge action,"d_mu F^{mu nu}=0, gauge invariance",F_01=d_0A_1-d_1A_0; L=-1/2 F01 F^01,"Symbolic EL variation, D=2","D=2 spacetime (generalization to D=4 admitted, not repeated)",ADMITTED,DERIVED,CALCULATED-UNIVERSAL (D=2); ADMITTED (D=4),VERIFIED,N/A,EL eqs + gauge invariance exact,phase_1/proofs/PROOF_RECORDS.md PROOF-P1-003,N/A,phase_1/derivations/KL_maxwell_gauge.md,Comparison class A
IOBJ-L-001,Node L,L_gauge,IOBJ-K-001,"su(2) Lie algebra, covariant derivative D_t","[T^a,T^b]=eps^{abc}T^c; D_t psi = d_t psi - g A_mu psi",Explicit 2x2 Pauli-matrix generator computation,Full non-Abelian curvature covariance ADMITTED not re-proven,ADMITTED,CONDITIONAL,CONDITIONAL,PARTIALLY VERIFIED,N/A,27/27 commutation relations exact,phase_1/proofs/PROOF_RECORDS.md PROOF-P1-004,N/A,phase_1/derivations/KL_maxwell_gauge.md,Comparison class C
IOBJ-M-001,Node M,M_quantum,IOBJ-A-001,Unitary U(t)=exp(-iLt) vs. contraction exp(-Lt),U^dag U = I (unitary); ||exp(-Lt)psi|| < 1 (contraction),"Numerical simulation, 9 benchmark graphs, toy H:=L","H:=L is a CHOICE, not derived (lambda_n<->E_n kept CANDIDATE)",ADMITTED,CALCULATED (formal distinction) / CANDIDATE (physical correspondence),"CALCULATED-UNIVERSAL (Stone's theorem, general) / OPEN (physical correspondence)",VERIFIED,"Unitarity error 1e-16, norm=1.000000 exactly; heat norm shrinks to 0.11-0.59",N/A,"N/A (Stone's theorem, external)",N/A,phase_1/derivations/M_quantum.md,Comparison class C; explicit non-identification of graph/physical eigenvalues preserved
