Source,Table_ID,Row_ID,Cell_1,Cell_2,Cell_3,Cell_4,Cell_5,Cell_6,Cell_7
UCG Specification v5(1).docx,1,1,GOV < NS < PRIM < USR < UOR < UOPR < UDR < UAR < UTR < UPR < DER < COMP The registry dependency order. GOV = Governance. NS = Namespaces. PRIM = Primitives. USR = Symbol Registry. UOR = Object Registry. UOPR = Operator Registry. UDR = Dependency Registry. UAR = Axiom Registry. UTR = Theorem Registry. UPR = Proof Registry. DER = Derivation Entries. COMP = Compiler.,,,,,,
UCG Specification v5(1).docx,2,1,Registry,Code,Purpose,Governs,,,
UCG Specification v5(1).docx,2,2,Registry Governance,GOV,Defines the dependency order and admission rules for all registries,All other registries,,,
UCG Specification v5(1).docx,2,3,Namespace Architecture,NS,Assigns every object a unique namespace prefix preventing duplication,USR through COMP,,,
UCG Specification v5(1).docx,2,4,Primitive Registry,PRIM,Admits the foundational objects that have no predecessors,UOR onward,,,
UCG Specification v5(1).docx,2,5,Universal Symbol Registry,USR,Every symbol defined exactly once with type and scope,All symbol uses,,,
UCG Specification v5(1).docx,2,6,Universal Object Registry,UOR,All canonical mathematical objects used in the framework,"Operators, axioms",,,
UCG Specification v5(1).docx,2,7,Universal Operator Registry,UOPR,"All operators with domain, codomain, and algebraic properties","Axioms, theorems",,,
UCG Specification v5(1).docx,2,8,Universal Dependency Registry,UDR,Complete dependency DAG; the SDR axioms govern this registry,All DER entries,,,
UCG Specification v5(1).docx,2,9,Universal Axiom Registry,UAR,"All primitive axioms, each with one admission per namespace",Theorem registry,,,
UCG Specification v5(1).docx,2,10,Universal Theorem Registry,UTR,Every certified theorem with proof reference,Proof registry,,,
UCG Specification v5(1).docx,2,11,Universal Proof Registry,UPR,Proof certificates and obligations for all UTR entries,DER registry,,,
UCG Specification v5(1).docx,2,12,DER Registry,DER,Recovery entries: every physical law as a certified dependency chain,Compiler registry,,,
UCG Specification v5(1).docx,2,13,Compiler Registry,COMP,CDG + REE: execution order and recovery sequencing,Applications,,,
UCG Specification v5(1).docx,3,1,NAMESPACE ARCHITECTURE,,,,,,
UCG Specification v5(1).docx,4,1,Prefix,Namespace,Scope,Example,,,
UCG Specification v5(1).docx,4,2,OBJ,Objects,"Mathematical objects: graphs, manifolds, spectra, algebras","OBJ.G, OBJ.L, OBJ.M",,,
UCG Specification v5(1).docx,4,3,SYM,Symbols,Every symbol defined exactly once,"SYM.Delta, SYM.L, SYM.g_ab",,,
