Section,Question_Count,Mapped_Closure_Layer,Mapping_Rationale
I. Ontological Foundation,10,C0,"Primitive/grammar reconciliation is the direct UOC analogue of ""what must fundamentally exist"" -- both ask for a minimal, non-arbitrary generative basis."
II. Fundamental Organizational Process,10,C1,"Organizational/fixed-point closure (Gamma, O, Psi) is UOC's candidate answer to ""what single process organizes reality""; C1 is explicitly OPEN in the corpus, matching this section's ""no accepted single process"" verdict."
III. Fundamental Invariants,10,C0/C1 spine,"The certified spine (D,tau,kappa,Pi)->Gamma carries the invariants UOC claims to preserve; corpus marks this CERTIFIED SPINE at the composition level but does not certify primitive uniqueness (C0 open)."
IV. Transformation and Dynamics,10,C1,"Time-evolution / problem-of-time questions map onto the organizational evolution operator O and its fixed-point structure (C1, OPEN THEOREM per DER-ORG-006/007/008)."
V. Emergence of Spacetime,10,C2/C3,"Spectral graph -> continuum -> Lorentzian pipeline (L_N/h_N^2 -> -Delta_g, heat-kernel metric recovery) is UOC's direct candidate mechanism; C2 is CALCULATED/PARTIAL, C3 Lorentzian signature is PARTIAL/OPEN per corpus governance rule C3-002."
VI. Quantum Structure,10,C5,"Hilbert space recovery (DER-QR-001..008) is CERTIFIED in the corpus; Born-rule derivation (PRF-BORN) is explicitly an open proof obligation, matching this section's verdict that the Born rule remains a separate postulate."
VII. Gravity,10,C2/C3/C7,Einstein-Hilbert action and field equations (DER-VAR-004/005) are CERTIFIED; horizon/Bekenstein-Hawking-style normalization (C_H/alpha=pi) is an OPEN NORMALIZATION under C7.
VIII. Standard Model,12,C5,"Gauge connection/Yang-Mills (DER-GAU-001..004) CERTIFIED; gauge-GROUP selection, 3-generation count, and mass spectrum are explicitly OPEN (C5-002) -- mirrors the mainstream verdict that the SM gauge group and generation count are measured, not derived."
IX. Constants and Parameters,9,C4,"Nature-spectrum correspondence and constant generation (c, hbar, G, e as candidate fixed points of Seeley-DeWitt ratios) is explicitly OPEN (C4-001/C4-002); MASTER_CONSTANT_REGISTRY status column reads CANDIDATE for every fundamental constant, not DERIVED."
X. Unification,9,C0-C10 (terminal),"A confirmed GR/QM unification is exactly the C10 terminal target; no single closure layer covers it because it presupposes closure of C2 (spacetime), C5/C6 (gauge+quantum), and C0/C1 (primitives/organization) simultaneously."
XI. Mathematical Consistency,12,cross-cutting,"Applies to every closure layer's proof obligations (13_PROOF_REGISTRY); no UOC-specific closure layer owns ""is the theory internally consistent"" as a target -- it is a validation criterion (C9), not a construction target."
XII. Recovery of Known Physics,8,C9,"Directly corresponds to the corpus's VAL-001..005 validation entries (String Theory bosonic recovery, Maxwell electrodynamics, GR matter coupling, QM, Hamiltonian mechanics) -- all CERTIFIED as specific-limit recoveries, matching this section's emphasis on limit-recovery rather than full-theory recovery."
XIII. Emergence and Scale,8,C2/C4,"Renormalization-group-style universality has no explicit UOC derivation registered; the corpus's continuum-universality claims (C2) are the closest analogue but are explicitly SCOPED, not universal."
XIV. Information and Entropy,8,C7,"Entropy chain (DER-TRC-001..006) mostly CERTIFIED; horizon information normalization (C_H/alpha=pi, C7-003) is explicitly OPEN NORMALIZATION -- directly parallel to the holographic-principle open status in mainstream physics."
XV. Cosmology,10,C7,"COSMO-DYN chain (R(t)=exp(-tL), H^2=Lambda/3, rho_vac->H->a(t), Lambda_cosm, Xi) is the corpus's most extensively CALCULATED/PARTIAL result set; absolute cosmological scale anchoring remains OPEN (C4-002/C7-002)."
XVI. Selection and Uniqueness,8,C0/C4,Whether UOC's primitive grammar and derived constants are unique or contingent is unresolved at the same C0/C4 layers already marked OPEN; no UOC-internal selection principle is registered.
XVII. Empirical Test,10,C9/C10,"Corresponds directly to 29_PREDICTIONS (PRED-001..004: UV dispersion, IR lensing, quantum metric noise, cosmological cutoff Xi_UOC) -- all marked QUANTITATIVE CALCULATION REQUIRED or FINAL FALSIFICATION TARGET, i.e. not yet executed."
