Fixed_Point,GammaA_Basin,GammaB_Basin,Basin_Equal
1000010000100001,16,16,True
1000010000110011,48,48,True
1000010100100101,48,48,True
1000011001100001,48,48,True
1000011101110111,864,864,True
1001010000101001,48,48,True
1001011001101001,144,144,True
1010010010100001,48,48,True
1010010110100101,144,144,True
1011010010111011,864,864,True
1100110000100001,48,48,True
1100110000110011,144,144,True
1101110100101101,864,864,True
1110111011100001,864,864,True
1111111111111111,61344,61344,True
