Node_ID,Node_Type,Name,Type_or_Structural_Type,Domain,Status,Notes
OBJ-001,MATH_OBJECT,Finite simple graph,graph object / combinatorial structure,discrete combinatorics,ADMITTED,
OBJ-002,MATH_OBJECT,Bipartite graph,graph object,discrete combinatorics,ADMITTED (isolated -- no downstream use found),
OBJ-003,MATH_OBJECT,"Adjacency matrix, degree matrix",matrix / linear operator (finite-dim),linear algebra,CALCULATED,
OBJ-004,MATH_OBJECT,Oriented incidence matrix / discrete exterior derivative (0-cochains to 1-cochains),"linear operator (rectangular, not generally invertible)",algebraic/spectral graph theory,CALCULATED,
OBJ-005,MATH_OBJECT,Graph Laplacian,"operator (self-adjoint, PSD)",spectral graph theory / functional analysis,CALCULATED,
OBJ-006,MATH_OBJECT,Spectral decomposition (eigenvalue/eigenvector pairs) of a self-adjoint operator,spectrum (set of eigenvalue/eigenspace pairs),functional analysis,CALCULATED,
OBJ-007,MATH_OBJECT,One-parameter strongly-continuous self-adjoint contraction semigroup (heat semigroup),operator semigroup (self-adjoint contraction),functional analysis / semigroup theory,CALCULATED,
OBJ-008,MATH_OBJECT,Orthogonal spectral projector onto the null space (kernel) of a self-adjoint operator,operator (orthogonal projector),functional analysis,CALCULATED,
OBJ-009,MATH_OBJECT,"Graph automorphism group, represented as permutation matrices","group (finite, represented as orthogonal matrices)",group theory / algebraic graph theory,CALCULATED,
OBJ-010,MATH_OBJECT,First-order self-adjoint operator (candidate discrete Dirac operator),"operator (self-adjoint, first-order)",noncommutative geometry / spectral triples,CANDIDATE (source itself flags partial rejection of naive versions),
OBJ-011,MATH_OBJECT,"Symmetric positive-definite (0,2) tensor (candidate Riemannian metric)",tensor field,Riemannian geometry,"ADMITTED (CALCULATED per source, scoped)",
OBJ-012,MATH_OBJECT,"Levi-Civita connection, Riemann tensor, Ricci tensor, Ricci scalar, Einstein tensor",tensor fields (standard differential geometry),differential geometry / general relativity,ADMITTED,
OBJ-013,MATH_OBJECT,Simplicial/chain-complex boundary operator satisfying d^2=0,linear map between different graded vector spaces (NOT an endomorphism),algebraic topology / homological algebra,"CALCULATED (its own defining property holds); TYPE MISMATCH FALSIFIED against a second, incompatible required role",
OBJ-014,MATH_OBJECT,Real-valued functional on trajectories (candidate action functional),functional (variational),calculus of variations,ADMITTED,
OBJ-015,MATH_OBJECT,Einstein-Hilbert action,"functional (variational, diffeomorphism-invariant)",general relativity / calculus of variations,ADMITTED,
OBJ-016,MATH_OBJECT,"Principal-bundle connection 1-form, curvature 2-form, covariant derivative",connection / curvature (standard gauge theory),differential geometry / gauge theory,ADMITTED,
OBJ-017,MATH_OBJECT,Compact Lie group (direct product),Lie group,representation theory / particle physics,ADMITTED (source claims CERTIFIED); generation count component explicitly OPEN,
OBJ-018,MATH_OBJECT,Complex Hilbert space,Hilbert space,functional analysis / quantum mechanics,ADMITTED,
OBJ-019,MATH_OBJECT,Unitary one-parameter group generated by a self-adjoint operator (quantum dynamics),one-parameter unitary group,quantum mechanics,"ADMITTED (source claims CERTIFIED); explicitly NOT the same object as OBJ-007, clarified in this repository",
OBJ-020,MATH_OBJECT,Probability measure derived from a quantum state (postulate in standard QM),probability measure,quantum mechanics / measure theory,OPEN,
OBJ-021,MATH_OBJECT,Boltzmann entropy (log of microstate count),scalar functional of a probability/counting measure,statistical mechanics,ADMITTED,
OBJ-022,MATH_OBJECT,"Proposed functional in [0,1] characterizing a system's degree of persistence","functional (proposed, not yet constructed)",proposed unification of thermodynamics and spectral graph theory,OPEN,
OBJ-023,MATH_OBJECT,Rank-nullity relation for a graph Laplacian (linear algebra identity),linear-algebra identity (theorem),linear algebra / spectral graph theory,CALCULATED,
OBJ-024,MATH_OBJECT,Trace of the complementary projector (a scalar spectral invariant),scalar (trace of an operator),linear algebra,CALCULATED,
OBJ-025,MATH_OBJECT,Scale-dependent rescaling of the spectrum under an assumed cosmological scale factor a(t),ODE for a spectral quantity coupled to an assumed external geometric input (a(t)),proposed spectral cosmology,ADMITTED (CANDIDATE coupling rule -- the postulated a^-2 scaling is not itself derived from L),
OBJ-026,MATH_OBJECT,"Friedmann-equation-type relation (standard GR/cosmology, external)",ODE / algebraic relation (standard FLRW cosmology),general relativity / cosmology,"ADMITTED (standard equation is EXTERNAL/textbook; the spectral-to-rho_vac bridge is a UOC claim, not independently verified)",
OBJ-027,MATH_OBJECT,Proposed dimensionless cutoff/normalization ratio connecting spectral cutoff to horizon thermodynamics,proposed normalization constant / ratio,proposed spectral horizon thermodynamics,OPEN,
OBJ-028,MATH_OBJECT,"Dimensionful physical constants (fundamental, per current physics)",dimensionful scalar constants,physics (measured),CANDIDATE (all entries; none derived),
OBJ-029,MATH_OBJECT,Dimensionless coupling ratio (fine-structure constant),derived dimensionless ratio,physics,ADMITTED (arithmetic identity); underlying inputs CANDIDATE,
OBJ-030,MATH_OBJECT,Covariant functor between a category of graphs and a category of fields on manifolds,functor (category theory),"category theory / geometric analysis (Mosco convergence, Gromov-Hausdorff, Trotter-Kato)",ADMITTED (source claims CERTIFIED); CANONICITY DISPUTED between sources,
OBJ-031,MATH_OBJECT,"Bekenstein-Hawking black-hole entropy formula (standard, external)","scalar formula (external, admitted)",black hole thermodynamics,"ADMITTED (external, well-established)",
OBJ-032,MATH_OBJECT,Hamiltonian formulation of classical mechanics (state space + Hamiltonian + Poisson structure),symplectic manifold + Hamiltonian dynamics,classical mechanics,ADMITTED,
OBJ-033,MATH_OBJECT,A 21-tier sequence of increasingly structured mathematical objects (set -> metric space -> partition -> subset -> boundary -> point -> relation -> derivative coupling -> map -> constraint set -> variational selection -> graph -> correlation -> convolution -> feedback loop -> gradient flow -> emergent quotient -> nested projection -> trajectory -> partial trace -> fixed point),graded sequence of distinct mathematical object types (NOT a single object),cross-cutting (this is itself a candidate for 'recurring structure' -- see Phase 4),"ADMITTED (taxonomy only, not a proof chain); two competing formal definitions of 'Persistence' within this single source, unreconciled",
OBJ-GAP-001,MATH_OBJECT,GAP: no independent Lagrangian mechanics / Poisson-algebra construction,GAP MARKER,classical mechanics,OPEN (absence),
OBJ-GAP-002,MATH_OBJECT,"GAP: no dark matter, dark energy (beyond Lambda), or inflation construction",GAP MARKER,cosmology,OPEN (absence),
OBJ-GAP-003,MATH_OBJECT,GAP: no independent quantum-gravity bridge construction beyond the proposed spectral/NCG route,GAP MARKER,quantum gravity,"OPEN (single candidate route only, itself partially rejected by its own source)",
CAND-PRIM-001,CANDIDATE_PRIMITIVE,Self-adjoint linear operator (+ spectral theorem),candidate structure type,spectral graph theory / quantum mechanics / NCG,UNRESOLVED (Phase 4 not yet run),
CAND-PRIM-002,CANDIDATE_PRIMITIVE,One-parameter operator semigroup/group generated by a self-adjoint operator,candidate structure type,statistical mechanics / thermodynamics / quantum mechanics,UNRESOLVED,
CAND-PRIM-003,CANDIDATE_PRIMITIVE,Idempotent projector (P^2=P),candidate structure type,spectral graph theory / quantum mechanics,UNRESOLVED,
CAND-PRIM-004,CANDIDATE_PRIMITIVE,Kernel / fixed-point subspace of an operator or map,candidate structure type,spectral graph theory / renormalization-group-style universality / organizational dynamics,UNRESOLVED,
CAND-PRIM-005,CANDIDATE_PRIMITIVE,Spectral decomposition / eigenbasis (spectral theorem for self-adjoint operators),candidate structure type,"functional analysis (cross-cutting: spectral graph theory, QM, NCG)",UNRESOLVED,
CAND-PRIM-006,CANDIDATE_PRIMITIVE,Connection + curvature pair on a fiber/tangent bundle,candidate structure type,general relativity / gauge theory,UNRESOLVED,
CAND-PRIM-007,CANDIDATE_PRIMITIVE,Variational/action functional + stationarity (Euler-Lagrange) principle,candidate structure type,organizational dynamics (proposed) / general relativity / classical mechanics,UNRESOLVED,
CAND-PRIM-008,CANDIDATE_PRIMITIVE,Boundary/incidence operator satisfying d o d = 0,candidate structure type,algebraic topology / algebraic graph theory,UNRESOLVED,
CAND-PRIM-009,CANDIDATE_PRIMITIVE,Group action / symmetry (finite or continuous),candidate structure type,algebraic graph theory / particle physics / gauge theory,UNRESOLVED,
CAND-PRIM-010,CANDIDATE_PRIMITIVE,Probability measure derived from a state,candidate structure type,quantum mechanics / statistical mechanics,UNRESOLVED,
CAND-PRIM-011,CANDIDATE_PRIMITIVE,Functor between structured categories (category theory),candidate structure type,category theory / geometric analysis,UNRESOLVED,
CAND-PRIM-012,CANDIDATE_PRIMITIVE,UOC's own proposed grammar {Delta,candidate structure type,kappa,Pi} as a SINGLE compound primitive (for comparison only),
KERNEL-CAND-001,CANDIDATE_KERNEL,Self-adjoint operator + spectral theorem (CAND-PRIM-001 + CAND-PRIM-005),operator-algebraic (linear algebra / functional analysis),,CANDIDATE (untested),
KERNEL-CAND-002,CANDIDATE_KERNEL,"Graph/combinatorial substrate + incidence structure (CAND-PRIM-008 restricted to Inc, not the type-inconsistent Delta reading)",combinatorial + algebraic,,CANDIDATE (untested),
KERNEL-CAND-003,CANDIDATE_KERNEL,Variational/action functional + stationarity principle (CAND-PRIM-007),variational calculus,,CANDIDATE (untested),
KERNEL-CAND-004,CANDIDATE_KERNEL,Category-theoretic functor between structured categories (CAND-PRIM-011),category theory,,CANDIDATE (untested),
KERNEL-CAND-005,CANDIDATE_KERNEL,"UOC's own proposed grammar Gamma=kappa.tau.Delta (for comparison only, NOT assumed correct)",compositional / organizational-abstract (project-proposed),,CANDIDATE (untested),
KERNEL-CAND-006,CANDIDATE_KERNEL,No common kernel exists; the corpus supports MULTIPLE IRREDUCIBLY DIFFERENT generative structures,N/A,,CANDIDATE (untested),
