Spine,Sequence,Role,Status
Compiler evolution,Foundation→Graph→Spectral→Operator→Lorentzian→Differential Geometry→Physics Recovery,Construction order,Architectural
𝒯OE pipeline,𝔊•→𝔇→𝔓𝒯→𝔏→ℒ,Discrete→continuum compiler,Conjectural bridge
UDP,Reality→Variables→Operators→Constraints→Equations→Predictions,Execution pipeline,Defined
UDP dependency,Object→State→Relation→Operator→Transformation→Constraint→Dynamics→Persistence→Equation→Theory,Layer ordering,Defined
CMRC,Primitive→MRC→CMRC→QRC→PRC,Recovery architecture,Architectural
String recovery,Ω→Σ→X→TΣ→h→A→Polyakov→δS→T_ab→Virasoro→BRST→β(g)=0→R_μν=0,VAL-001,Certified
Graph-spectral GR,"G→A,D→L→Spec(L)→heat kernel→diffusion distance→g→Γ→R→G_μν",Vacuum geometry,Certified through vacuum tensor
Lorentzian,Graph→L0→rank-one perturbation→index≤1→resistance→negative eigenvector→localization→indefinite form→continuum→Lorentzian metric,Signature recovery,Open after LOR-002
SEIT Phase XII,"(Ω,F,μ)→Σ→R→G→ℋ→𝒪→E(λ)→σ(𝒪)→e^{tG}→Z→(F,U,S)→K_t→a_k→(g,R)→ind(D)→(𝒜,ℋ,𝒟)",Canonical spectral correspondence,Derived reconstruction
SEIT closure,Γ integral→Γ monotonicity→λ_c(β)→P_k→m0→force count→gauge→cosmology,Downstream closure,Open
Part V foundation,Σ0→UGAS→UGCT→UGUP→UGNT→UGIT→UOLS→UTS→MDCL-0001,Formal algebra/semantics/type substrate,Mostly certified; UGNT open
