Parent,Child,Relation
OBJ-001,OBJ-003,mathematical prerequisite (built FROM parent)
OBJ-001,OBJ-004,mathematical prerequisite (built FROM parent)
OBJ-003,OBJ-005,mathematical prerequisite (built FROM parent)
OBJ-004,OBJ-005,mathematical prerequisite (built FROM parent)
OBJ-005,OBJ-006,mathematical prerequisite (built FROM parent)
OBJ-005,OBJ-007,mathematical prerequisite (built FROM parent)
OBJ-006,OBJ-007,mathematical prerequisite (built FROM parent)
OBJ-005,OBJ-008,mathematical prerequisite (built FROM parent)
OBJ-006,OBJ-008,mathematical prerequisite (built FROM parent)
OBJ-007,OBJ-008,mathematical prerequisite (built FROM parent)
OBJ-001,OBJ-009,mathematical prerequisite (built FROM parent)
OBJ-003,OBJ-009,mathematical prerequisite (built FROM parent)
OBJ-005,OBJ-010,mathematical prerequisite (built FROM parent)
OBJ-005,OBJ-011,mathematical prerequisite (built FROM parent)
OBJ-006,OBJ-011,mathematical prerequisite (built FROM parent)
OBJ-007,OBJ-011,mathematical prerequisite (built FROM parent)
OBJ-011,OBJ-012,mathematical prerequisite (built FROM parent)
OBJ-001,OBJ-013,mathematical prerequisite (built FROM parent)
OBJ-011,OBJ-014,mathematical prerequisite (built FROM parent)
OBJ-006,OBJ-014,mathematical prerequisite (built FROM parent)
OBJ-012,OBJ-015,mathematical prerequisite (built FROM parent)
OBJ-005,OBJ-016,mathematical prerequisite (built FROM parent)
OBJ-009,OBJ-017,mathematical prerequisite (built FROM parent)
OBJ-006,OBJ-018,mathematical prerequisite (built FROM parent)
OBJ-005,OBJ-019,mathematical prerequisite (built FROM parent)
OBJ-018,OBJ-019,mathematical prerequisite (built FROM parent)
OBJ-018,OBJ-020,mathematical prerequisite (built FROM parent)
OBJ-019,OBJ-020,mathematical prerequisite (built FROM parent)
OBJ-006,OBJ-022,mathematical prerequisite (built FROM parent)
OBJ-021,OBJ-022,mathematical prerequisite (built FROM parent)
OBJ-005,OBJ-023,mathematical prerequisite (built FROM parent)
OBJ-008,OBJ-024,mathematical prerequisite (built FROM parent)
OBJ-023,OBJ-024,mathematical prerequisite (built FROM parent)
OBJ-005,OBJ-025,mathematical prerequisite (built FROM parent)
OBJ-006,OBJ-025,mathematical prerequisite (built FROM parent)
OBJ-008,OBJ-027,mathematical prerequisite (built FROM parent)
OBJ-011,OBJ-027,mathematical prerequisite (built FROM parent)
OBJ-005,OBJ-028,mathematical prerequisite (built FROM parent)
OBJ-010,OBJ-028,mathematical prerequisite (built FROM parent)
OBJ-028,OBJ-029,mathematical prerequisite (built FROM parent)
OBJ-011,OBJ-030,mathematical prerequisite (built FROM parent)
OBJ-014,OBJ-032,mathematical prerequisite (built FROM parent)
OBJ-010,OBJ-GAP-003,mathematical prerequisite (built FROM parent)
OBJ-011,OBJ-GAP-003,mathematical prerequisite (built FROM parent)
OBJ-018,OBJ-GAP-003,mathematical prerequisite (built FROM parent)
