Q#,Section,Question,Current Physics Status,Required ToE Result,Existing Candidate Approaches,What Remains Unexplained,Falsifiable Test
1,I. Ontological Foundation,What must exist for any physically observable universe to exist at all?,Open. No consensus minimal ontology.,"A unique, non-arbitrary minimal set of primitives from which observable physics follows.",Strings/branes; loop quantum gravity spin networks; causal sets; cellular automata; it-from-qubit/quantum information ontology; Tegmark's Mathematical Universe Hypothesis,No principle selects one ontology over the others; no empirical discriminant between them,None proposed; largely outside current empirical reach
2,I. Ontological Foundation,What is the minimum ontological commitment required to formulate a fundamental physical theory?,Open.,A demonstrated minimal axiom set with no redundant primitives.,Strings/branes; loop quantum gravity spin networks; causal sets; cellular automata; it-from-qubit/quantum information ontology; Tegmark's Mathematical Universe Hypothesis,No principle selects one ontology over the others; no empirical discriminant between them,None proposed; largely outside current empirical reach
3,I. Ontological Foundation,"Which entities or structures are genuinely fundamental, and which are emergent descriptions?",Open. Candidate answers conflict (fields vs. strings vs. discrete structures vs. information).,A derivation showing which structures are irreducible and which follow from them.,Strings/branes; loop quantum gravity spin networks; causal sets; cellular automata; it-from-qubit/quantum information ontology; Tegmark's Mathematical Universe Hypothesis,No principle selects one ontology over the others; no empirical discriminant between them,None proposed; largely outside current empirical reach
4,I. Ontological Foundation,Can the fundamental theory be formulated without presupposing spacetime?,"Partially attempted, not achieved. Background-independent programs exist but none complete.","A full formulation with spacetime demonstrably emergent, not assumed.",Loop quantum gravity; causal dynamical triangulations; causal sets; matrix models,"No candidate has produced an extended, realistic 3+1D spacetime from a spaceless substrate.",None confirmed; CDT's dimensional-reduction signature at short scales is the closest indirect probe.
5,I. Ontological Foundation,Can it be formulated without presupposing time?,"Open; this is the formal 'problem of time' in quantum gravity, unresolved over 50 years.","A dynamics with time genuinely emergent, not a relabeled constraint.",Page-Wootters relational time; Hamiltonian constraint formulations in LQG,No confirmed mechanism by which a timeless state yields observed temporal evolution.,None confirmed.
6,I. Ontological Foundation,"Can it be formulated without presupposing matter, particles, fields, or quantum states?",Open.,A derivation of matter/fields as emergent excitations of a more primitive structure.,Strings/branes; loop quantum gravity spin networks; causal sets; cellular automata; it-from-qubit/quantum information ontology; Tegmark's Mathematical Universe Hypothesis,No principle selects one ontology over the others; no empirical discriminant between them,None proposed; largely outside current empirical reach
7,I. Ontological Foundation,"Does the theory require an underlying substrate, or can physical reality be defined entirely relationally?",Open philosophical/physical question.,A working relational formulation with full predictive equivalence to substrate-based physics.,Relational quantum mechanics; structural realism,No principle selects one ontology over the others; no empirical discriminant between them,None proposed; largely outside current empirical reach
8,I. Ontological Foundation,What distinguishes physical existence from mathematical possibility?,"Open; largely philosophical, not currently falsifiable.","A criterion, testable in principle, separating realized from merely consistent structures.",Mathematical Universe Hypothesis (unfalsifiable as posed),No known empirical handle on this distinction.,None known; widely regarded as outside current science.
9,I. Ontological Foundation,What determines which mathematically possible structures are physically realized?,Open.,"A selection principle, not merely an anthropic restatement of the question.",String landscape + anthropic selection (contested),Anthropic reasoning offers no independent predictive test.,None confirmed.
10,I. Ontological Foundation,"Does the theory need to explain why something exists, or is existence itself a legitimate primitive?",Open; contested whether this is a physics question at all.,Not a physics requirement in the conventional sense; depends on the theory's explanatory scope.,N/A,Disagreement over whether this is answerable by physics.,N/A
11,II. Fundamental Organizational Process,What organizational process is occurring at the deepest physically meaningful level?,Not operationalized in mainstream physics; several informal candidate proposals exist.,A defined generative process with derivable consequences matching known physics.,"Entropic/emergent gravity (Verlinde); causal set sequential growth dynamics; it-from-bit/it-from-qubit (Wheeler, Van Raamsdonk); tensor network models of geometry",No single organizational process is established or confirmed; 'process ontology' itself is a non-standard framing in mainstream physics,None confirmed; entropic gravity makes some claimed predictions (e.g. modified inertia at low acceleration) that remain contested against data
12,II. Fundamental Organizational Process,"What changes, and what remains invariant, during that process?","Open, contingent on which candidate process (if any) is adopted.",A clear invariant/variant decomposition tied to observed conservation laws.,"Entropic/emergent gravity (Verlinde); causal set sequential growth dynamics; it-from-bit/it-from-qubit (Wheeler, Van Raamsdonk); tensor network models of geometry",No single organizational process is established or confirmed; 'process ontology' itself is a non-standard framing in mainstream physics,None confirmed; entropic gravity makes some claimed predictions (e.g. modified inertia at low acceleration) that remain contested against data
13,II. Fundamental Organizational Process,What relationships are necessary for the process to occur?,Open.,"Necessary and sufficient relational conditions, derived rather than assumed.","Entropic/emergent gravity (Verlinde); causal set sequential growth dynamics; it-from-bit/it-from-qubit (Wheeler, Van Raamsdonk); tensor network models of geometry",No single organizational process is established or confirmed; 'process ontology' itself is a non-standard framing in mainstream physics,None confirmed; entropic gravity makes some claimed predictions (e.g. modified inertia at low acceleration) that remain contested against data
14,II. Fundamental Organizational Process,What structures can participate in the process?,Open.,A closed characterization of admissible structures.,"Entropic/emergent gravity (Verlinde); causal set sequential growth dynamics; it-from-bit/it-from-qubit (Wheeler, Van Raamsdonk); tensor network models of geometry",No single organizational process is established or confirmed; 'process ontology' itself is a non-standard framing in mainstream physics,None confirmed; entropic gravity makes some claimed predictions (e.g. modified inertia at low acceleration) that remain contested against data
15,II. Fundamental Organizational Process,What structures can emerge from the process without being fundamental assumptions?,Open; partial results only within specific toy models (e.g. tensor network geometry).,Demonstrated emergence of known physical structures without additional input.,"Entropic/emergent gravity (Verlinde); causal set sequential growth dynamics; it-from-bit/it-from-qubit (Wheeler, Van Raamsdonk); tensor network models of geometry",No single organizational process is established or confirmed; 'process ontology' itself is a non-standard framing in mainstream physics,None confirmed; entropic gravity makes some claimed predictions (e.g. modified inertia at low acceleration) that remain contested against data
16,II. Fundamental Organizational Process,Is there one universal organizational process underlying apparently different physical phenomena?,Open; no confirmed universal process.,"A single process shown to generate gravity, gauge structure, and matter alike.","Entropic/emergent gravity (Verlinde); causal set sequential growth dynamics; it-from-bit/it-from-qubit (Wheeler, Van Raamsdonk); tensor network models of geometry",No single organizational process is established or confirmed; 'process ontology' itself is a non-standard framing in mainstream physics,None confirmed; entropic gravity makes some claimed predictions (e.g. modified inertia at low acceleration) that remain contested against data
17,II. Fundamental Organizational Process,"If multiple processes exist, what relates them?",Open; not addressed by any confirmed theory.,"A relating structure or meta-principle, itself justified rather than assumed.","Entropic/emergent gravity (Verlinde); causal set sequential growth dynamics; it-from-bit/it-from-qubit (Wheeler, Van Raamsdonk); tensor network models of geometry",No single organizational process is established or confirmed; 'process ontology' itself is a non-standard framing in mainstream physics,None confirmed; entropic gravity makes some claimed predictions (e.g. modified inertia at low acceleration) that remain contested against data
18,II. Fundamental Organizational Process,Can the fundamental process be expressed independently of any particular mathematical representation?,Open; most candidates are representation-dependent by construction.,"A representation-independent formulation, or a proof that none is possible.","Entropic/emergent gravity (Verlinde); causal set sequential growth dynamics; it-from-bit/it-from-qubit (Wheeler, Van Raamsdonk); tensor network models of geometry",No single organizational process is established or confirmed; 'process ontology' itself is a non-standard framing in mainstream physics,None confirmed; entropic gravity makes some claimed predictions (e.g. modified inertia at low acceleration) that remain contested against data
19,II. Fundamental Organizational Process,What distinguishes a physical process from an arbitrary mathematical transformation?,"Open; unresolved in general, though physically admissible transformations are constrained case by case (e.g. by unitarity, causality) within existing theories.","A general criterion, not just case-by-case constraints.","Constraints from unitarity, causality, and gauge invariance within QFT/GR",No general theory-independent criterion exists.,N/A
20,II. Fundamental Organizational Process,"Does the fundamental process possess a natural notion of composition, succession, or interaction without presupposing time?",Open; tied directly to the problem of time in Question 5.,A timeless compositional structure from which temporal succession is recovered.,Page-Wootters mechanism; category-theoretic process formulations,"Not demonstrated for a full, realistic physical theory.",None confirmed.
21,III. Fundamental Invariants,"What quantities, relationships, or structures must remain invariant under fundamental physical transformations?",Partially established. Noether's theorem (1918) rigorously derives conserved quantities from continuous symmetries.,"A complete inventory of invariants, derived rather than postulated where currently postulated (gauge invariance, unitarity, locality).",Noether's theorem (proven); gauge theory; general covariance,"Energy, momentum, angular momentum are derived; gauge invariance, unitarity, and Lorentz invariance remain structural postulates, not derived consequences.","Precision tests of conservation laws (ongoing, all consistent to date)."
22,III. Fundamental Invariants,Which invariants are representation-independent?,Partially known for established symmetries; open in general for a deeper theory.,A classification separating representation-independent from representation-dependent invariants.,Group theory classification of Standard Model + GR symmetries,No general classification exists for a hypothetical deeper theory.,N/A
23,III. Fundamental Invariants,Which invariants are merely artifacts of a particular mathematical description?,Open in general; known case by case (e.g. gauge redundancy is representation artifact).,A systematic method for identifying artifacts versus physical invariants.,Gauge-fixing and gauge-invariant observable programs in QFT,"No general, theory-independent method exists.",N/A
24,III. Fundamental Invariants,Can conservation laws be derived from deeper invariance principles?,Established for the known conservation laws via Noether's theorem; not established from anything deeper than symmetry itself.,A derivation of the symmetries themselves from a still deeper structure.,"Noether's theorem (derives laws from symmetries, not symmetries from anything deeper)",The symmetries themselves remain unexplained inputs.,N/A; already well confirmed at the level of Noether's theorem.
25,III. Fundamental Invariants,Can symmetries be derived rather than assumed?,Open. No confirmed derivation of Standard Model symmetries from a deeper principle.,"A derivation of SU(3)xSU(2)xU(1), Lorentz invariance, etc. from prior structure.","Grand unified theories (partial, unconfirmed); emergent gauge symmetry from entanglement (speculative)",No confirmed derivation exists at any level.,GUT-scale proton decay searches (largely null so far).
26,III. Fundamental Invariants,Can gauge invariance be derived from deeper structure?,Open.,"A derivation of gauge symmetry, not its assumption.",Emergent gauge symmetry proposals in holographic/tensor-network models,Speculative only; no confirmed derivation.,None confirmed.
27,III. Fundamental Invariants,Can Lorentz invariance be derived rather than postulated?,"Open; Lorentz invariance is a postulate, though tested to extraordinary precision with no violation found.","A derivation from a more fundamental, possibly discrete, structure.","Doubly special relativity; Lorentz-violating quantum gravity phenomenology (constrained, not confirmed)","No violation has ever been detected, and no derivation from deeper structure is confirmed.","Gamma-ray burst timing; astrophysical polarization tests (ongoing, null so far)."
28,III. Fundamental Invariants,Can unitarity be derived rather than assumed?,Open. Unitarity is a foundational postulate of quantum mechanics.,"A derivation of unitarity from a non-quantum substrate, or proof it is irreducible.",None confirmed; decoherence explains apparent non-unitarity of subsystems only,No derivation of exact unitarity from anything deeper exists.,N/A
29,III. Fundamental Invariants,Can locality or an appropriate replacement for locality be derived?,Partially explored. Strict signal locality is confirmed; quantum correlations are non-local in the Bell sense.,A principled account of when and why locality holds or fails to hold.,Bell's theorem (proven); holographic non-locality in AdS/CFT,Entanglement-based non-locality is confirmed but not derived from a deeper local structure.,"Loophole-free Bell tests (already performed, confirm quantum non-locality)."
30,III. Fundamental Invariants,What is the smallest set of fundamental invariants from which known physical laws can emerge?,Open.,"A minimal, closed, derived set.",Group-theoretic and axiomatic reconstruction programs,No confirmed minimal set exists.,N/A
31,IV. Transformation and Dynamics,What is the fundamental notion of physical transformation?,"Open at the deepest level; well defined within each existing framework (unitary evolution, diffeomorphisms).",A framework-independent notion of transformation.,Hamiltonian/Lagrangian/path-integral formalisms (all presuppose time); LQG Hamiltonian constraint; causal dynamical triangulations; Page-Wootters relational time,No framework-independent definition confirmed.,N/A
32,IV. Transformation and Dynamics,What determines which transformations are physically admissible?,"Partially known within existing theories (symmetry, unitarity, causality constraints); not derived from first principles.",A first-principles derivation of admissibility conditions.,Hamiltonian/Lagrangian/path-integral formalisms (all presuppose time); LQG Hamiltonian constraint; causal dynamical triangulations; Page-Wootters relational time,"Admissibility rules are imposed, not derived, in every existing theory.",N/A
33,IV. Transformation and Dynamics,What determines the dynamics of the fundamental system?,Open for any candidate 'final' theory; well defined for each existing theory individually.,A unique dynamical principle from which known dynamics follow as limits.,Hamiltonian/Lagrangian/path-integral formalisms (all presuppose time); LQG Hamiltonian constraint; causal dynamical triangulations; Page-Wootters relational time,No unique fundamental dynamical principle is confirmed.,N/A
34,IV. Transformation and Dynamics,Can the fundamental dynamics be expressed without a background spacetime?,"Attempted, not achieved with full generality.",A background-independent dynamics with a demonstrated semiclassical limit recovering GR.,Loop quantum gravity Hamiltonian constraint; spin foam models,Semiclassical limit recovery remains technically incomplete and not fully general.,None confirmed.
35,IV. Transformation and Dynamics,Can dynamics exist without a primitive time parameter?,"This is the 'problem of time,' unresolved for over 50 years.",A working timeless dynamics with observed time demonstrably emergent.,Page-Wootters mechanism; Wheeler-DeWitt equation (timeless by construction),No confirmed resolution; regarded as one of the deepest open problems in quantum gravity.,None confirmed.
36,IV. Transformation and Dynamics,Can temporal evolution emerge from a deeper transformation structure?,Open; same status as Question 35.,Same as above.,Page-Wootters mechanism,"Not demonstrated for a full, realistic theory.",None confirmed.
37,IV. Transformation and Dynamics,What mathematical object generates fundamental dynamics?,"Open for a final theory; known within each existing framework (Hamiltonian, action, path integral, spin foam amplitude).",A confirmed generator for the fundamental theory itself.,Action principles; spin foam amplitudes; S-matrix bootstrap approaches,No confirmed single generator exists across frameworks.,N/A
38,IV. Transformation and Dynamics,"Does the theory require an action principle, Hamiltonian structure, path integral, transition operator, category, algebra, or something more fundamental?","Open; a genuine unresolved methodological question, not just a technical one.",A demonstrated necessity or non-necessity of each structure.,Category-theoretic and algebraic QFT approaches (exploratory),"No consensus on which structure, if any, is truly fundamental.",N/A
39,IV. Transformation and Dynamics,Can apparently different dynamical laws be derived as different limits of one fundamental law?,Partially achieved within specific programs (e.g. GR as a limit of string theory in some backgrounds).,A general demonstration across all known dynamical regimes.,String theory low-energy effective actions; asymptotic safety RG flows,"Only shown in restricted regimes, not comprehensively.",N/A
