PRF ID,For,Missing,Closes
PRF-ROG-3,AX-ROG-3 (Completeness),Formal proof that every organizational phenomenon has a G* representation. No counterexample found; neither exhaustive enumeration nor abstract spanning argument constructed.,DER-ORG-009
PRF-ROG-5,AX-ROG-5 (Canonical Form),Uniqueness proof for the minimal DTC representation. Requires showing no two distinct canonical forms represent the same organizational system.,DER-ORG-009
PRF-FPE,DER-ORG-006,"Equivalence of Banach, spectral, least fixed point, and ROG closure formulations of persistence. Common fixed point assumed throughout framework but not proven.",DER-ORG-006
PRF-PiO,DER-ORG-007 / DER-TRC-006,"Rigorous derivation of Pi_O = f(sigma, C, Spec(L)) from TNDS first principles. Coupling equation proposed; stationary distribution of Fokker-Planck equation approach outlined but not executed.",Both ORG-007 and TRC-006
PRF-ATU,DER-ORG-008,Uniqueness of organizational attractor for each alpha. Banach theorem gives uniqueness given completeness and c<1; proof that c<1 holds uniformly across all initial conditions needed.,DER-ORG-008
PRF-SFP,DER-SPC-006,Spectral fixed point uniqueness for disconnected graphs. Unique under connectedness assumption; general case open.,DER-SPC-006
PRF-UGNT,Part V UGNT,Termination and confluence of the rewrite system for grammar normal forms. Both required for UGNT normal-form theorem; neither proven.,Part V §4
PRF-BORN,DER-ORG-006 (partial),Born rule uniqueness: R-invariant measure on Pi is unique and equals |psi|^2. Existence outlined; Gleason's theorem approach not yet executed.,Open
PRF-LOR,Open,Lorentz signature: maximum spectral compression direction is timelike. Argument sketched in SEIT Phase III; rigorous connection between compression functional and g_{tt}<0 not constructed.,Open
PRF-GEN,Open,Three fermion generations: N_c=3 does not constrain generation count. Extension of representation theory analysis required.,Open
PRF-CONST,Open,"Universal constants c,G,hbar as fixed points of Seeley-DeWitt coefficient ratios. Pipeline defined; explicit computation of fixed-point functions f_k not performed.",Open
PRF-BNAT,Open,B_Nature: identify M such that Spec(L)=Spec(Nature). Cubitt-Perez Garcia-Wolf undecidability may apply for infinite L. Fundamental open problem.,Open
PRF-PRIM,Open,"Primitive grammar reconciliation: three grammars ({D,T,C,Pi}; {D,T,C}+gradient; {D,tau,kappa,Theta,Pi,Omega}) developed independently. Not shown to be equivalent or reducible to one. Central open problem across all five compiler lines.",Open
PRF-PRIM-TAU-REALIZATION,Which realization of tau (PRIM-G-002/PRIM-X-002) is intended,"PRF-PRIM-EXEC-2026-08-17 tested 2 candidates: graph automorphism (satisfies tau's own Liouville-condition definition, 9/9) vs. diffusion semigroup exp(-tL) (FALSIFIES the same definition, 9/9). Source does not specify which. Neither proven to be the unique intended realization.",PRF-PRIM
PRF-PRIM-DELTA-TYPE,Type-theoretic reconciliation of Delta's two source formulations,"PRF-PRIM-EXEC-2026-08-17 showed PRIM-G-001's literal formula (boundary operator, d^2=0, a map between DIFFERENT graded spaces C_1->C_0) is type-incompatible with DER-ORG-002's required usage (an endomorphism X->X for Psi_(t+1)=kappa(tau(Delta(Psi_t))) to be iterable). Demonstrated concretely on the K4 tetrahedron complex (derivations/C0/PRF-PRIM/05_composition_type_check.py). Missing: an explicit reconciled definition of Delta that satisfies both roles, or an explanation of why they need not agree.",PRF-PRIM
PRF-PRIM-OMEGA-PSI-IDENTITY,"Whether Omega (PRIM-X-006, Organizational State) is the same object as Psi (grammar A's state variable, DER-ORG-002)",PRF-PRIM-EXEC-2026-08-17 found no computation or recovered source text (Combined Compiler Theories Whitepaper para. 550-553 asserts Omega has 'its own evolution law and variational structure' but the exact functional form was not present in the extracted text corpus available to this session) that distinguishes Omega from Psi as a different type of object. Not merged by assumption.,PRF-PRIM
PRF-PRIM-PRIMC-LINK,"How PRIM-C-001 (B=(U,V,E), Computational realization) relates to grammars A, B, or D","PRF-PRIM-EXEC-2026-08-17 found ZERO tested computation or source-documented correspondence between PRIM-C-001 and any primitive in A/B/D. The corpus's own downstream pipeline (DER-SPC-001 'Graph G=(V,E)') is sourced from DER-ORG-001, not from PRIM-C-001, suggesting PRIM-C may not actually be used downstream despite being registered. Missing: either a constructive link or an explicit admission that PRIM-C is currently disconnected from the rest of the architecture.",PRF-PRIM
